model,site,n_runs,comp_rmse,comp_bias,amp_obs,amp_pred,amp_ratio,comp_r2
GT-k (primary),woodwalton,3,0.462 ± 0.290,0.340 ± 0.278,2.266 ± 0.000,2.060 ± 0.689,0.909 ± 0.304,0.569 ± 0.503
GT-k (primary),rosedene,3,0.062 ± 0.002,0.047 ± 0.001,2.548 ± 0.000,2.527 ± 0.006,0.992 ± 0.002,0.996 ± 0.000
GT-k (primary),redmere_1,3,0.134 ± 0.032,-0.014 ± 0.084,1.554 ± 0.000,1.466 ± 0.251,0.943 ± 0.162,0.951 ± 0.023
GT-k (primary),redmere_2,3,0.150 ± 0.102,0.112 ± 0.086,1.380 ± 0.000,1.515 ± 0.074,1.098 ± 0.054,0.907 ± 0.115
GT-k (primary),great_fen,3,0.197 ± 0.100,-0.096 ± 0.098,1.804 ± 0.000,2.124 ± 0.185,1.178 ± 0.103,0.925 ± 0.069
predicted-k,woodwalton,3,0.901 ± 0.726,0.644 ± 0.985,2.266 ± 0.000,1.850 ± 0.259,0.816 ± 0.114,-0.862 ± 2.534
predicted-k,rosedene,3,0.086 ± 0.024,0.016 ± 0.090,2.548 ± 0.000,2.500 ± 0.045,0.981 ± 0.018,0.991 ± 0.005
predicted-k,redmere_1,3,0.190 ± 0.027,0.155 ± 0.030,1.554 ± 0.000,1.705 ± 0.059,1.097 ± 0.038,0.903 ± 0.028
predicted-k,redmere_2,3,0.096 ± 0.016,0.057 ± 0.025,1.380 ± 0.000,1.451 ± 0.023,1.052 ± 0.016,0.971 ± 0.009
predicted-k,great_fen,3,0.081 ± 0.019,0.058 ± 0.018,1.804 ± 0.000,1.891 ± 0.023,1.048 ± 0.013,0.989 ± 0.005
