model,site,seed,hour_bin,n,rmse,mae,bias,crps,cov90,sharp90,pit_ks
GT-k (primary),woodwalton,0,16-18,809,1.0028360088563504,0.4184982996567513,-0.055340387286302924,0.35371217342009686,0.830655129789864,1.2933999277542443,0.08189428337147683
GT-k (primary),woodwalton,1,16-18,809,0.9993455279926736,0.416169495200934,0.0551922887526867,0.3841179713487312,0.4103831891223733,0.28059927233482246,0.3138760724032848
GT-k (primary),woodwalton,42,16-18,809,1.0073484217247857,0.40319519218319866,-0.02331726424331571,0.3593270116785714,0.695920889987639,0.5986406295982916,0.09145259396149752
GT-k (primary),redmere_1,0,16-18,225,0.8911535361367173,0.6095510000652737,0.022161348660786947,0.5086306707727246,0.6622222222222223,1.6235858478054401,0.10959295929592959
GT-k (primary),redmere_1,1,16-18,225,0.968031167453877,0.6595639295048183,0.0475018482738071,0.5471701739538908,0.88,3.5732944895318615,0.10844884488448844
GT-k (primary),redmere_1,42,16-18,225,3.143250089412296,1.094513752328025,-0.06214310606320699,0.8702300736707581,0.8177777777777778,3.1096789532161,0.14083608360836086
GT-k (primary),redmere_2,0,16-18,430,0.9698082754386541,0.5227964258211296,-0.03334647646650325,0.442031343081762,0.8465116279069768,2.1873013216042896,0.11501266405710336
GT-k (primary),redmere_2,1,16-18,430,0.9804938725581341,0.548913610319412,0.014239286241489787,0.4793600052065298,0.8627906976744186,2.6348384227624075,0.1219203315680405
GT-k (primary),redmere_2,42,16-18,430,0.9640551809752145,0.5355244891588078,0.015560272994429566,0.45405668760347984,0.8744186046511628,2.498604773284994,0.12132166705042602
GT-k (primary),great_fen,0,16-18,379,1.2259425383652551,0.856493527467773,-0.13069089484403504,0.6770135607895954,0.8364116094986808,3.4196029061546205,0.0996238146242065
GT-k (primary),great_fen,1,16-18,379,1.3076176617672324,0.9095356333853387,-0.2931047666985001,0.7545839455030052,0.7941952506596306,4.09288440490634,0.15897750724940568
GT-k (primary),great_fen,42,16-18,379,1.2048217380019084,0.8263276236667482,-0.06537951643045471,0.6579512647389187,0.862796833773087,3.53504090866182,0.08371430810627234
GT-k (primary),woodwalton,0,18-21,2656,1.0537511728389917,0.47690236532544517,-0.0014352842559476934,0.40878831932484205,0.8049698795180723,1.4294487385644103,0.07271785160443756
GT-k (primary),woodwalton,1,18-21,2656,1.0555675338527553,0.4757271114630198,0.09112959977587214,0.43571912896315107,0.4503012048192771,0.34393383355929197,0.28485849337945846
GT-k (primary),woodwalton,42,18-21,2656,1.381826400283529,0.6031445190885542,0.21202602939741932,0.5181604238029572,0.7255271084337349,1.2313531430390998,0.1442129905761661
GT-k (primary),rosedene,0,18-21,4250,1.5992981993958333,0.8084962803217418,-0.029153175562181895,0.6528006582027073,0.6167058823529412,1.3321156591919592,0.12222481071636582
GT-k (primary),rosedene,1,18-21,4250,1.5980421901561481,0.8075459471358096,-0.02545069315898068,0.6441499697899192,0.7072941176470589,1.8769743189540882,0.07177868375072805
GT-k (primary),rosedene,42,18-21,4250,1.5999432958040927,0.8094502777400262,-0.024155461325803224,0.6548745443004376,0.6976470588235294,1.816209960410817,0.0713709959231218
GT-k (primary),redmere_1,0,18-21,598,2.058046045125914,0.7723411744940142,0.11822144963146253,0.6399949346269557,0.697324414715719,1.924760155040773,0.07778403258386046
GT-k (primary),redmere_1,1,18-21,598,2.0871413094742475,0.8153069015517581,0.06799580103851681,0.6632387314937859,0.8110367892976589,2.761755984656811,0.04462068280406639
GT-k (primary),redmere_1,42,18-21,598,2.3453604558216727,0.979751087120893,-0.2028346857411108,0.7633047924584867,0.7876254180602007,2.8767526804624897,0.08351269909599657
GT-k (primary),redmere_2,0,18-21,1299,1.2481013970827792,0.6483318493038336,-0.028920675689545247,0.5336448217686507,0.7498075442648191,1.9591614104122337,0.09372403753077385
GT-k (primary),redmere_2,1,18-21,1299,1.2660399731745096,0.6701646045150036,0.009927874058915204,0.581855851311171,0.8645111624326405,3.360833861138055,0.12889961051532403
GT-k (primary),redmere_2,42,18-21,1299,1.3336091085059734,0.6898640960668593,0.058766624197690784,0.5827468575832724,0.8575827559661278,3.055924598965615,0.0986630995663077
GT-k (primary),great_fen,0,18-21,1194,1.3564890179807045,0.891553034609686,0.1010875835440666,0.7043717804849248,0.8559463986599665,3.954581073081676,0.05093122377564391
GT-k (primary),great_fen,1,18-21,1194,1.3114050282682759,0.8858303502326834,0.04402774010770884,0.6967114154785222,0.7303182579564489,2.917498367565684,0.048020631208849585
