model,site,seed,n_bins,comp_rmse,comp_bias,amp_obs,amp_pred,amp_ratio,comp_r2
GT-k (primary),woodwalton,0,6,0.2649584121936253,0.13203811645507812,2.266202688217163,1.6655142307281494,0.7349361287883833,0.8875704127100497
GT-k (primary),woodwalton,1,6,0.32651194253357324,0.23177631696065268,2.266202688217163,1.6597926616668701,0.7324113903388934,0.8292646957597446
GT-k (primary),woodwalton,42,6,0.7946078122025584,0.6563746134440104,2.266202688217163,2.855795383453369,1.2601676797497945,-0.011185544329517905
GT-k (primary),rosedene,0,5,0.06473631039930036,0.048604488372802734,2.5475488901138306,2.521886467933655,0.989926622299669,0.9950979199088478
GT-k (primary),rosedene,1,5,0.0600552398408151,0.04587244987487793,2.5475488901138306,2.5247737169265747,0.9910599661990243,0.9957812253560037
GT-k (primary),rosedene,42,5,0.06104010009263604,0.047212409973144534,2.5475488901138306,2.5330101251602173,0.9942930379039895,0.9956417213894059
GT-k (primary),redmere_1,0,6,0.10359848252772784,0.07447238763173421,1.5536091327667236,1.632380485534668,1.0507021689732639,0.9715784370565055
GT-k (primary),redmere_1,1,6,0.13098756461729277,-0.026088158289591473,1.5536091327667236,1.5878543853759766,1.0220423862649852,0.9545638731018171
GT-k (primary),redmere_1,42,6,0.16698362179318785,-0.09157586097717285,1.5536091327667236,1.1765961647033691,0.7573308755002257,0.9261604703684718
GT-k (primary),redmere_2,0,6,0.09322001629279095,0.057974934577941895,1.3796555995941162,1.4963325262069702,1.0845696032018277,0.9727559104716405
GT-k (primary),redmere_2,1,6,0.08886261915677299,0.06736006339391072,1.3796555995941162,1.4517968893051147,1.0522893465095362,0.9752433333477756
GT-k (primary),redmere_2,42,6,0.26838292358173566,0.2107516328493754,1.3796555995941162,1.5960181951522827,1.156823627303668,0.7741793210816175
GT-k (primary),great_fen,0,6,0.10565581031787061,-0.0014931758244832356,1.803525447845459,2.0350358486175537,1.1283654749915857,0.9816121708242113
GT-k (primary),great_fen,1,6,0.3032448471240463,-0.19648619492848715,1.803525447845459,2.3366899490356445,1.2956234977594125,0.8485286312387466
GT-k (primary),great_fen,42,6,0.18086956126805645,-0.0912938117980957,1.803525447845459,2.0004475116729736,1.1091872942867333,0.9461141596066877
predicted-k,woodwalton,0,6,1.7276478694010498,1.6800699631373088,2.266202688217163,1.9146900177001953,0.8448891300215052,-3.7800853284455567
predicted-k,woodwalton,1,6,0.3670956070452298,-0.2791798909505208,2.266202688217163,1.5649046897888184,0.6905404789806949,0.7841840361258694
predicted-k,woodwalton,42,6,0.6075681565005931,0.5298622051874796,2.266202688217163,2.0697903633117676,0.9133297626348178,0.4088261720911682
predicted-k,rosedene,0,5,0.10794476797827898,-0.08554954528808593,2.5475488901138306,2.4487305879592896,0.9612104393607435,0.9863702556488545
predicted-k,rosedene,1,5,0.05974326988989184,0.04889931678771973,2.5475488901138306,2.5173219442367554,0.9881348907593587,0.9958249421893245
predicted-k,rosedene,42,5,0.09146100647903521,0.08608975410461425,2.5475488901138306,2.534232020378113,0.9947726735343938,0.9902150982756783
predicted-k,redmere_1,0,6,0.22090801351912903,0.18931917349497476,1.5536091327667236,1.7726655006408691,1.1409983780695483,0.8707697723729162
predicted-k,redmere_1,1,6,0.1695267188483779,0.13093109925587973,1.5536091327667236,1.6707077026367188,1.0753719628703917,0.923894248021313
predicted-k,redmere_1,42,6,0.17946939772814943,0.14572453498840332,1.5536091327667236,1.6707005500793457,1.0753673590371482,0.9147053130907363
predicted-k,redmere_2,0,6,0.07784047114686667,0.029718259970347088,1.3796555995941162,1.4428175687789917,1.0457809682383468,0.9810038818701672
predicted-k,redmere_2,1,6,0.10036561784090871,0.06427961587905884,1.3796555995941162,1.4763877391815186,1.0701132511735973,0.968419145657326
predicted-k,redmere_2,42,6,0.108507264715652,0.07822771867116292,1.3796555995941162,1.4330482482910156,1.0386999833238144,0.963087659671535
predicted-k,great_fen,0,6,0.08317997574114941,0.05979609489440918,1.803525447845459,1.9087178707122803,1.058325998666937,0.9886032435117579
predicted-k,great_fen,1,6,0.06175957469899206,0.038256565729777016,1.803525447845459,1.8990695476531982,1.0529762970197503,0.9937172137675087
predicted-k,great_fen,42,6,0.0991632793987773,0.07495367527008057,1.803525447845459,1.8641486167907715,1.0336137031045138,0.9838025946177723
