model,site,seed,n,rmse,mae,bias,crps,cov90,sharp90,pit_ks
GT-k (primary),woodwalton,0,17164,1.2476311633437291,0.5663241548844609,0.10305133886712135,0.4912556620006354,0.7758680960149149,1.5070161412497953,0.09960347584513751
GT-k (primary),woodwalton,1,17164,1.2575134253728384,0.5724458734708788,0.20111511949089705,0.5265445427171237,0.45205080400838965,0.42716377364937624,0.29331423587476435
GT-k (primary),woodwalton,42,17164,2.5258345828071507,1.17453914505109,0.8409834109789116,0.9551523802941282,0.719878816126777,2.310141472363462,0.18297911124135025
GT-k (primary),rosedene,0,20968,1.7810102012027293,0.9073764898785657,0.0467957107646754,0.7406078022510003,0.5846528042731782,1.3472915917715274,0.11707089728431067
GT-k (primary),rosedene,1,20968,1.780208025770186,0.9064494728986444,0.04396080869770204,0.7278471674243809,0.6872853872567722,1.8670354591530747,0.06930362532628698
GT-k (primary),rosedene,42,20968,1.7816634029170897,0.9079455137504204,0.046671883481935246,0.739556639637523,0.6683040824112934,1.803815261858071,0.07978683217425142
GT-k (primary),redmere_1,0,3942,2.2570291729671763,0.9064699160611991,0.09517817313093947,0.7552812115940547,0.7648401826484018,2.7804056424576804,0.04882931215495979
GT-k (primary),redmere_1,1,3942,2.343567686731368,0.9771313989419917,-0.044603797899727356,0.7922744186510831,0.845509893455099,3.613371047561801,0.06308302063083021
GT-k (primary),redmere_1,42,3942,3.2560467567449196,1.263489233612573,-0.137442956309655,1.012134496643065,0.7904616945712836,3.3115947035800164,0.08483405418167389
GT-k (primary),redmere_2,0,7304,1.6019876205141852,0.8548842230435884,0.0694405929314425,0.7026009334359554,0.744249726177437,2.815658178128984,0.06564421502391199
GT-k (primary),redmere_2,1,7304,1.6099946943394758,0.8642393228126987,0.07402972275079972,0.7237537013528886,0.8370755750273823,3.607508743388038,0.09257913743181545
GT-k (primary),redmere_2,42,7304,1.9131421359136407,0.9773921535298996,0.24917578339919208,0.7951817143879573,0.8263964950711938,3.6313269927380225,0.1073655558326917
GT-k (primary),great_fen,0,8056,1.8903085977264507,1.1670887951379367,0.03175396093305167,0.9241219380720584,0.8393743793445879,4.81937048634247,0.049704051835173596
GT-k (primary),great_fen,1,8056,1.893609606420563,1.1745166127646736,-0.13315099657281065,0.9390635089263304,0.7090367428003972,3.503861720658833,0.07181413275389104
GT-k (primary),great_fen,42,8056,1.894178535990949,1.1658504408476236,-0.08696388548782027,0.9259534645026448,0.8668073485600795,5.007257181872183,0.0822620370279332
predicted-k,woodwalton,0,17164,2.895026601916048,1.8735065708021312,1.697433421234495,1.7816732404747038,0.21754835702633418,0.49126809491185913,0.6213776935838538
predicted-k,woodwalton,1,17164,1.3577370497663421,0.7797527034780862,-0.351305250162109,0.7225026009689092,0.12537869960382195,0.2934806010420514,0.6066479230071691
predicted-k,woodwalton,42,17164,1.6046112097553216,0.8980438192898073,0.6010622381290411,0.7237877986930586,0.5751573059892799,1.3235839884455662,0.26459536538599093
predicted-k,rosedene,0,20968,1.7893375462957843,0.916208429822399,-0.10093482901373838,0.7399074178641327,0.6559042350247997,1.628773764311962,0.14062871853763015
predicted-k,rosedene,1,20968,1.7766237646328091,0.9052533230737906,0.04534404615891862,0.7116762878842939,0.7766119801602441,2.364446433648027,0.025886216053883082
predicted-k,rosedene,42,20968,1.7801658607917579,0.9081585495348079,0.08439399386903229,0.7248554672863098,0.768504387638306,2.404752953903236,0.040340112798002425
predicted-k,redmere_1,0,3942,2.5971933130116533,0.9419121193699066,0.2237776274221582,0.7732411132715242,0.8132927447995941,2.825318488757436,0.023207800232078
predicted-k,redmere_1,1,3942,2.3250075933832464,0.8753258349994818,0.15952677854853253,0.704635372285942,0.8188736681887366,2.883719394617636,0.03148374198150411
predicted-k,redmere_1,42,3942,2.3234896369331044,0.8834782145967738,0.175022026167555,0.7103465891062057,0.8401826484018264,3.209698069282491,0.04013894540138946
predicted-k,redmere_2,0,7304,1.5950131378865258,0.842923807159848,0.03340138720040162,0.704841180316987,0.7627327491785323,2.7456369659721864,0.08763677572576534
predicted-k,redmere_2,1,7304,1.6001853255783256,0.8461859848567433,0.07431717089338837,0.6939512604584144,0.7925794085432639,2.972796311005749,0.08367312634877944
predicted-k,redmere_2,42,7304,1.5976827249244796,0.8461822607204612,0.0791303325369995,0.7075599966817311,0.8450164293537787,3.60338466856607,0.10353203995098303
predicted-k,great_fen,0,8056,1.8458926534782891,1.130408172155319,0.06743760336220057,0.8896982517356773,0.8102035749751738,3.8712934901765563,0.02171556530032348
predicted-k,great_fen,1,8056,1.8432550850673521,1.1277505028521218,0.04490734891579399,0.9180151167175681,0.7344836146971202,3.6680720941300646,0.052793809668950975
predicted-k,great_fen,42,8056,1.8464942443215486,1.133826904859886,0.07254796794337307,0.8847333201307636,0.6992303872889771,3.1970221795240024,0.06070255734610208
