model,site,seed,sd_pred,n_dn,rmse_dn,mae_dn,bias_dn,r2_dn,corr_dn,sd_dn,rmse_ref_dn,n_ob,rmse_ob,mae_ob,bias_ob,r2_ob,corr_ob,sd_ob,rmse_ref_ob
GT-k (primary),woodwalton,0,0.01773991039793583,17164,0.018219897667141396,0.015045960368202256,0.003451594542268824,-14.208084524771728,0.09942708113733148,0.0046720628305750534,0.0046720628305750534,17164,0.0217580975944902,0.01715013800996865,0.003451594535533985,-1.5075438255615583,0.08615180936141136,0.013740313899403134,0.013740313899403134
GT-k (primary),woodwalton,1,0.012272917304350362,17164,0.01951566940050858,0.015759702947860697,0.01510346689635636,-16.448156812132495,0.17183541260604884,0.0046720628305750534,0.0046720628305750534,17164,0.023515770772719935,0.018039746203264883,0.015103466889621522,-1.9290388192217223,0.04312293195321427,0.013740313899403134,0.013740313899403134
GT-k (primary),woodwalton,42,0.11650952204974792,17164,0.13348071020337798,0.06658024625384179,0.0624308037047625,-815.2433728697353,-0.2968714040771975,0.0046720628305750534,0.0046720628305750534,17164,0.13423458512465286,0.06992006209174724,0.062430803698027657,-94.44112305730812,-0.11183043677197882,0.013740313899403134,0.013740313899403134
GT-k (primary),rosedene,0,0.010668509554695737,20968,0.012365745621237146,0.009452195232027968,0.003170693567323437,-6.469988207440649,-0.08878596165443851,0.004524393295684257,0.004524393295684257,20968,0.015578451328513205,0.011674174413770484,0.0031706935605809966,-1.1723330395375937,-0.03148212449927403,0.010569661476333267,0.010569661476333267
GT-k (primary),rosedene,1,0.0061468663531760075,20968,0.008377223219694087,0.004297583046759551,0.0037475223968758183,-2.4283051832111116,0.03811743604971081,0.004524393295684257,0.004524393295684257,20968,0.012734001300097846,0.008413581763658032,0.0037475223901333775,-0.4514685286796283,0.010703696279813933,0.010569661476333267,0.010569661476333267
GT-k (primary),rosedene,42,0.008408454764111317,20968,0.010286376190624037,0.00560534037823997,0.003802230423196359,-4.16897112386281,-0.002370107360482033,0.004524393295684257,0.004524393295684257,20968,0.013762807596232971,0.009413824163759644,0.0038022304164539184,-0.6954770712018576,0.04198018971041705,0.010569661476333267,0.010569661476333267
GT-k (primary),redmere_1,0,6.136864306327843,3942,6.142998210865792,0.287051490452463,-0.2723067611644629,-2270999.319642279,-0.023103501939311145,0.004076353052474361,0.004076353052474361,3942,6.143535503828629,0.2887525966757159,-0.27230676117364183,-368675.4900510333,-0.06177535550282707,0.010118022721357861,0.010118022721357861
GT-k (primary),redmere_1,1,10.736938957677536,3942,10.74333097571984,0.4867580278046758,0.3730710082957122,-6945991.797719572,0.021663546948189862,0.004076353052474361,0.004076353052474361,3942,10.742761994605937,0.48857430145026687,0.3730710082865333,-1127301.8564409271,0.06538892396498026,0.010118022721357861,0.010118022721357861
GT-k (primary),redmere_1,42,20.23238336798849,3942,20.250939984240087,0.9027365653697026,-0.8650188236794555,-24680091.94178852,-0.0179408173816948,0.004076353052474361,0.004076353052474361,3942,20.25147646273678,0.9042748918817913,-0.8650188236886345,-4006101.7352546323,-0.060089946122671004,0.010118022721357861,0.010118022721357861
GT-k (primary),redmere_2,0,0.03000858543722777,7304,0.031494429766411536,0.01259533538571624,0.004468835618462289,-54.76619637454597,-0.21186395268355968,0.004217433443760938,0.004217433443760938,7304,0.032695909911033605,0.015618271707199509,0.00446883561541603,-9.656416533349008,-0.08021581384950119,0.010015850517191383,0.010015850517191383
