model,site,n,rmse,rmse_sd,r2
WienerNet (Laplace),Woodwalton,3,1.6358,0.2679,0.5711
WienerNet (Laplace),Redmere 1,3,3.0923,0.2329,-0.4352
WienerNet (Laplace),Redmere 2,3,2.3188,0.0614,-0.0371
WienerNet (Laplace),Great Fen,3,2.8132,0.1310,-0.0897
WienerNet (Laplace),Rosedene,3,1.9796,0.0657,0.5832
WienerNet (Mixture),Woodwalton,3,2.3172,0.9129,0.0318
WienerNet (Mixture),Redmere 1,3,10.8829,11.1430,-35.2060
WienerNet (Mixture),Redmere 2,3,2.3790,0.3374,-0.1129
WienerNet (Mixture),Great Fen,3,2.6317,0.1233,0.0463
WienerNet (Mixture),Rosedene,3,1.9944,0.0289,0.5773
Student-t diffusion,Woodwalton,3,1.7924,0.5377,0.4534
Student-t diffusion,Redmere 1,3,470.4016,660.2904,-98088.6084
Student-t diffusion,Redmere 2,3,3.0785,0.2080,-0.8351
Student-t diffusion,Great Fen,3,5.0021,2.6074,-3.3717
Student-t diffusion,Rosedene,3,2.5319,0.4868,0.2937
Gaussian diffusion,Woodwalton,3,1.9395,0.5712,0.3619
Gaussian diffusion,Redmere 1,3,337.0423,472.6674,-50294.6537
Gaussian diffusion,Redmere 2,3,2.1992,0.0885,0.0662
Gaussian diffusion,Great Fen,3,2.6771,0.3658,-0.0030
Gaussian diffusion,Rosedene,3,2.3235,0.0984,0.4254
β-NLL Gaussian,Woodwalton,3,1.4607,0.0882,0.6657
β-NLL Gaussian,Redmere 1,3,2.7887,0.2084,-0.1671
β-NLL Gaussian,Redmere 2,3,2.3809,0.1002,-0.0946
β-NLL Gaussian,Great Fen,3,2.6158,0.0436,0.0596
β-NLL Gaussian,Rosedene,3,2.0532,0.0305,0.5520
Laplace (no variance match),Woodwalton,3,1.3079,0.0380,0.7328
Laplace (no variance match),Redmere 1,3,2.6920,0.1294,-0.0840
Laplace (no variance match),Redmere 2,3,2.2193,0.0560,0.0501
Laplace (no variance match),Great Fen,3,2.7029,0.2919,-0.0154
Laplace (no variance match),Rosedene,3,2.0471,0.0680,0.5542
MMD noise,Woodwalton,3,6.9142,0.4152,-6.4891
MMD noise,Redmere 1,3,724.2343,268.2687,-89018.1523
MMD noise,Redmere 2,3,1.8653,0.0375,0.3291
MMD noise,Great Fen,3,1.9468,0.0466,0.4790
MMD noise,Rosedene,3,1.8764,0.0340,0.6258
Laplace + residual,Woodwalton,3,1.3769,0.1048,0.7024
Laplace + residual,Redmere 1,3,966.0870,1128.8549,-329466.7235
Laplace + residual,Redmere 2,3,2.3168,0.2001,-0.0423
Laplace + residual,Great Fen,3,3.2109,0.7901,-0.5022
Laplace + residual,Rosedene,3,2.0064,0.0982,0.5713
Mixture + residual,Woodwalton,3,1.2972,0.0445,0.7370
Mixture + residual,Redmere 1,3,45.8292,20.4842,-375.0720
Mixture + residual,Redmere 2,3,2.2944,0.0819,-0.0160
Mixture + residual,Great Fen,3,3.2514,0.6212,-0.5055
Mixture + residual,Rosedene,3,2.2024,0.1124,0.4833
Deterministic (no noise),Woodwalton,3,1.9576,0.5447,0.3555
Deterministic (no noise),Redmere 1,3,2.3179,0.1525,0.1947
Deterministic (no noise),Redmere 2,3,1.6537,0.0655,0.4721
Deterministic (no noise),Great Fen,3,1.8933,0.0250,0.5074
Deterministic (no noise),Rosedene,3,1.8256,0.0210,0.6458
Analytical SDE,Woodwalton,1,2.1258,0.0000,0.2946
Analytical SDE,Redmere 1,1,2.0119,0.0000,0.3959
Analytical SDE,Redmere 2,1,2.2678,0.0000,0.0087
Analytical SDE,Great Fen,1,2.4250,0.0000,0.1921
Analytical SDE,Rosedene,1,2.3253,0.0000,0.4255
Original WienerNet (MMD),Woodwalton,3,1.6257,0.3305,0.5704
Original WienerNet (MMD),Redmere 1,1,340.6978,0.0000,-17322.0215
Original WienerNet (MMD),Redmere 2,3,1.5670,0.1445,0.5227
Original WienerNet (MMD),Great Fen,3,1.7081,0.1115,0.5974
Original WienerNet (MMD),Rosedene,3,1.7339,0.1165,0.6791
Mixture-density net,Woodwalton,3,3.5607,2.6828,-2.1025
Mixture-density net,Redmere 1,3,30.3818,16.9862,-179.8167
Mixture-density net,Redmere 2,3,2.4178,0.3071,-0.1449
Mixture-density net,Great Fen,3,2.4625,0.2596,0.1576
Mixture-density net,Rosedene,3,2.2238,0.1132,0.4732
Mean-variance net,Woodwalton,3,1.9659,0.3598,0.3765
Mean-variance net,Redmere 1,3,171.1098,114.1976,-6314.7837
Mean-variance net,Redmere 2,3,3.0181,0.4091,-0.7881
Mean-variance net,Great Fen,3,2.6365,0.1944,0.0398
Mean-variance net,Rosedene,3,2.4278,0.1291,0.3719
Neural SDE,Woodwalton,3,1.8809,0.5926,0.3930
Neural SDE,Redmere 1,3,956.0746,1077.1773,-309580.7467
Neural SDE,Redmere 2,3,2.3396,0.1794,-0.0612
Neural SDE,Great Fen,3,3.8054,1.5276,-1.3102
Neural SDE,Rosedene,3,2.3228,0.2483,0.4202
Random forest,Woodwalton,3,1.5514,0.0118,0.6243
Random forest,Redmere 1,3,1.2835,0.0104,0.7541
Random forest,Redmere 2,3,1.5366,0.0092,0.5449
Random forest,Great Fen,3,1.5789,0.0028,0.6575
Random forest,Rosedene,3,1.6143,0.0036,0.7231
XGBoost,Woodwalton,3,2.3057,0.0000,0.1702
XGBoost,Redmere 1,3,1.3477,0.0000,0.7289
XGBoost,Redmere 2,3,1.6706,0.0000,0.4621
XGBoost,Great Fen,3,1.6105,0.0000,0.6437
XGBoost,Rosedene,3,1.7273,0.0000,0.6830
