model,site,n,crps,crps_sd,cov90,cov90_sd,cov95,pit_ks,sharp90
WienerNet (Laplace),Woodwalton,3,0.5631,0.0737,0.7383,0.1119,0.7850,0.1639,2.0319
WienerNet (Laplace),Redmere 1,3,0.7949,0.0729,0.8655,0.0179,0.9076,0.0514,4.3597
WienerNet (Laplace),Redmere 2,3,0.7118,0.0096,0.8589,0.0239,0.9068,0.0747,4.3248
WienerNet (Laplace),Great Fen,3,0.9182,0.0102,0.8493,0.0395,0.8956,0.0496,5.5251
WienerNet (Laplace),Rosedene,3,0.7359,0.0081,0.7494,0.0427,0.8098,0.0827,2.3407
WienerNet (Mixture),Woodwalton,3,0.5777,0.0671,0.8201,0.1925,0.8637,0.1857,4.5537
WienerNet (Mixture),Redmere 1,3,0.7747,0.1006,0.8981,0.0148,0.9453,0.0527,6.1430
WienerNet (Mixture),Redmere 2,3,0.7212,0.0209,0.8344,0.0515,0.9010,0.0943,3.9715
WienerNet (Mixture),Great Fen,3,0.9092,0.0138,0.8327,0.0539,0.9037,0.0722,5.0041
WienerNet (Mixture),Rosedene,3,0.7326,0.0035,0.7452,0.0338,0.8323,0.0924,2.2424
Student-t diffusion,Woodwalton,3,0.5524,0.0409,0.6391,0.3042,0.6836,0.2989,2.2405
Student-t diffusion,Redmere 1,3,4.0621,4.6996,0.8567,0.0294,0.9066,0.0463,63.1178
Student-t diffusion,Redmere 2,3,0.7200,0.0087,0.8583,0.0388,0.9173,0.0916,4.4594
Student-t diffusion,Great Fen,3,0.9551,0.0276,0.6396,0.0609,0.7077,0.1294,3.5791
Student-t diffusion,Rosedene,3,0.7505,0.0181,0.6816,0.0602,0.7649,0.1184,2.1546
Gaussian diffusion,Woodwalton,3,0.6018,0.1056,0.8458,0.1276,0.8682,0.2440,3.8942
Gaussian diffusion,Redmere 1,3,4.2200,4.9213,0.9012,0.0133,0.9214,0.1071,50.0504
Gaussian diffusion,Redmere 2,3,0.7295,0.0079,0.8744,0.0076,0.9065,0.1199,4.2464
Gaussian diffusion,Great Fen,3,0.9064,0.0369,0.8669,0.0454,0.8974,0.0709,5.2353
Gaussian diffusion,Rosedene,3,0.7400,0.0103,0.9038,0.0251,0.9269,0.1051,4.2763
β-NLL Gaussian,Woodwalton,3,0.5606,0.0171,0.6850,0.1096,0.7253,0.2224,1.5876
β-NLL Gaussian,Redmere 1,3,0.7503,0.0332,0.8940,0.0118,0.9169,0.1013,4.3457
β-NLL Gaussian,Redmere 2,3,0.7515,0.0164,0.8764,0.0317,0.9054,0.1260,4.6801
β-NLL Gaussian,Great Fen,3,0.9059,0.0085,0.8736,0.0090,0.9040,0.0833,5.1544
β-NLL Gaussian,Rosedene,3,0.7285,0.0088,0.7992,0.0287,0.8374,0.0542,2.7384
Laplace (no variance match),Woodwalton,3,0.5085,0.0145,0.6106,0.0273,0.6676,0.1972,0.8097
Laplace (no variance match),Redmere 1,3,0.7110,0.0121,0.8778,0.0111,0.9188,0.0350,3.9959
Laplace (no variance match),Redmere 2,3,0.7152,0.0079,0.8520,0.0167,0.8995,0.0819,4.2264
Laplace (no variance match),Great Fen,3,0.9181,0.0087,0.8023,0.0784,0.8487,0.0745,5.0022
Laplace (no variance match),Rosedene,3,0.7339,0.0096,0.7834,0.0327,0.8348,0.0556,2.7112
MMD noise,Woodwalton,3,5.4210,0.4200,0.0002,0.0002,0.0002,0.5247,0.0018
MMD noise,Redmere 1,3,17.6519,6.2381,0.0021,0.0005,0.0023,0.5261,0.0049
MMD noise,Redmere 2,3,1.0961,0.0469,0.0030,0.0020,0.0034,0.5608,0.0130
MMD noise,Great Fen,3,1.2095,0.0389,0.0040,0.0023,0.0046,0.5142,0.0127
MMD noise,Rosedene,3,1.0101,0.0436,0.0012,0.0003,0.0014,0.5560,0.0023
Laplace + residual,Woodwalton,3,0.5219,0.0515,0.6461,0.1659,0.6957,0.2163,1.2754
Laplace + residual,Redmere 1,3,5.5626,4.4972,0.9099,0.0195,0.9439,0.0814,89.5787
Laplace + residual,Redmere 2,3,0.7372,0.0174,0.8473,0.0324,0.8920,0.0874,4.3562
Laplace + residual,Great Fen,3,1.0189,0.1082,0.8556,0.0771,0.9001,0.1124,6.4354
Laplace + residual,Rosedene,3,0.7328,0.0141,0.7627,0.0740,0.8234,0.0918,2.4528
Mixture + residual,Woodwalton,3,0.5056,0.0281,0.5308,0.2450,0.5731,0.2616,0.7208
Mixture + residual,Redmere 1,3,1.2152,0.2371,0.8860,0.0128,0.9375,0.0645,18.3141
Mixture + residual,Redmere 2,3,0.7061,0.0068,0.8380,0.0372,0.8911,0.0861,3.8921
Mixture + residual,Great Fen,3,0.9289,0.0156,0.8757,0.0791,0.9281,0.0678,7.0504
Mixture + residual,Rosedene,3,0.7225,0.0003,0.8328,0.0295,0.8913,0.0369,3.2965
Deterministic (no noise),Woodwalton,3,0.9301,0.1269,nan,nan,nan,nan,nan
Deterministic (no noise),Redmere 1,3,0.9788,0.0360,nan,nan,nan,nan,nan
Deterministic (no noise),Redmere 2,3,0.8802,0.0342,nan,nan,nan,nan,nan
Deterministic (no noise),Great Fen,3,1.1718,0.0150,nan,nan,nan,nan,nan
Deterministic (no noise),Rosedene,3,0.9483,0.0151,nan,nan,nan,nan,nan
Analytical SDE,Woodwalton,1,0.6341,0.0000,0.9567,0.0000,0.9672,0.2564,5.4754
Analytical SDE,Redmere 1,1,0.6566,0.0000,0.9536,0.0000,0.9691,0.1551,5.1642
Analytical SDE,Redmere 2,1,0.7735,0.0000,0.9213,0.0000,0.9373,0.1621,5.0850
Analytical SDE,Great Fen,1,0.9071,0.0000,0.8872,0.0000,0.9125,0.0933,4.9361
Analytical SDE,Rosedene,1,0.7844,0.0000,0.9103,0.0000,0.9305,0.1420,4.6881
Original WienerNet (MMD),Woodwalton,3,0.8974,0.1360,0.2552,0.3604,0.2755,0.5094,1.0589
Original WienerNet (MMD),Redmere 1,1,9.4295,0.0000,0.0000,0.0000,0.0000,0.6456,0.0000
Original WienerNet (MMD),Redmere 2,3,0.7709,0.0648,0.2865,0.4033,0.2973,0.4111,1.0641
Original WienerNet (MMD),Great Fen,3,0.9592,0.1200,0.2707,0.3829,0.2834,0.4028,1.0603
Original WienerNet (MMD),Rosedene,3,0.8129,0.0889,0.2874,0.4055,0.2967,0.4476,1.0611
Mixture-density net,Woodwalton,3,0.7388,0.3328,0.9129,0.0616,0.9354,0.2109,8.8080
Mixture-density net,Redmere 1,3,1.2986,0.4503,0.8968,0.0065,0.9375,0.0364,6.4853
Mixture-density net,Redmere 2,3,0.7263,0.0158,0.8200,0.0424,0.8829,0.0777,3.9519
Mixture-density net,Great Fen,3,0.9118,0.0102,0.7605,0.0429,0.8477,0.1135,3.8891
Mixture-density net,Rosedene,3,0.7202,0.0123,0.8419,0.0475,0.8953,0.0435,3.2251
Mean-variance net,Woodwalton,3,0.5694,0.0567,0.8034,0.1568,0.8261,0.2134,3.4107
Mean-variance net,Redmere 1,3,7.4461,4.6462,0.9212,0.0075,0.9407,0.1211,8.8749
Mean-variance net,Redmere 2,3,0.8083,0.0430,0.8903,0.0227,0.9165,0.1370,5.9370
Mean-variance net,Great Fen,3,0.9194,0.0256,0.7999,0.0529,0.8368,0.0759,4.6920
Mean-variance net,Rosedene,3,0.7497,0.0054,0.8809,0.0106,0.9051,0.1015,4.2456
Neural SDE,Woodwalton,3,0.5849,0.0895,0.7808,0.2131,0.8037,0.2409,3.4127
Neural SDE,Redmere 1,3,19.4588,20.8595,0.9286,0.0095,0.9478,0.1365,163.3161
Neural SDE,Redmere 2,3,0.7549,0.0143,0.8718,0.0361,0.9033,0.1343,4.5335
Neural SDE,Great Fen,3,1.0836,0.1969,0.8978,0.0309,0.9233,0.1139,7.7835
Neural SDE,Rosedene,3,0.7545,0.0238,0.8760,0.0466,0.9042,0.1144,4.0510
