model,site,seed,crps,nll,cov50,cov90,cov95,sharp50,sharp90,sharp95,pit_mean,pit_var,pit_ks,rmse_floor,mean_z,std_z,acf1,drift_r2,noise_skew,noise_exkurt,noise_tail3sd,energy_distance,vvs_ratio_maxwin,rmse
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",woodwalton,0,0.4912556620006354,8.486940064530586,0.5587275693311582,0.8230016313213703,0.8601141924959217,0.6311512311328653,2.036470410642367,2.5961790479264706,0.4638371646608882,0.08033569817748398,0.09567700992458972,1.5677589430343275,-0.3800017220965633,4.132022130437937,"{'lag': 2, 'hours': 1.0, 'acf': -0.017640723658077364, 'n': 13127}",-0.049186705158074995,-0.7748362593553684,49.69685039097424,0.02167326963411792,0.016752118054205956,6.090007034024381,1.5232720375061035
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",woodwalton,1,0.5265445427171237,100.79044119102889,0.29060824982521555,0.5106618503845257,0.55936844558378,0.17884701628331726,0.5771731005225611,0.7363424590892849,0.3449977951560757,0.12512533824685043,0.28848906155487597,1.5677589430343275,-2.7041578828521198,14.039030052010082,"{'lag': 2, 'hours': 1.0, 'acf': 0.03498671221563529, 'n': 13127}",-0.0538953509496749,-0.7300698102734259,49.87504191615769,0.021032393381496154,0.11022489108993422,1.6672142513218982,1.283021092414856
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",woodwalton,42,0.9551523802941282,7.371488291154904,0.5340247028664646,0.7772081099976695,0.8239338149615474,0.9670871407274557,3.120723193967283,3.978804823951509,0.40812076832737576,0.08085064689261633,0.17845344709716715,1.5677589430343275,-0.643684026534542,3.7199043330180723,"{'lag': 2, 'hours': 1.0, 'acf': 0.060330283311873956, 'n': 13127}",-4.580363863532521,-2.8069189823274243,14.632298900887577,0.02744115590771382,0.16853714051309476,101.40558210780696,2.837951898574829
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",rosedene,0,0.7406078022510003,6.743139512797583,0.29783479587943534,0.6893838229683327,0.7659290347195726,0.564640278972487,1.8230854428149417,2.324898105358596,0.49924933068458677,0.12834716065253962,0.11253740639340909,1.6879225953531205,-0.07054961788931281,3.70496813039118,"{'lag': 2, 'hours': 1.0, 'acf': -0.019002514730061836, 'n': 15188}",-0.0006922878330675175,-0.6776963322246858,41.9023215482288,0.02031667302556276,0.08674104527686483,1.984603191551243,1.9094804525375366
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",rosedene,1,0.7278471674243809,5.551277484615024,0.38201068294544066,0.7735120183136207,0.8313143838229683,0.7818911242337335,2.525577986167011,3.220704617948212,0.5023170336387729,0.1081798167356643,0.06501477433675185,1.6879225953531205,0.0008750490507613639,3.2843704426015283,"{'lag': 2, 'hours': 1.0, 'acf': -0.021582943519077597, 'n': 15188}",-0.0011241729817619284,-0.6667074778999831,41.99934011750201,0.020364364746280044,0.04331732479555461,4.797752897523818,1.9990228414535522
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",rosedene,42,0.739556639637523,7.698890518254556,0.38139069057611596,0.7497138496756963,0.80670545593285,0.7549826551168533,2.4388234354418805,3.1112295795712446,0.5024714414870358,0.1112463246250382,0.07522047190967907,1.6879225953531205,0.027988017580441504,3.894913882090745,"{'lag': 2, 'hours': 1.0, 'acf': -0.024384528380969692, 'n': 15188}",-0.0007615330098600381,-0.6625174360874722,42.02796426050023,0.020268981304845477,0.04870723139616573,5.421107518526287,1.9939404726028442
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",redmere_1,0,0.7552812115940547,5875905.728260103,0.4878234398782344,0.8188736681887366,0.8536276002029427,1.1709321753562767,3.756369879179152,4.7887821280703164,0.5164147995897063,0.09080291466037617,0.04412691362113367,1.5091149084560704,-222.83886949106045,3420.841075995501,"{'lag': 2, 'hours': 1.0, 'acf': 0.26133429930477087, 'n': 2679}",-3.5896210309686056,-9.07389077852296,121.70324808755007,0.006595636732623034,0.005457929659575811,22.05253156850652,2.7181789875030518
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",redmere_1,1,0.7922744186510831,2334414.8793997015,0.5279046169457129,0.8937087772704211,0.9317605276509386,1.513850401824256,4.874497125032798,6.216474074633899,0.5323915114161402,0.07585875643948982,0.05867056566957257,1.5091149084560704,-84.70545342655993,2159.086229488129,"{'lag': 2, 'hours': 1.0, 'acf': 0.49162217848478945, 'n': 2679}",-3.7842261411334297,-7.7496588620413,102.34779564886449,0.008625063419583967,0.007864130410901282,21.216974979891106,3.1238436698913574
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",redmere_1,42,1.012134496643065,5138432.26800958,0.45941146626078133,0.8554033485540334,0.906392694063927,1.386393564052498,4.466653089301272,5.696818866794675,0.5417725865099509,0.08760047435201816,0.080352182818057,1.5091149084560704,-204.2299414584018,3199.242642707767,"{'lag': 2, 'hours': 1.0, 'acf': 0.21472832542380516, 'n': 2679}",-5.8242676940163545,-6.012493427711428,58.218256918618046,0.0121765601217656,0.03329005751044867,91.09016396191618,3.804945230484009
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",redmere_2,0,0.7026009334359554,2.3578089187034843,0.52026286966046,0.8113362541073385,0.8680175246440307,1.1754386424487875,3.8179694920208056,4.859346895773564,0.5037594035707983,0.08568337608773892,0.06181589802674359,1.4304458489007619,-0.031012813606251667,1.948365494494598,"{'lag': 2, 'hours': 1.0, 'acf': 0.006766599223591193, 'n': 5057}",-0.05186303333028208,-0.72516437694007,19.070073229695854,0.02450711938663746,0.0160350039339916,9.471501228356253,2.288231611251831
