site,seed,model,rmse_h0-2,rmse_h2-5,rmse_h5+,covraw_h0-2,covraw_h2-5,covraw_h5+,covfix_h0-2,covfix_h2-5,covfix_h5+,crpsraw_h0-2,crpsraw_h2-5,crpsraw_h5+,crpsfix_h0-2,crpsfix_h2-5,crpsfix_h5+,pitksraw_h0-2,pitksraw_h2-5,pitksraw_h5+,pitksfix_h0-2,pitksfix_h2-5,pitksfix_h5+,cov50raw_h0-2,cov50raw_h2-5,cov50raw_h5+,cov50fix_h0-2,cov50fix_h2-5,cov50fix_h5+,cov95raw_h0-2,cov95raw_h2-5,cov95raw_h5+,cov95fix_h0-2,cov95fix_h2-5,cov95fix_h5+,sharpraw_h0-2,sharpraw_h2-5,sharpraw_h5+,sharpfix_h0-2,sharpfix_h2-5,sharpfix_h5+
woodwalton,0,WN-SS (ALD),1.1518352304357655,1.8901518003259083,2.653290557768173,0.695,0.6343355965082444,0.5802469135802469,0.95625,0.9049466537342384,0.8189300411522634,0.5727830485457024,1.006503251692553,1.5460542280714629,0.6593636599576255,0.9854359352938462,1.41956183057388,0.1275,0.1789039767216295,0.2253909465020576,0.20375,0.1198254122211445,0.0810699588477366,0.41,0.3831231813773036,0.3078189300411522,0.81125,0.6537342386032978,0.5102880658436214,0.7325,0.6954413191076625,0.6296296296296297,0.9725,0.9262851600387972,0.8617283950617284,1.7336493388367815,2.978392857327248,4.001544302907684,5.577533475834875,6.23648551060781,6.885284378275337
woodwalton,0,WN-SS (Gaussian),1.6319528510817194,3.324880009466772,6.295138151138489,0.95375,0.933074684772066,0.8757201646090536,,,,0.8135886904977824,1.5745199325480572,2.9278197890612523,,,,0.17875,0.1641416100872939,0.1134156378600823,,,,0.80125,0.7332686711930165,0.5917695473251029,,,,0.96375,0.9544131910766246,0.9069958847736626,,,,6.912299500545953,12.108129361364718,15.93955833637788,,,
woodwalton,0,WN-SS (beta-NLL),1.1193484773475493,1.8931129167440224,3.5959219192602565,0.89375,0.8884578079534433,0.8600823045267489,,,,0.5669109773491896,0.9984490956641412,1.6719209207247376,,,,0.14875,0.1038409311348206,0.1123868312757201,,,,0.7,0.6333656644034917,0.5646090534979424,,,,0.92375,0.91270611057226,0.9078189300411522,,,,3.702270272013731,6.425246472664676,8.531445655986483,,,
woodwalton,0,WN-SS (Student-t),1.1540479637230012,1.9872905477598064,3.310042300637904,0.89125,0.8913676042677012,0.8888888888888888,,,,0.6075114084192971,1.0882010555861734,1.77449180717717,,,,0.1224999999999999,0.1054122211445198,0.0776954732510287,,,,0.69,0.6382153249272551,0.5925925925925926,,,,0.91375,0.915615906886518,0.9325102880658436,,,,4.442356732518412,7.939732540925651,11.924890762884091,,,
woodwalton,0,WN-SS (mixture),1.4549521320401857,3.2025426607238603,4.31845325560967,0.8975,0.8971871968962173,0.8798353909465021,,,,0.6712610743613873,1.4079265479635383,2.00942868688414,,,,0.125,0.1346750727449078,0.1879012345679012,,,,0.635,0.6052376333656644,0.5909465020576131,,,,0.9275,0.930164888457808,0.9152263374485596,,,,4.239415291120298,7.981813160929318,11.294520361776398,,,
woodwalton,0,WN-SS (+residual),1.1583757315178258,2.022699288403032,2.8163902593904155,0.51625,0.4238603297769156,0.3325102880658436,,,,0.6235773602595991,1.2111412277680296,1.8437318539527063,,,,0.27,0.3011154219204655,0.4000823045267488,,,,0.23625,0.1862269641125121,0.1440329218106996,,,,0.595,0.4859359844810863,0.3901234567901234,,,,1.1118346362314184,2.001205286099625,2.625993384806891,,,
woodwalton,0,"WN-SS (given-diurnal, st-sp)",1.0683689129650298,1.6423455968886589,1.9728182551421345,0.94125,0.965082444228904,0.980246913580247,0.98,0.9776915615906888,0.9860082304526748,0.562381377112631,0.9365755130023942,1.2500144854290514,0.6916570968437432,1.0130123131215618,1.3074495389326302,0.18,0.2001939864209505,0.1961728395061729,0.23375,0.2131037827352085,0.2200411522633745,0.77,0.7963142580019399,0.8296296296296296,0.8875,0.8496605237633366,0.8502057613168724,0.95875,0.9757516973811832,0.9893004115226336,0.99125,0.98545101842871,0.9934156378600824,4.794990963290445,8.354866106738628,12.139245134726655,7.014750574104022,9.79734370935018,13.264913426809962
woodwalton,0,"WN-SS (given-diurnal, Wiener)",1.0683689129650298,1.6423455968886589,1.9728182551421345,0.68625,0.6576139670223085,0.665843621399177,,,,0.5151757214279185,0.8296883804321266,1.0143186082687832,,,,0.125,0.1378661493695441,0.1394238683127572,,,,0.435,0.3918525703200776,0.3530864197530864,,,,0.745,0.7070805043646945,0.7160493827160493,,,,1.396425604628399,2.4346049851435305,3.3852540574216663,,,
woodwalton,0,Neural SDE (Gaussian),3.226653366663658,7.557492452184776,13.80534126755396,0.77875,0.6459747817652765,0.5341563786008231,,,,1.7187540047528134,4.376369608889297,8.454155472219536,,,,0.2275,0.3068380213385063,0.3773662551440329,,,,0.4925,0.3559650824442289,0.2790123456790123,,,,0.8275,0.6983511154219205,0.6115226337448559,,,,7.309928479459136,12.654332086374524,18.73760846752198,,,
woodwalton,0,Neural SDE (Student-t),1.086551390250079,1.654174237791271,2.031824480008488,0.87375,0.8874878758486906,0.939917695473251,,,,0.5591205551080969,0.9419649446880516,1.2354988141280083,,,,0.16625,0.1672841901066925,0.156954732510288,,,,0.6975,0.6711930164888458,0.7045267489711934,,,,0.8975,0.918525703200776,0.9506172839506172,,,,3.909789738809922,7.12634297401927,10.551586746943372,,,
