scope,model,rmse_h0-2,rmse_h2-5,rmse_h5+,crpsraw_h0-2,crpsraw_h2-5,crpsraw_h5+,crpsfix_h0-2,crpsfix_h2-5,crpsfix_h5+,covraw_h0-2,covraw_h2-5,covraw_h5+,covfix_h0-2,covfix_h2-5,covfix_h5+,cov50raw_h0-2,cov50raw_h2-5,cov50raw_h5+,cov50fix_h0-2,cov50fix_h2-5,cov50fix_h5+,cov95raw_h0-2,cov95raw_h2-5,cov95raw_h5+,cov95fix_h0-2,cov95fix_h2-5,cov95fix_h5+,sharpraw_h0-2,sharpraw_h2-5,sharpraw_h5+,sharpfix_h0-2,sharpfix_h2-5,sharpfix_h5+,pitksraw_h0-2,pitksraw_h2-5,pitksraw_h5+,pitksfix_h0-2,pitksfix_h2-5,pitksfix_h5+
all5,WN-SS (ALD),2.334,3.11,2.504,0.885,1.256,1.464,0.953,1.301,1.481,0.83,0.885,0.888,0.954,0.959,0.945,0.541,0.65,0.681,0.782,0.786,0.762,0.868,0.909,0.905,0.969,0.971,0.958,4.668,8.012,10.638,7.224,9.867,12.123,0.133,0.203,0.284,0.201,0.223,0.277
all5,WN-SS (Gaussian),2.82,4.381,4.431,5.316,9.568,3.809,,,,0.933,0.943,0.928,,,,0.735,0.783,0.762,,,,0.95,0.957,0.942,,,,56.833,104.434,31.645,,,,0.181,0.231,0.265,,,
all5,WN-SS (beta-NLL),2.478,3.524,3.638,2.595,4.471,2.518,,,,0.902,0.927,0.916,,,,0.675,0.728,0.7,,,,0.927,0.946,0.933,,,,25.478,46.333,19.202,,,,0.157,0.214,0.271,,,
all5,WN-SS (Student-t),2.085,2.743,2.722,1.068,1.616,1.639,,,,0.888,0.931,0.927,,,,0.644,0.733,0.746,,,,0.92,0.949,0.941,,,,8.924,15.468,13.829,,,,0.136,0.197,0.254,,,
all5,WN-SS (mixture),2.162,2.79,2.438,0.88,1.294,1.588,,,,0.921,0.968,0.974,,,,0.633,0.794,0.844,,,,0.954,0.979,0.985,,,,6.734,12.182,17.08,,,,0.118,0.196,0.253,,,
all5,WN-SS (+residual),2.176,3.011,2.973,1.469,2.407,1.93,,,,0.838,0.876,0.883,,,,0.549,0.646,0.676,,,,0.879,0.902,0.902,,,,15.688,28.152,14.878,,,,0.136,0.202,0.25,,,
all5,"WN-SS (given-diurnal, st-sp)",1.551,1.716,1.723,0.781,0.997,1.183,0.853,1.054,1.228,0.848,0.915,0.933,0.956,0.973,0.979,0.573,0.701,0.765,0.789,0.815,0.838,0.884,0.934,0.947,0.97,0.983,0.987,4.749,8.185,10.884,7.148,9.894,12.261,0.132,0.2,0.257,0.2,0.225,0.262
all5,"WN-SS (given-diurnal, Wiener)",1.551,1.716,1.723,0.778,0.993,1.185,,,,0.826,0.897,0.925,,,,0.546,0.672,0.735,,,,0.868,0.921,0.942,,,,4.535,7.85,10.622,,,,0.121,0.189,0.243,,,
all5,Neural SDE (Gaussian),129.64,176.486,78.784,9.374,17.396,4.973,,,,0.926,0.939,0.908,,,,0.693,0.712,0.676,,,,0.949,0.956,0.933,,,,70.853,130.414,34.316,,,,0.18,0.226,0.274,,,
all5,Neural SDE (Student-t),44.678,60.605,27.649,6.038,10.712,3.141,,,,0.9,0.944,0.948,,,,0.647,0.721,0.723,,,,0.932,0.963,0.964,,,,70.291,126.368,31.993,,,,0.137,0.195,0.242,,,
all5,Neural SDE (ALD),8.233,11.045,6.238,1.754,2.891,1.774,,,,0.849,0.89,0.894,,,,0.548,0.639,0.645,,,,0.888,0.92,0.916,,,,12.15,21.583,13.21,,,,0.126,0.19,0.254,,,
all5,mean-var (Gaussian),17.138,23.027,10.993,1.99,3.279,1.81,,,,0.942,0.983,0.995,,,,0.763,0.85,0.874,,,,0.961,0.99,0.997,,,,8.729,14.675,16.081,,,,0.183,0.234,0.273,,,
all5,mean-var (Student-t),14.773,19.801,9.581,1.718,2.751,1.551,,,,0.898,0.956,0.973,,,,0.653,0.751,0.789,,,,0.925,0.97,0.985,,,,6.788,11.711,12.349,,,,0.136,0.191,0.235,,,
all5,mean-var (ALD),2.834,3.538,2.533,0.926,1.28,1.279,,,,0.888,0.948,0.972,,,,0.609,0.735,0.779,,,,0.919,0.965,0.983,,,,5.632,9.479,11.831,,,,0.129,0.194,0.26,,,
all5,Analytical (Gaussian),1.54,1.694,1.682,0.9,1.266,1.703,,,,0.959,0.991,0.998,,,,0.817,0.904,0.957,,,,0.967,0.995,0.999,,,,7.778,13.529,20.491,,,,0.204,0.254,0.303,,,
all5,Analytical (Student-t),1.54,1.694,1.682,0.76,0.905,1.03,,,,0.817,0.905,0.959,,,,0.565,0.688,0.798,,,,0.855,0.926,0.964,,,,3.414,5.934,9.043,,,,0.11,0.131,0.193,,,
all5,MDN (mixture),14.612,19.564,9.419,1.789,2.893,1.668,,,,0.912,0.968,0.986,,,,0.615,0.787,0.853,,,,0.945,0.981,0.993,,,,8.724,14.986,15.577,,,,0.123,0.205,0.271,,,
all5,Random Forest,1.566,1.578,1.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all5,XGBoost,1.836,1.827,1.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all5,WN-SS (predicted-k),2.598,3.509,3.063,1.029,1.609,2.224,,,,0.805,0.849,0.854,,,,0.544,0.676,0.726,,,,0.844,0.866,0.863,,,,5.45,9.384,12.953,,,,0.178,0.274,0.366,,,
all5,WN-SS (state-space),2.271,2.833,2.492,1.566,2.452,1.669,,,,0.838,0.896,0.903,,,,0.552,0.679,0.704,,,,0.878,0.92,0.922,,,,14.777,27.017,13.827,,,,0.123,0.195,0.269,,,
all5,"WN-SS (state-space, +residual)",2.214,2.933,2.968,3.162,5.441,2.406,,,,0.868,0.914,0.912,,,,0.578,0.691,0.705,,,,0.907,0.938,0.931,,,,40.784,74.98,22.163,,,,0.132,0.211,0.292,,,
all5,"WN-SS (state-space, predicted-k)",2.688,3.84,3.738,2.063,3.528,2.601,,,,0.866,0.919,0.926,,,,0.571,0.694,0.718,,,,0.903,0.937,0.939,,,,22.375,39.877,18.412,,,,0.158,0.246,0.324,,,
clean4,WN-SS (ALD),1.587,1.923,2.39,0.793,1.07,1.474,0.864,1.113,1.484,0.814,0.869,0.864,0.953,0.957,0.934,0.534,0.629,0.664,0.782,0.779,0.751,0.856,0.895,0.883,0.969,0.969,0.949,4.443,7.573,10.276,7.08,9.515,11.839,0.131,0.195,0.274,0.196,0.214,0.262
