model,site,crps_mean,crps_std,cov90_mean,cov90_std,cov95_mean,cov95_std,pit_ks_mean,pit_ks_std,rmse_mean,rmse_std
Analytical SDE,great_fen,0.9071202578316488,,0.8871648460774578,,0.9124875868917577,,0.09329223638615458,,2.424988269805908,
Analytical SDE,redmere_1,0.6565988045812102,,0.9535768645357686,,0.9690512430238457,,0.15514193123299114,,2.011859178543091,
Analytical SDE,redmere_2,0.773452169842891,,0.9212760131434831,,0.9372946330777656,,0.1620973550788457,,2.2677841186523438,
Analytical SDE,rosedene,0.7843893968518982,,0.910339565051507,,0.9305131629149179,,0.1419712646447414,,2.325254201889038,
Analytical SDE,woodwalton,0.6340902196911864,,0.9566534607317642,,0.9671987881612678,,0.2564336066673736,,2.12575364112854,
MDN (no physics),great_fen,0.9118107964441013,0.01246445716306678,0.760509764978484,0.052519673695596326,0.8476911618669315,0.04587663810090678,0.11346291182799421,0.012854844313506968,2.4624880949656167,0.31788256758120337
MDN (no physics),redmere_1,1.298578937621954,0.5514693701366523,0.8968374767461524,0.008007292813231969,0.9375105699306613,0.005466361021104002,0.03640772208972212,0.017674716527109693,30.381767908732098,20.803785023339305
MDN (no physics),redmere_2,0.7263140530515056,0.019350108518789624,0.8200073019350128,0.051910925404455355,0.8829408543263965,0.04582357391758924,0.07769776075667156,0.010902362002597957,2.4177743593851724,0.3761759861846015
MDN (no physics),rosedene,0.7201616357962966,0.015042493828251199,0.8418701513417272,0.05819137180120447,0.8952530840646064,0.04295306932753416,0.043546592343559364,0.015786561119723163,2.2237969239552817,0.13870075169286114
MDN (no physics),woodwalton,0.7388421182140575,0.40763813256337794,0.9128990911209508,0.07545677853977523,0.9354462829177348,0.05834147386138122,0.21092974404667778,0.05237733664371517,3.5607060194015503,3.285786928163214
Mean-Var Gaussian,great_fen,0.9193859892731947,0.03133095899536703,0.799942072161536,0.06473044183730008,0.8367676266137041,0.060396755960350414,0.07592912707921473,0.01433697969522113,2.636474847793579,0.2380902953780337
Mean-Var Gaussian,redmere_1,7.446073684236006,5.690374717728073,0.9211905969896836,0.009189787309466032,0.9407238288516827,0.005945677602315906,0.1210952074111243,0.022607104927293793,171.1097895304362,139.86296089121217
Mean-Var Gaussian,redmere_2,0.8082703398007732,0.05263276174146437,0.8902884264330048,0.027827140778146287,0.9164841182913471,0.02266987896877611,0.13704406248236492,0.01818402712851651,3.018132050832113,0.5010405394115638
Mean-Var Gaussian,rosedene,0.7496545339769591,0.006568528449058404,0.8809137733689432,0.013016520128615018,0.9050934757726058,0.011075574302643283,0.10147467264388126,0.01190138573488814,2.427835385004679,0.15810701560339505
Mean-Var Gaussian,woodwalton,0.5693952639749716,0.0694756466397103,0.8033869338926435,0.19208251016383177,0.8260894896294569,0.1792866883091905,0.2133816148224034,0.00960711887765026,1.9658908049265544,0.4406704698491878
Neural SDE,great_fen,1.0836174869156936,0.2411880126968742,0.8977987421383647,0.0378683902728024,0.9233283680900364,0.03182027925627998,0.11391311807757903,0.035367349387676335,3.8054239749908447,1.8709476176542792
Neural SDE,redmere_1,19.458814514601418,25.54756833393514,0.9286318281752072,0.011575999668382502,0.947826822256046,0.011116592608881641,0.1365441835435324,0.029430155735574174,956.0745544433594,1319.2673475322556
Neural SDE,redmere_2,0.7548726999561906,0.01754858675837425,0.8717597663380796,0.04415305689915245,0.9033406352683461,0.03858591319123268,0.13432260954148703,0.01672140583200276,2.3395631313323975,0.21968119484674356
Neural SDE,rosedene,0.7544834377132528,0.029209350987710884,0.8760492178557802,0.05709770638097269,0.9041555385984993,0.04606655689402626,0.11439647619512876,0.06322885652592462,2.322775363922119,0.30415561174404754
