Site,Model / ablation,CRPS,RMSE,cov90,sharp90,PIT-KS,n
Woodwalton,"WienerNet-SS (ALD, primary)",0.502 ± 0.023,1.34 ± 0.07,0.672 ± 0.091,1.13 ± 0.43,0.178 ± 0.066,5
Woodwalton,WienerNet-SS (Gaussian),0.706 ± 0.076,2.12 ± 0.12,0.883 ± 0.055,4.27 ± 0.70,0.158 ± 0.060,5
Woodwalton,WienerNet-SS (beta-NLL),0.555 ± 0.043,1.57 ± 0.06,0.813 ± 0.055,2.40 ± 0.34,0.143 ± 0.066,5
Woodwalton,WienerNet-SS (Student-t),0.518 ± 0.007,1.54 ± 0.09,0.794 ± 0.074,2.15 ± 0.44,0.120 ± 0.017,5
Woodwalton,WienerNet-SS (mixture),0.498 ± 0.025,1.93 ± 0.45,0.863 ± 0.049,2.90 ± 1.08,0.111 ± 0.030,5
Woodwalton,WienerNet-SS (+residual),0.536 ± 0.081,1.40 ± 0.19,0.684 ± 0.127,1.45 ± 0.95,0.188 ± 0.059,5
Woodwalton,WienerNet-SS (predicted-k),0.660 ± 0.135,1.57 ± 0.42,0.519 ± 0.297,2.01 ± 2.33,0.376 ± 0.144,5
Woodwalton,WienerNet-SS (state-space),0.511 ± 0.026,1.40 ± 0.17,0.703 ± 0.152,1.52 ± 1.04,0.151 ± 0.065,5
Woodwalton,"WienerNet-SS (state-space, +residual)",0.564 ± 0.031,1.62 ± 0.29,0.801 ± 0.116,2.67 ± 1.46,0.174 ± 0.028,5
Woodwalton,"WienerNet-SS (state-space, predicted-k)",0.755 ± 0.154,2.37 ± 0.79,0.810 ± 0.290,5.07 ± 3.07,0.301 ± 0.125,5
Woodwalton,"WienerNet-SS (given-diurnal, Wiener)",0.489 ± 0.005,1.30 ± 0.03,0.674 ± 0.057,0.96 ± 0.29,0.129 ± 0.027,5
Woodwalton,"WienerNet-SS (given-diurnal, state-sp)",0.487 ± 0.013,1.37 ± 0.15,0.716 ± 0.126,1.38 ± 0.98,0.134 ± 0.040,5
Woodwalton,Neural SDE (Gaussian),0.658 ± 0.118,2.03 ± 0.21,0.912 ± 0.026,4.33 ± 0.73,0.212 ± 0.054,5
Woodwalton,Neural SDE (Student-t),0.528 ± 0.067,1.63 ± 0.20,0.847 ± 0.039,2.64 ± 0.93,0.166 ± 0.042,5
Woodwalton,Neural SDE (ALD),0.508 ± 0.031,1.44 ± 0.22,0.717 ± 0.141,1.66 ± 1.09,0.164 ± 0.042,5
Woodwalton,Mean-variance (Gaussian),0.558 ± 0.024,1.92 ± 0.12,0.930 ± 0.008,4.09 ± 0.44,0.218 ± 0.018,5
Woodwalton,Mean-variance (Student-t),0.489 ± 0.015,1.54 ± 0.13,0.845 ± 0.027,2.21 ± 0.47,0.163 ± 0.024,5
Woodwalton,Mean-variance (ALD),0.494 ± 0.029,1.62 ± 0.28,0.836 ± 0.073,2.48 ± 1.13,0.158 ± 0.053,5
Woodwalton,Analytical SDE (Gaussian),0.633,2.12,0.957,5.46,0.256,1
Woodwalton,Analytical SDE (Student-t),0.497,1.41,0.849,2.05,0.173,1
Woodwalton,MDN (mixture),0.492 ± 0.032,1.75 ± 0.31,0.861 ± 0.039,2.96 ± 0.80,0.130 ± 0.038,5
Woodwalton,Random Forest,—,1.57 ± 0.02,—,—,—,5
Woodwalton,XGBoost,—,2.31 ± 0.00,—,—,—,5
