Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 5h+,PIT-KS 5h+,cov90 5h+,n
"WienerNet-SS (ALD, primary)",1.59 ± 0.26,1.92 ± 0.32,2.39 ± 1.05,1.474 ± 0.608,0.274 ± 0.105,0.864 ± 0.216,20
WienerNet-SS (Gaussian),2.07 ± 0.81,3.30 ± 2.58,4.70 ± 3.73,2.800 ± 1.773,0.262 ± 0.072,0.913 ± 0.137,20
WienerNet-SS (beta-NLL),1.72 ± 0.26,2.35 ± 0.85,3.66 ± 2.31,2.131 ± 1.341,0.272 ± 0.107,0.897 ± 0.162,20
WienerNet-SS (Student-t),1.61 ± 0.22,2.04 ± 0.40,2.70 ± 0.95,1.625 ± 0.481,0.251 ± 0.084,0.917 ± 0.151,20
WienerNet-SS (mixture),1.59 ± 0.26,1.93 ± 0.41,2.36 ± 0.98,1.629 ± 0.443,0.246 ± 0.051,0.970 ± 0.048,20
WienerNet-SS (+residual),1.66 ± 0.32,2.17 ± 0.89,3.02 ± 2.49,1.853 ± 1.500,0.248 ± 0.106,0.856 ± 0.218,20
WienerNet-SS (predicted-k),1.88 ± 0.45,2.39 ± 1.36,3.15 ± 3.32,2.449 ± 2.627,0.380 ± 0.191,0.819 ± 0.353,20
WienerNet-SS (state-space),1.79 ± 0.41,2.08 ± 0.48,2.45 ± 1.34,1.508 ± 0.631,0.254 ± 0.081,0.883 ± 0.184,20
"WienerNet-SS (state-space, +residual)",1.86 ± 0.40,2.34 ± 0.76,3.11 ± 1.88,1.908 ± 0.977,0.287 ± 0.082,0.895 ± 0.187,20
"WienerNet-SS (state-space, predicted-k)",2.05 ± 0.55,2.92 ± 2.13,3.99 ± 4.36,2.608 ± 2.771,0.329 ± 0.127,0.909 ± 0.213,20
WienerNet-SS (ALD + sigma_struct band),1.59 ± 0.26,1.92 ± 0.32,2.39 ± 1.05,1.484 ± 0.537,0.262 ± 0.086,0.934 ± 0.113,20
"WienerNet-SS (given-diurnal, Wiener)",1.53 ± 0.29,1.69 ± 0.09,1.80 ± 0.13,1.187 ± 0.196,0.230 ± 0.066,0.908 ± 0.140,20
"WienerNet-SS (given-diurnal, state-sp)",1.53 ± 0.29,1.69 ± 0.09,1.80 ± 0.13,1.191 ± 0.164,0.250 ± 0.067,0.920 ± 0.137,20
Neural SDE (Gaussian),1.90 ± 0.40,3.02 ± 1.38,4.70 ± 3.14,2.811 ± 2.033,0.270 ± 0.133,0.888 ± 0.172,20
Neural SDE (Student-t),1.66 ± 0.30,2.16 ± 0.70,2.82 ± 1.23,1.665 ± 0.603,0.239 ± 0.067,0.936 ± 0.072,20
Neural SDE (ALD),1.64 ± 0.28,2.09 ± 0.45,2.67 ± 0.86,1.567 ± 0.346,0.244 ± 0.067,0.870 ± 0.166,20
Mean-variance (Gaussian),1.56 ± 0.28,1.80 ± 0.16,2.11 ± 0.37,1.492 ± 0.212,0.276 ± 0.041,0.996 ± 0.005,20
Mean-variance (Student-t),1.55 ± 0.29,1.78 ± 0.15,2.06 ± 0.37,1.292 ± 0.215,0.223 ± 0.044,0.969 ± 0.040,20
Mean-variance (ALD),1.54 ± 0.28,1.75 ± 0.19,1.93 ± 0.51,1.268 ± 0.249,0.251 ± 0.053,0.967 ± 0.058,20
Analytical SDE (Gaussian),1.52 ± 0.34,1.68 ± 0.10,1.78 ± 0.11,1.708 ± 0.132,0.302 ± 0.028,0.998 ± 0.003,4
Analytical SDE (Student-t),1.52 ± 0.34,1.68 ± 0.10,1.78 ± 0.11,1.085 ± 0.273,0.195 ± 0.042,0.954 ± 0.035,4
MDN (mixture),1.55 ± 0.29,1.75 ± 0.08,1.96 ± 0.21,1.316 ± 0.189,0.269 ± 0.037,0.984 ± 0.023,20
Random Forest,1.59 ± 0.14,1.58 ± 0.21,1.45 ± 0.32,—,—,—,20
XGBoost,1.92 ± 0.39,1.90 ± 0.49,1.79 ± 0.61,—,—,—,20
