Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
"WienerNet-SS (ALD, primary)",0.703 ± 0.127,991197.58 ± 2053299.94,2.06 ± 0.43,0.450 ± 0.083,0.788 ± 0.088,0.838 ± 0.084,2.99 ± 1.23,0.084 ± 0.060,629.89 ± 1282.38,-0.46 ± 1.02,52.2 ± 44.4,8.79 ± 5.34,25
WienerNet-SS (Gaussian),1.480 ± 2.277,12165.20 ± 42877.97,94.89 ± 372.27,0.692 ± 0.054,0.911 ± 0.032,0.934 ± 0.027,14.32 ± 29.94,0.132 ± 0.034,44.86 ± 152.39,-0.70 ± 1.21,46.8 ± 43.5,25.92 ± 16.50,25
WienerNet-SS (beta-NLL),0.983 ± 0.782,152721.51 ± 520862.70,21.40 ± 60.27,0.628 ± 0.071,0.870 ± 0.050,0.899 ± 0.044,7.44 ± 10.70,0.109 ± 0.045,207.49 ± 522.24,-0.44 ± 0.81,50.6 ± 43.9,14.49 ± 7.43,25
WienerNet-SS (Student-t),0.773 ± 0.281,1.61 ± 0.21,9.02 ± 27.16,0.569 ± 0.058,0.844 ± 0.048,0.883 ± 0.045,4.52 ± 3.76,0.076 ± 0.036,375.07 ± 842.51,-0.31 ± 0.81,47.1 ± 37.0,14.23 ± 21.69,25
WienerNet-SS (mixture),0.703 ± 0.137,7690.02 ± 18004.70,3.04 ± 3.37,0.494 ± 0.088,0.871 ± 0.036,0.922 ± 0.026,4.10 ± 1.27,0.065 ± 0.035,52.50 ± 114.49,-0.51 ± 1.23,47.9 ± 43.6,18.92 ± 12.73,25
WienerNet-SS (+residual),0.816 ± 0.524,648491.85 ± 1625722.77,13.60 ± 57.58,0.471 ± 0.107,0.803 ± 0.100,0.851 ± 0.092,5.06 ± 9.56,0.087 ± 0.063,448.79 ± 1067.69,-0.49 ± 1.05,50.2 ± 42.0,11.57 ± 8.11,25
WienerNet-SS (predicted-k),0.788 ± 0.250,458166.98 ± 1629527.61,11.31 ± 41.74,0.462 ± 0.176,0.785 ± 0.187,0.834 ± 0.177,4.40 ± 4.73,0.121 ± 0.146,272.18 ± 934.63,-0.92 ± 1.85,50.3 ± 42.8,14.19 ± 10.11,25
WienerNet-SS (state-space),0.833 ± 0.438,295482.55 ± 932622.59,27.24 ± 73.55,0.469 ± 0.090,0.803 ± 0.098,0.851 ± 0.093,5.62 ± 8.36,0.076 ± 0.054,295.04 ± 723.26,-0.13 ± 0.28,48.9 ± 38.6,8.77 ± 5.28,25
"WienerNet-SS (state-space, +residual)",1.063 ± 1.347,438240.95 ± 1254298.99,41.67 ± 158.92,0.496 ± 0.103,0.834 ± 0.069,0.882 ± 0.057,9.80 ± 24.57,0.083 ± 0.053,353.29 ± 884.32,-0.43 ± 0.97,48.3 ± 40.5,11.65 ± 6.82,25
"WienerNet-SS (state-space, predicted-k)",0.927 ± 0.616,488404.47 ± 1464410.12,26.01 ± 80.33,0.499 ± 0.130,0.838 ± 0.126,0.882 ± 0.118,7.17 ± 11.58,0.104 ± 0.116,365.69 ± 935.37,-0.95 ± 1.79,48.7 ± 43.8,17.52 ± 22.98,25
WienerNet-SS (ALD + sigma_struct band),—,—,—,—,—,—,—,—,—,—,—,—,0
"WienerNet-SS (given-diurnal, Wiener)",0.685 ± 0.140,21981.57 ± 44840.94,1.91 ± 0.37,0.467 ± 0.087,0.784 ± 0.079,0.832 ± 0.076,2.94 ± 1.24,0.076 ± 0.037,97.30 ± 189.56,-0.01 ± 0.01,27.9 ± 15.3,8.11 ± 6.56,25
"WienerNet-SS (given-diurnal, state-sp)",0.681 ± 0.139,14677.61 ± 33902.52,1.93 ± 0.34,0.478 ± 0.092,0.803 ± 0.084,0.851 ± 0.081,3.01 ± 1.11,0.071 ± 0.044,77.65 ± 155.87,-0.01 ± 0.01,27.9 ± 15.3,7.73 ± 5.11,25
Neural SDE (Gaussian),2.117 ± 3.055,17767.16 ± 72708.32,96.62 ± 252.43,0.669 ± 0.057,0.905 ± 0.024,0.930 ± 0.018,16.29 ± 33.42,0.133 ± 0.049,57.71 ± 183.08,-4169.67 ± 10641.52,264.9 ± 487.7,22.17 ± 14.57,25
Neural SDE (Student-t),1.666 ± 2.230,1.55 ± 0.22,169.12 ± 521.23,0.581 ± 0.059,0.855 ± 0.033,0.894 ± 0.029,14.88 ± 30.29,0.088 ± 0.049,3026.95 ± 13128.13,-476.27 ± 1200.42,266.9 ± 486.1,12.13 ± 5.57,25
Neural SDE (ALD),0.852 ± 0.431,89941834.82 ± 377459765.11,12.15 ± 40.83,0.469 ± 0.087,0.811 ± 0.093,0.859 ± 0.087,4.45 ± 6.50,0.077 ± 0.054,4100.36 ± 13024.72,-26.96 ± 110.78,236.5 ± 524.4,9.70 ± 5.05,25
