Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
"WienerNet-SS (ALD, primary)",0.707 ± 0.142,13.62 ± 24.04,1.95 ± 0.41,0.439 ± 0.089,0.766 ± 0.086,0.819 ± 0.083,2.82 ± 1.33,0.095 ± 0.062,4.11 ± 3.22,-0.02 ± 0.04,31.5 ± 15.0,8.05 ± 5.45,20
WienerNet-SS (Gaussian),0.788 ± 0.096,1.83 ± 0.18,2.44 ± 0.31,0.694 ± 0.059,0.908 ± 0.035,0.931 ± 0.029,5.09 ± 1.05,0.137 ± 0.037,1.05 ± 0.22,-0.18 ± 0.39,26.1 ± 11.0,28.23 ± 17.01,20
WienerNet-SS (beta-NLL),0.730 ± 0.126,2.11 ± 0.59,2.13 ± 0.39,0.618 ± 0.075,0.858 ± 0.049,0.889 ± 0.043,3.84 ± 1.23,0.108 ± 0.050,1.46 ± 0.49,-0.05 ± 0.09,29.9 ± 13.4,14.82 ± 8.28,20
WienerNet-SS (Student-t),0.710 ± 0.137,1.59 ± 0.22,2.15 ± 0.55,0.571 ± 0.065,0.838 ± 0.051,0.876 ± 0.048,3.47 ± 1.08,0.082 ± 0.037,2.04 ± 0.85,-0.02 ± 0.03,30.8 ± 14.3,15.86 ± 24.08,20
WienerNet-SS (mixture),0.703 ± 0.144,1.82 ± 0.18,2.37 ± 0.47,0.509 ± 0.092,0.869 ± 0.040,0.920 ± 0.028,4.03 ± 1.18,0.069 ± 0.037,1.04 ± 0.27,-0.02 ± 0.02,31.2 ± 14.7,20.45 ± 13.77,20
WienerNet-SS (+residual),0.721 ± 0.138,9.16 ± 13.26,1.96 ± 0.38,0.458 ± 0.116,0.782 ± 0.101,0.832 ± 0.093,3.01 ± 1.30,0.099 ± 0.065,3.48 ± 2.41,-0.04 ± 0.08,30.7 ± 14.7,11.35 ± 8.99,20
WienerNet-SS (predicted-k),0.745 ± 0.106,30.07 ± 88.39,2.04 ± 0.39,0.446 ± 0.192,0.760 ± 0.202,0.811 ± 0.192,3.36 ± 1.62,0.141 ± 0.156,4.38 ± 6.34,-0.05 ± 0.17,30.3 ± 14.1,14.96 ± 10.86,20
WienerNet-SS (state-space),0.708 ± 0.139,24.45 ± 79.88,1.95 ± 0.37,0.458 ± 0.097,0.782 ± 0.100,0.832 ± 0.096,2.91 ± 1.18,0.084 ± 0.057,4.27 ± 5.64,-0.02 ± 0.04,31.2 ± 14.7,8.90 ± 5.85,20
"WienerNet-SS (state-space, +residual)",0.725 ± 0.119,4.60 ± 6.03,2.03 ± 0.32,0.498 ± 0.115,0.825 ± 0.074,0.873 ± 0.061,3.43 ± 1.08,0.092 ± 0.055,2.50 ± 1.42,-0.04 ± 0.10,29.6 ± 13.1,12.36 ± 7.39,20
"WienerNet-SS (state-space, predicted-k)",0.763 ± 0.102,9.84 ± 32.51,2.20 ± 0.41,0.498 ± 0.145,0.828 ± 0.139,0.873 ± 0.131,3.92 ± 1.69,0.122 ± 0.123,2.60 ± 3.29,-0.15 ± 0.34,27.9 ± 12.2,19.24 ± 25.46,20
WienerNet-SS (ALD + sigma_struct band),—,—,—,—,—,—,—,—,—,—,—,—,0
"WienerNet-SS (given-diurnal, Wiener)",0.707 ± 0.149,15.59 ± 24.32,1.94 ± 0.41,0.462 ± 0.095,0.766 ± 0.078,0.816 ± 0.077,2.80 ± 1.35,0.088 ± 0.033,4.45 ± 3.42,-0.01 ± 0.01,31.6 ± 14.9,8.03 ± 7.14,20
"WienerNet-SS (given-diurnal, state-sp)",0.703 ± 0.148,29.29 ± 85.19,1.95 ± 0.38,0.476 ± 0.103,0.787 ± 0.087,0.836 ± 0.084,2.89 ± 1.21,0.082 ± 0.043,4.71 ± 6.15,-0.01 ± 0.01,31.6 ± 14.9,7.51 ± 5.48,20
Neural SDE (Gaussian),0.773 ± 0.113,1.79 ± 0.13,2.37 ± 0.28,0.666 ± 0.062,0.900 ± 0.024,0.927 ± 0.018,4.76 ± 0.75,0.137 ± 0.054,1.08 ± 0.14,-0.12 ± 0.26,28.3 ± 13.4,23.02 ± 15.84,20
Neural SDE (Student-t),0.715 ± 0.138,1.55 ± 0.24,2.09 ± 0.31,0.585 ± 0.065,0.848 ± 0.032,0.887 ± 0.028,3.54 ± 0.81,0.095 ± 0.053,1.85 ± 0.65,-0.04 ± 0.11,30.8 ± 14.9,12.07 ± 6.10,20
Neural SDE (ALD),0.712 ± 0.143,91.47 ± 326.40,1.99 ± 0.36,0.462 ± 0.095,0.792 ± 0.095,0.842 ± 0.089,3.07 ± 1.14,0.087 ± 0.057,6.51 ± 12.14,-0.04 ± 0.07,31.0 ± 15.0,9.40 ± 5.56,20
Mean-variance (Gaussian),0.729 ± 0.117,1.70 ± 0.14,2.29 ± 0.27,0.701 ± 0.079,0.907 ± 0.029,0.930 ± 0.021,4.56 ± 0.55,0.137 ± 0.056,1.04 ± 0.12,0.00 ± 0.02,31.8 ± 15.4,13.60 ± 3.48,20
Mean-variance (Student-t),0.700 ± 0.144,1.52 ± 0.29,2.07 ± 0.35,0.583 ± 0.088,0.839 ± 0.048,0.879 ± 0.040,3.35 ± 0.83,0.097 ± 0.045,1.90 ± 0.59,0.00 ± 0.02,31.8 ± 15.5,8.69 ± 4.33,20
Mean-variance (ALD),0.700 ± 0.143,3.88 ± 3.12,2.02 ± 0.32,0.522 ± 0.104,0.831 ± 0.057,0.877 ± 0.047,3.27 ± 0.87,0.082 ± 0.055,2.44 ± 1.00,-0.01 ± 0.03,31.9 ± 15.3,8.49 ± 4.18,20
Analytical SDE (Gaussian),0.775 ± 0.112,1.93 ± 0.16,2.28 ± 0.13,0.750 ± 0.086,0.919 ± 0.029,0.937 ± 0.023,5.04 ± 0.32,0.163 ± 0.068,1.03 ± 0.22,-0.01 ± 0.02,31.5 ± 16.9,20.71 ± 4.90,4
Analytical SDE (Student-t),0.723 ± 0.166,1.51 ± 0.30,1.79 ± 0.36,0.546 ± 0.129,0.767 ± 0.095,0.803 ± 0.086,2.34 ± 1.21,0.113 ± 0.045,2.54 ± 1.03,-0.01 ± 0.02,31.5 ± 16.9,5.58 ± 4.85,4
