Site,Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
Woodwalton,"WienerNet-SS (ALD, primary)",0.502 ± 0.023,42.24 ± 37.07,1.34 ± 0.07,0.414 ± 0.074,0.672 ± 0.091,0.719 ± 0.089,1.13 ± 0.43,0.178 ± 0.066,8.58 ± 3.83,-0.06 ± 0.06,49.6 ± 1.2,2.83 ± 1.89,5
Woodwalton,WienerNet-SS (Gaussian),0.706 ± 0.076,1.90 ± 0.31,2.12 ± 0.12,0.671 ± 0.091,0.883 ± 0.055,0.910 ± 0.046,4.27 ± 0.70,0.158 ± 0.060,1.24 ± 0.34,-0.69 ± 0.52,29.4 ± 7.9,49.41 ± 18.74,5
Woodwalton,WienerNet-SS (beta-NLL),0.555 ± 0.043,2.78 ± 0.92,1.57 ± 0.06,0.604 ± 0.086,0.813 ± 0.055,0.844 ± 0.048,2.40 ± 0.34,0.143 ± 0.066,2.09 ± 0.52,-0.17 ± 0.13,44.0 ± 4.7,13.21 ± 7.90,5
Woodwalton,WienerNet-SS (Student-t),0.518 ± 0.007,1.45 ± 0.29,1.54 ± 0.09,0.593 ± 0.078,0.794 ± 0.074,0.829 ± 0.069,2.15 ± 0.44,0.120 ± 0.017,3.16 ± 0.97,-0.07 ± 0.04,47.2 ± 1.1,8.06 ± 3.44,5
Woodwalton,WienerNet-SS (mixture),0.498 ± 0.025,1.75 ± 0.27,1.93 ± 0.45,0.555 ± 0.130,0.863 ± 0.049,0.906 ± 0.033,2.90 ± 1.08,0.111 ± 0.030,1.17 ± 0.34,-0.05 ± 0.02,48.5 ± 2.7,13.77 ± 7.03,5
Woodwalton,WienerNet-SS (+residual),0.536 ± 0.081,25.19 ± 19.92,1.40 ± 0.19,0.422 ± 0.161,0.684 ± 0.127,0.732 ± 0.117,1.45 ± 0.95,0.188 ± 0.059,6.58 ± 3.12,-0.10 ± 0.15,47.0 ± 7.0,8.88 ± 13.68,5
Woodwalton,WienerNet-SS (predicted-k),0.660 ± 0.135,111.34 ± 161.55,1.57 ± 0.42,0.281 ± 0.314,0.519 ± 0.297,0.583 ± 0.288,2.01 ± 2.33,0.376 ± 0.144,11.17 ± 10.64,-0.21 ± 0.32,44.8 ± 8.8,17.43 ± 15.18,5
Woodwalton,WienerNet-SS (state-space),0.511 ± 0.026,86.23 ± 154.73,1.40 ± 0.17,0.448 ± 0.111,0.703 ± 0.152,0.748 ± 0.150,1.52 ± 1.04,0.151 ± 0.065,9.56 ± 10.13,-0.06 ± 0.06,48.6 ± 2.9,6.57 ± 7.34,5
Woodwalton,"WienerNet-SS (state-space, +residual)",0.564 ± 0.031,9.43 ± 11.48,1.62 ± 0.29,0.516 ± 0.165,0.801 ± 0.116,0.848 ± 0.098,2.67 ± 1.46,0.174 ± 0.028,3.59 ± 2.61,-0.16 ± 0.16,42.6 ± 5.3,16.97 ± 8.71,5
Woodwalton,"WienerNet-SS (state-space, predicted-k)",0.755 ± 0.154,31.10 ± 65.31,2.37 ± 0.79,0.548 ± 0.264,0.810 ± 0.290,0.841 ± 0.274,5.07 ± 3.07,0.301 ± 0.125,4.24 ± 6.82,-0.61 ± 0.45,35.2 ± 10.2,49.49 ± 38.09,5
