Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
"WienerNet-SS (ALD, primary)",2.33 ± 1.56,3.11 ± 2.47,2.50 ± 0.96,0.885 ± 0.230,1.256 ± 0.420,1.464 ± 0.541,0.284 ± 0.097,0.888 ± 0.198,10.64 ± 4.14,25
WienerNet-SS (Gaussian),2.82 ± 1.70,4.38 ± 3.18,4.43 ± 3.37,5.316 ± 14.177,9.568 ± 25.901,3.809 ± 4.243,0.265 ± 0.064,0.928 ± 0.126,31.64 ± 45.27,25
WienerNet-SS (beta-NLL),2.48 ± 1.58,3.52 ± 2.52,3.64 ± 2.07,2.595 ± 5.006,4.471 ± 9.135,2.518 ± 1.805,0.271 ± 0.097,0.916 ± 0.149,19.20 ± 16.96,25
WienerNet-SS (Student-t),2.09 ± 1.18,2.74 ± 1.83,2.72 ± 0.92,1.068 ± 1.034,1.616 ± 1.890,1.639 ± 0.523,0.254 ± 0.076,0.927 ± 0.137,13.83 ± 6.33,25
WienerNet-SS (mixture),2.16 ± 1.37,2.79 ± 2.12,2.44 ± 0.93,0.880 ± 0.200,1.294 ± 0.336,1.588 ± 0.405,0.253 ± 0.051,0.974 ± 0.044,17.08 ± 5.51,25
WienerNet-SS (+residual),2.18 ± 1.33,3.01 ± 2.19,2.97 ± 2.23,1.469 ± 2.939,2.407 ± 5.439,1.930 ± 1.521,0.250 ± 0.100,0.883 ± 0.202,14.88 ± 15.75,25
WienerNet-SS (predicted-k),2.60 ± 1.54,3.51 ± 2.65,3.06 ± 2.96,1.029 ± 0.265,1.609 ± 0.981,2.224 ± 2.383,0.366 ± 0.173,0.854 ± 0.322,12.95 ± 5.71,25
WienerNet-SS (state-space),2.27 ± 1.14,2.83 ± 1.76,2.49 ± 1.21,1.566 ± 2.506,2.452 ± 4.670,1.669 ± 0.845,0.269 ± 0.080,0.903 ± 0.169,13.83 ± 10.66,25
"WienerNet-SS (state-space, +residual)",2.21 ± 1.03,2.93 ± 1.71,2.97 ± 1.75,3.162 ± 8.875,5.441 ± 16.304,2.406 ± 2.385,0.292 ± 0.076,0.912 ± 0.170,22.16 ± 39.06,25
"WienerNet-SS (state-space, predicted-k)",2.69 ± 1.44,3.84 ± 2.75,3.74 ± 3.91,2.063 ± 3.685,3.528 ± 6.759,2.601 ± 2.588,0.324 ± 0.114,0.926 ± 0.193,18.41 ± 16.16,25
WienerNet-SS (ALD + sigma_struct band),2.33 ± 1.56,3.11 ± 2.47,2.50 ± 0.96,0.953 ± 0.217,1.301 ± 0.415,1.481 ± 0.478,0.277 ± 0.083,0.945 ± 0.103,12.12 ± 3.47,25
"WienerNet-SS (given-diurnal, Wiener)",1.55 ± 0.26,1.72 ± 0.09,1.72 ± 0.19,0.778 ± 0.155,0.993 ± 0.151,1.185 ± 0.176,0.243 ± 0.065,0.925 ± 0.130,10.62 ± 4.38,25
"WienerNet-SS (given-diurnal, state-sp)",1.55 ± 0.26,1.72 ± 0.09,1.72 ± 0.19,0.781 ± 0.148,0.997 ± 0.133,1.183 ± 0.148,0.257 ± 0.061,0.933 ± 0.125,10.88 ± 3.89,25
Neural SDE (Gaussian),129.64 ± 287.00,176.49 ± 389.79,78.78 ± 166.75,9.374 ± 19.073,17.396 ± 35.727,4.973 ± 5.343,0.274 ± 0.120,0.908 ± 0.158,34.32 ± 51.88,25
Neural SDE (Student-t),44.68 ± 94.97,60.61 ± 129.00,27.65 ± 54.96,6.038 ± 11.838,10.712 ± 21.568,3.141 ± 3.458,0.242 ± 0.065,0.948 ± 0.068,31.99 ± 51.15,25
Neural SDE (ALD),8.23 ± 23.39,11.04 ± 31.79,6.24 ± 13.33,1.754 ± 2.645,2.891 ± 4.932,1.774 ± 0.719,0.254 ± 0.071,0.894 ± 0.155,13.21 ± 10.85,25
Mean-variance (Gaussian),17.14 ± 36.16,23.03 ± 49.23,10.99 ± 20.75,1.990 ± 2.645,3.279 ± 4.910,1.810 ± 0.811,0.273 ± 0.039,0.995 ± 0.006,16.08 ± 2.56,25
Mean-variance (Student-t),14.77 ± 32.65,19.80 ± 44.46,9.58 ± 18.73,1.718 ± 2.334,2.751 ± 4.300,1.551 ± 0.683,0.235 ± 0.048,0.973 ± 0.037,12.35 ± 2.93,25
Mean-variance (ALD),2.83 ± 4.85,3.54 ± 6.66,2.53 ± 2.68,0.926 ± 0.433,1.280 ± 0.789,1.279 ± 0.247,0.260 ± 0.051,0.972 ± 0.053,11.83 ± 3.11,25
Analytical SDE (Gaussian),1.54 ± 0.30,1.69 ± 0.09,1.68 ± 0.23,0.900 ± 0.087,1.266 ± 0.060,1.703 ± 0.115,0.303 ± 0.024,0.998 ± 0.003,20.49 ± 1.74,5
Analytical SDE (Student-t),1.54 ± 0.30,1.69 ± 0.09,1.68 ± 0.23,0.760 ± 0.158,0.905 ± 0.157,1.030 ± 0.266,0.193 ± 0.037,0.959 ± 0.032,9.04 ± 4.59,5
MDN (mixture),14.61 ± 38.30,19.56 ± 52.14,9.42 ± 22.13,1.789 ± 2.905,2.893 ± 5.445,1.668 ± 1.014,0.271 ± 0.037,0.986 ± 0.021,15.58 ± 5.38,25
Random Forest,1.57 ± 0.13,1.58 ± 0.19,1.41 ± 0.30,—,—,—,—,—,—,25
XGBoost,1.84 ± 0.38,1.83 ± 0.46,1.67 ± 0.60,—,—,—,—,—,—,25
