Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
Woodwalton,"WienerNet-SS (ALD, primary)",1.21 ± 0.13,2.21 ± 0.54,3.57 ± 1.66,0.605 ± 0.079,1.151 ± 0.275,2.011 ± 1.062,0.340 ± 0.194,0.530 ± 0.181,4.36 ± 1.77,5
Woodwalton,WienerNet-SS (Gaussian),2.94 ± 1.33,6.83 ± 3.15,10.41 ± 2.87,1.312 ± 0.442,3.136 ± 1.196,5.453 ± 1.514,0.226 ± 0.111,0.701 ± 0.111,16.17 ± 2.69,5
Woodwalton,WienerNet-SS (beta-NLL),1.57 ± 0.48,3.22 ± 1.38,6.12 ± 3.62,0.796 ± 0.225,1.696 ± 0.719,3.377 ± 2.323,0.266 ± 0.180,0.669 ± 0.189,8.93 ± 1.31,5
Woodwalton,WienerNet-SS (Student-t),1.31 ± 0.12,2.52 ± 0.44,4.02 ± 0.85,0.658 ± 0.066,1.283 ± 0.204,2.155 ± 0.477,0.209 ± 0.148,0.702 ± 0.177,8.47 ± 2.46,5
Woodwalton,WienerNet-SS (mixture),1.20 ± 0.15,2.16 ± 0.59,2.93 ± 0.79,0.624 ± 0.067,1.177 ± 0.191,1.643 ± 0.289,0.199 ± 0.079,0.907 ± 0.055,12.69 ± 4.15,5
Woodwalton,WienerNet-SS (+residual),1.39 ± 0.55,2.71 ± 1.73,4.81 ± 4.71,0.716 ± 0.298,1.500 ± 1.009,2.835 ± 2.908,0.344 ± 0.158,0.560 ± 0.245,5.48 ± 3.50,5
Woodwalton,WienerNet-SS (predicted-k),1.74 ± 0.73,3.73 ± 2.33,7.20 ± 4.96,1.102 ± 0.495,2.734 ± 1.723,5.603 ± 3.985,0.639 ± 0.220,0.307 ± 0.393,8.04 ± 9.64,5
Woodwalton,WienerNet-SS (state-space),1.33 ± 0.22,2.34 ± 0.72,3.95 ± 2.03,0.626 ± 0.102,1.173 ± 0.345,2.142 ± 1.018,0.271 ± 0.125,0.604 ± 0.171,6.18 ± 4.48,5
Woodwalton,"WienerNet-SS (state-space, +residual)",1.54 ± 0.37,3.10 ± 0.99,5.91 ± 1.18,0.770 ± 0.124,1.627 ± 0.305,3.318 ± 0.789,0.355 ± 0.123,0.640 ± 0.239,10.51 ± 6.12,5
Woodwalton,"WienerNet-SS (state-space, predicted-k)",2.41 ± 0.93,5.88 ± 2.56,10.61 ± 4.08,1.371 ± 0.505,3.431 ± 1.586,6.552 ± 3.179,0.474 ± 0.164,0.657 ± 0.331,19.75 ± 11.64,5
Woodwalton,WienerNet-SS (ALD + sigma_struct band),1.21 ± 0.13,2.21 ± 0.54,3.57 ± 1.66,0.687 ± 0.058,1.123 ± 0.245,1.887 ± 0.983,0.235 ± 0.172,0.781 ± 0.144,7.19 ± 1.13,5
Woodwalton,"WienerNet-SS (given-diurnal, Wiener)",1.07 ± 0.00,1.64 ± 0.00,1.97 ± 0.00,0.518 ± 0.004,0.843 ± 0.015,1.037 ± 0.029,0.143 ± 0.062,0.685 ± 0.102,3.59 ± 0.99,5
Woodwalton,"WienerNet-SS (given-diurnal, state-sp)",1.07 ± 0.00,1.64 ± 0.00,1.97 ± 0.00,0.524 ± 0.024,0.857 ± 0.051,1.076 ± 0.104,0.159 ± 0.053,0.731 ± 0.169,5.29 ± 3.89,5
