model,group,crps,cov90,cov95,pit_ks,rmse,gap1_phys,gap1_pers,gap14_phys,gap14_pers
gtk_diur_res_wien,SS,0.483,0.7479608482871125,0.7906082498252156,0.1492203601287877,1.3194563388824463,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
gtk_ldiur_nores_wien,SS,0.4913,0.8230016313213703,0.8601141924959217,0.09567700992458972,1.5393409729003906,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
gtk_diur_nores_ss,SS,0.4924,0.6471102307154509,0.6902237240736425,0.13301529371861595,1.3186726570129395,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
pk_diur_nores_wien,SS,0.5094,0.5466674434863669,0.5850617571661617,0.19626239881449736,1.307828664779663,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
MDN (no physics),baseline,0.5111,0.8996154742484269,0.9257748776508973,0.17207136664517575,1.7531296014785767,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
gtk_ldiur_res_wien,SS,0.5111,0.5559310184106269,0.617862969004894,0.24799485669747645,1.265622615814209,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
gtk_diur_nores_wien,SS,0.5138,0.37846655791190864,0.4210556979725006,0.26435699087858644,1.2527848482131958,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
"WienerNet-Laplace (30m, GT-k)",baseline,0.5146,0.8481123281286413,0.8815544162199953,0.17957903258558328,1.6898508071899414,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
gtk_ldiur_res_ss,SS,0.5168,0.8990328594733162,0.9201235143323234,0.17664623546942437,1.7864181995391846,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
pk_diur_nores_ss,SS,0.5289,0.9003146119785598,0.92810533675134,0.15338288251820664,1.9365477561950684,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
pk_ldiur_res_wien,SS,0.5502,0.4183756700069914,0.48817292006525287,0.25073838143907556,1.2888013124465942,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
pk_ldiur_nores_ss,SS,0.5848,0.6959333488697274,0.75,0.10484039833650557,1.626280665397644,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
pk_diur_res_wien,SS,0.5928,0.7847238405965975,0.827779072477278,0.24780995605859607,2.1707053184509277,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
gtk_ldiur_nores_ss,SS,0.6291,0.3916336518294104,0.45764390584945236,0.472286605222563,1.3861424922943115,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
Analytical SDE,baseline,0.6341,0.9566534607317642,0.9671987881612678,0.2564336066673736,2.12575364112854,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
pk_diur_res_ss,SS,0.7552,0.7687019342810534,0.8140293637846656,0.3857696528456388,2.085268974304199,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
gtk_diur_res_ss,SS,0.8686,0.9175017478443254,0.9570030295968306,0.28425542180318675,2.931560516357422,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
pk_ldiur_res_ss,SS,1.0986,0.8010370542996971,0.8812048473549289,0.4793803585678673,2.69411039352417,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
pk_ldiur_nores_wien,SS,1.7817,0.2606035889070147,0.299347471451876,0.6169041311824499,2.90681529045105,0.9391014117352763,1.0660276606383072,0.9391014117352763,1.8819443018878657
