scope,model,rmse_h0-2,rmse_h2-5,rmse_h5+,crpsraw_h0-2,crpsraw_h2-5,crpsraw_h5+,crpsfix_h0-2,crpsfix_h2-5,crpsfix_h5+,covraw_h0-2,covraw_h2-5,covraw_h5+,covfix_h0-2,covfix_h2-5,covfix_h5+,cov50raw_h0-2,cov50raw_h2-5,cov50raw_h5+,cov50fix_h0-2,cov50fix_h2-5,cov50fix_h5+,cov95raw_h0-2,cov95raw_h2-5,cov95raw_h5+,cov95fix_h0-2,cov95fix_h2-5,cov95fix_h5+,sharpraw_h0-2,sharpraw_h2-5,sharpraw_h5+,sharpfix_h0-2,sharpfix_h2-5,sharpfix_h5+,pitksraw_h0-2,pitksraw_h2-5,pitksraw_h5+,pitksfix_h0-2,pitksfix_h2-5,pitksfix_h5+
all5,WN-SS (ALD),2.523,3.514,3.014,0.971,1.437,1.648,1.041,1.487,1.669,0.853,0.91,0.908,0.959,0.967,0.948,0.57,0.681,0.712,0.785,0.793,0.776,0.888,0.93,0.922,0.972,0.977,0.96,5.718,9.711,12.447,8.09,11.386,13.777,0.142,0.213,0.289,0.205,0.233,0.287
all5,WN-SS (Gaussian),2.34,3.269,3.3,3.877,6.788,2.817,,,,0.9,0.931,0.923,,,,0.696,0.77,0.782,,,,0.922,0.945,0.933,,,,40.222,73.613,24.556,,,,0.161,0.222,0.285,,,
all5,WN-SS (beta-NLL),2.562,3.753,4.238,1.274,2.073,2.339,,,,0.872,0.895,0.881,,,,0.642,0.697,0.692,,,,0.898,0.914,0.896,,,,9.608,16.614,14.763,,,,0.186,0.255,0.323,,,
all5,WN-SS (Student-t),2.571,3.545,2.824,1.014,1.51,1.762,,,,0.802,0.875,0.91,,,,0.544,0.674,0.748,,,,0.845,0.897,0.925,,,,6.491,12.084,17.477,,,,0.161,0.213,0.276,,,
all5,WN-SS (mixture),2.002,2.826,3.372,1.118,1.767,2.103,,,,0.884,0.941,0.946,,,,0.579,0.746,0.82,,,,0.926,0.957,0.955,,,,9.63,16.311,16.694,,,,0.123,0.199,0.259,,,
all5,WN-SS (+residual),2.638,3.815,3.393,3.373,5.933,2.537,,,,0.85,0.878,0.859,,,,0.561,0.647,0.641,,,,0.886,0.901,0.877,,,,50.723,91.727,25.524,,,,0.159,0.232,0.315,,,
all5,"WN-SS (given-diurnal, st-sp)",1.551,1.716,1.723,1.012,1.442,1.432,1.07,1.468,1.466,0.883,0.938,0.951,0.961,0.981,0.983,0.642,0.767,0.823,0.805,0.849,0.871,0.913,0.953,0.961,0.977,0.988,0.988,9.385,15.899,15.121,11.025,16.716,16.043,0.156,0.235,0.285,0.214,0.25,0.289
all5,"WN-SS (given-diurnal, Wiener)",1.551,1.716,1.723,0.832,1.11,1.296,,,,0.869,0.924,0.939,,,,0.603,0.735,0.784,,,,0.901,0.94,0.951,,,,6.287,10.523,12.744,,,,0.15,0.217,0.271,,,
all5,Neural SDE (Gaussian),374.806,509.378,221.841,19.7,37.544,7.627,,,,0.898,0.915,0.905,,,,0.674,0.7,0.673,,,,0.92,0.935,0.927,,,,119.765,220.596,50.282,,,,0.209,0.268,0.321,,,
all5,Neural SDE (Student-t),120.881,164.434,73.37,13.572,25.387,6.325,,,,0.852,0.915,0.911,,,,0.568,0.706,0.768,,,,0.896,0.937,0.929,,,,236.415,464.987,81.629,,,,0.145,0.221,0.292,,,
all5,Neural SDE (ALD),29.058,39.389,18.677,3.045,5.323,2.202,,,,0.874,0.93,0.942,,,,0.619,0.738,0.784,,,,0.907,0.945,0.951,,,,6.601,11.128,14.086,,,,0.145,0.211,0.277,,,
all5,mean-var (Gaussian),115.351,156.61,68.923,9.828,18.048,4.26,,,,0.896,0.939,0.955,,,,0.704,0.779,0.78,,,,0.915,0.952,0.965,,,,10.064,16.567,16.677,,,,0.18,0.234,0.25,,,
all5,mean-var (Student-t),134.565,182.653,79.956,11.195,20.629,4.721,,,,0.882,0.954,0.983,,,,0.632,0.778,0.846,,,,0.918,0.969,0.991,,,,10.865,20.508,21.618,,,,0.143,0.22,0.277,,,
all5,mean-var (ALD),40.012,54.192,24.519,3.878,6.89,2.336,,,,0.898,0.959,0.981,,,,0.651,0.773,0.815,,,,0.929,0.972,0.99,,,,8.385,14.074,15.184,,,,0.136,0.204,0.252,,,
all5,Analytical (Gaussian),1.54,1.694,1.682,0.9,1.268,1.705,,,,0.959,0.991,0.998,,,,0.817,0.904,0.957,,,,0.966,0.994,0.999,,,,7.793,13.554,20.53,,,,0.205,0.255,0.303,,,
all5,Analytical (Student-t),1.54,1.694,1.682,0.761,0.865,0.92,,,,0.753,0.866,0.94,,,,0.483,0.603,0.728,,,,0.803,0.893,0.952,,,,2.561,4.456,6.748,,,,0.125,0.105,0.164,,,
all5,MDN (mixture),2.338,2.991,2.583,1.051,1.541,1.743,,,,0.904,0.968,0.986,,,,0.629,0.776,0.837,,,,0.938,0.983,0.994,,,,8.835,15.357,18.851,,,,0.139,0.203,0.241,,,
all5,Random Forest,1.735,1.367,1.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all5,XGBoost,1.997,1.568,1.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
