Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 5h+,PIT-KS 5h+,cov90 5h+,n
"WienerNet-SS (ALD, primary)",1.64 ± 0.30,2.06 ± 0.33,2.71 ± 0.98,1.583 ± 0.521,0.284 ± 0.141,0.890 ± 0.207,12
WienerNet-SS (Gaussian),1.76 ± 0.46,2.40 ± 1.52,3.34 ± 2.86,2.060 ± 1.400,0.280 ± 0.126,0.905 ± 0.200,12
WienerNet-SS (beta-NLL),1.75 ± 0.23,2.52 ± 0.84,3.99 ± 2.12,2.285 ± 1.191,0.326 ± 0.105,0.857 ± 0.230,12
WienerNet-SS (Student-t),1.66 ± 0.33,2.13 ± 0.65,2.58 ± 0.94,1.733 ± 0.755,0.273 ± 0.142,0.890 ± 0.229,12
WienerNet-SS (mixture),1.89 ± 0.53,2.77 ± 2.09,3.74 ± 4.31,2.206 ± 2.264,0.251 ± 0.091,0.933 ± 0.124,12
WienerNet-SS (+residual),1.72 ± 0.39,2.41 ± 0.69,3.38 ± 1.11,1.930 ± 0.629,0.315 ± 0.115,0.824 ± 0.254,12
WienerNet-SS (state-space),—,—,—,—,—,—,0
"WienerNet-SS (given-diurnal, Wiener)",1.53 ± 0.30,1.69 ± 0.09,1.80 ± 0.13,1.277 ± 0.300,0.256 ± 0.077,0.925 ± 0.152,12
"WienerNet-SS (given-diurnal, state-sp)",1.53 ± 0.30,1.69 ± 0.09,1.80 ± 0.13,1.360 ± 0.295,0.274 ± 0.077,0.940 ± 0.110,12
WienerNet-SS (predicted-k),—,—,—,—,—,—,0
Neural SDE (Gaussian),1.80 ± 0.42,2.64 ± 1.10,4.01 ± 2.64,2.442 ± 1.558,0.321 ± 0.090,0.884 ± 0.194,12
Neural SDE (Student-t),1.89 ± 0.80,2.84 ± 2.70,4.32 ± 6.88,2.967 ± 5.046,0.300 ± 0.163,0.891 ± 0.230,12
Neural SDE (ALD),1.68 ± 0.42,2.22 ± 0.73,2.99 ± 1.71,1.614 ± 0.516,0.273 ± 0.082,0.928 ± 0.166,12
Mean-variance (Gaussian),1.64 ± 0.29,2.09 ± 0.39,2.68 ± 0.67,1.675 ± 0.270,0.243 ± 0.043,0.947 ± 0.126,12
Mean-variance (Student-t),1.60 ± 0.29,1.97 ± 0.39,2.37 ± 0.80,1.735 ± 0.757,0.279 ± 0.065,0.980 ± 0.028,12
Mean-variance (ALD),1.59 ± 0.34,1.96 ± 0.38,2.27 ± 0.50,1.478 ± 0.291,0.244 ± 0.068,0.978 ± 0.032,12
Analytical SDE (Gaussian),1.52 ± 0.34,1.68 ± 0.10,1.78 ± 0.11,1.710 ± 0.136,0.302 ± 0.028,0.998 ± 0.003,4
Analytical SDE (Student-t),1.52 ± 0.34,1.68 ± 0.10,1.78 ± 0.11,0.953 ± 0.076,0.161 ± 0.048,0.932 ± 0.024,4
MDN (mixture),1.61 ± 0.34,1.97 ± 0.37,2.32 ± 0.62,1.765 ± 1.336,0.235 ± 0.069,0.984 ± 0.016,12
Random Forest,1.81 ± 0.15,1.41 ± 0.10,1.24 ± 0.18,—,—,—,12
XGBoost,2.12 ± 0.27,1.64 ± 0.35,1.44 ± 0.42,—,—,—,12
