Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
"WienerNet-SS (ALD, primary)",0.783 ± 0.150,889927.00 ± 1973026.97,2.50 ± 0.67,0.480 ± 0.105,0.805 ± 0.103,0.852 ± 0.097,3.82 ± 1.74,0.096 ± 0.063,588.19 ± 1236.64,-1.33 ± 2.04,41.8 ± 32.6,24.98 ± 30.72,15
WienerNet-SS (Gaussian),1.206 ± 1.782,550215.13 ± 1269098.68,82.77 ± 311.61,0.643 ± 0.094,0.869 ± 0.081,0.896 ± 0.074,10.38 ± 23.53,0.120 ± 0.049,458.99 ± 974.71,-0.50 ± 0.93,49.4 ± 44.5,16.93 ± 14.93,15
WienerNet-SS (beta-NLL),0.793 ± 0.198,280434.56 ± 592721.93,5.38 ± 11.88,0.600 ± 0.098,0.843 ± 0.092,0.873 ± 0.086,4.66 ± 2.87,0.122 ± 0.053,334.78 ± 693.04,-0.65 ± 1.24,46.4 ± 38.6,16.53 ± 6.96,15
WienerNet-SS (Student-t),0.752 ± 0.139,1.87 ± 0.63,2.91 ± 1.07,0.455 ± 0.160,0.756 ± 0.155,0.814 ± 0.151,3.72 ± 2.03,0.124 ± 0.100,690.30 ± 1386.77,-0.77 ± 1.60,49.1 ± 39.8,38.10 ± 46.67,15
WienerNet-SS (mixture),0.793 ± 0.155,3722.66 ± 13689.42,6.81 ± 12.42,0.444 ± 0.128,0.836 ± 0.079,0.897 ± 0.059,5.18 ± 3.31,0.106 ± 0.074,28.08 ± 84.30,-0.82 ± 1.49,50.3 ± 48.1,23.26 ± 22.93,15
WienerNet-SS (+residual),1.099 ± 1.361,580643.90 ± 1411084.97,18.64 ± 63.28,0.452 ± 0.118,0.791 ± 0.120,0.841 ± 0.110,9.98 ± 24.79,0.105 ± 0.056,468.27 ± 1004.32,-0.81 ± 1.56,44.0 ± 32.7,14.01 ± 14.84,15
WienerNet-SS (state-space),2.227 ± 4.237,445861.48 ± 1067412.38,226.42 ± 643.98,0.473 ± 0.171,0.785 ± 0.191,0.830 ± 0.183,30.35 ± 76.11,0.118 ± 0.133,414.11 ± 877.11,-1.27 ± 2.07,44.7 ± 30.7,21.45 ± 28.26,15
"WienerNet-SS (given-diurnal, Wiener)",0.771 ± 0.316,12772.31 ± 33793.76,9.82 ± 29.57,0.497 ± 0.112,0.809 ± 0.103,0.854 ± 0.097,5.07 ± 6.02,0.082 ± 0.043,65.33 ± 150.98,-0.01 ± 0.01,27.9 ± 15.5,9.94 ± 7.71,15
"WienerNet-SS (given-diurnal, state-sp)",0.830 ± 0.392,6841.17 ± 19616.58,33.96 ± 89.32,0.532 ± 0.115,0.835 ± 0.082,0.876 ± 0.075,6.39 ± 7.66,0.083 ± 0.048,45.71 ± 111.43,-0.01 ± 0.01,27.9 ± 15.5,14.71 ± 10.34,15
WienerNet-SS (predicted-k),0.826 ± 0.275,553081.61 ± 1280547.91,2.37 ± 0.47,0.430 ± 0.160,0.750 ± 0.223,0.800 ± 0.220,3.38 ± 1.49,0.143 ± 0.199,466.24 ± 974.46,-1.47 ± 2.37,43.6 ± 40.2,38.92 ± 98.62,15
Neural SDE (Gaussian),4.527 ± 12.369,5814515.92 ± 19352154.93,193.28 ± 636.00,0.650 ± 0.126,0.871 ± 0.115,0.896 ± 0.109,36.62 ± 109.91,0.148 ± 0.058,1149.39 ± 3322.32,-66536.64 ± 252874.64,280.4 ± 518.2,35.91 ± 58.93,15
Neural SDE (Student-t),3.402 ± 6.941,1.67 ± 0.41,568.64 ± 1905.08,0.476 ± 0.092,0.803 ± 0.075,0.862 ± 0.072,47.42 ± 118.44,0.096 ± 0.105,427.15 ± 1548.40,-4184.31 ± 12463.07,279.0 ± 517.7,36.95 ± 32.02,15
