Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
"WienerNet-SS (ALD, primary)",0.766 ± 0.153,12.68 ± 27.86,2.32 ± 0.59,0.477 ± 0.118,0.792 ± 0.112,0.841 ± 0.105,3.68 ± 1.92,0.105 ± 0.067,3.63 ± 3.43,-0.56 ± 1.34,28.8 ± 15.3,20.03 ± 27.84,12
WienerNet-SS (Gaussian),0.755 ± 0.118,2.83 ± 3.12,2.28 ± 0.36,0.637 ± 0.105,0.859 ± 0.088,0.888 ± 0.081,4.31 ± 1.23,0.124 ± 0.054,1.58 ± 1.11,-0.07 ± 0.20,28.9 ± 14.0,18.42 ± 16.42,12
WienerNet-SS (beta-NLL),0.755 ± 0.133,3.34 ± 3.15,2.24 ± 0.55,0.587 ± 0.106,0.828 ± 0.098,0.860 ± 0.092,3.94 ± 1.75,0.122 ± 0.059,1.90 ± 1.17,-0.07 ± 0.12,28.8 ± 13.1,16.84 ± 7.68,12
WienerNet-SS (Student-t),0.754 ± 0.156,1.93 ± 0.69,2.80 ± 1.18,0.447 ± 0.179,0.731 ± 0.166,0.791 ± 0.162,3.56 ± 2.26,0.142 ± 0.104,21.10 ± 26.64,-0.04 ± 0.05,31.1 ± 15.3,39.54 ± 52.30,12
WienerNet-SS (mixture),0.759 ± 0.118,4.20 ± 7.36,2.34 ± 0.47,0.439 ± 0.140,0.815 ± 0.075,0.882 ± 0.057,4.08 ± 1.86,0.119 ± 0.077,1.85 ± 1.81,-0.13 ± 0.24,27.9 ± 12.9,22.51 ± 25.50,12
WienerNet-SS (+residual),0.737 ± 0.178,14.92 ± 22.33,2.13 ± 0.67,0.430 ± 0.122,0.764 ± 0.118,0.817 ± 0.110,3.30 ± 2.22,0.117 ± 0.057,4.22 ± 3.56,-0.08 ± 0.12,30.3 ± 16.9,11.45 ± 14.57,12
WienerNet-SS (state-space),0.765 ± 0.161,106.94 ± 326.58,2.44 ± 1.02,0.456 ± 0.189,0.759 ± 0.206,0.806 ± 0.199,3.97 ± 2.74,0.138 ± 0.142,7.11 ± 13.27,-0.46 ± 1.30,31.7 ± 14.6,21.31 ± 31.32,12
"WienerNet-SS (given-diurnal, Wiener)",0.713 ± 0.157,241.13 ± 803.21,2.18 ± 0.61,0.486 ± 0.122,0.788 ± 0.104,0.836 ± 0.101,3.47 ± 1.99,0.092 ± 0.042,9.44 ± 20.70,-0.01 ± 0.01,31.6 ± 15.2,9.56 ± 8.59,12
"WienerNet-SS (given-diurnal, state-sp)",0.724 ± 0.141,28.98 ± 62.93,2.22 ± 0.50,0.519 ± 0.126,0.815 ± 0.079,0.859 ± 0.074,3.86 ± 1.84,0.089 ± 0.053,4.90 ± 6.00,-0.01 ± 0.01,31.6 ± 15.2,13.36 ± 10.70,12
WienerNet-SS (predicted-k),0.850 ± 0.305,195.85 ± 489.62,2.23 ± 0.43,0.409 ± 0.173,0.716 ± 0.239,0.768 ± 0.238,3.22 ± 1.64,0.171 ± 0.215,9.42 ± 17.14,-0.63 ± 1.75,25.1 ± 12.7,45.44 ± 110.16,12
Neural SDE (Gaussian),0.794 ± 0.221,14.60 ± 43.82,2.59 ± 1.16,0.640 ± 0.141,0.857 ± 0.126,0.884 ± 0.120,4.95 ± 2.82,0.151 ± 0.063,2.56 ± 4.74,-0.05 ± 0.05,30.1 ± 15.6,34.59 ± 63.99,12
