Site,Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
Woodwalton,"WienerNet-SS (ALD, primary)",0.658 ± 0.258,38.88 ± 53.62,1.88 ± 0.84,0.461 ± 0.148,0.704 ± 0.169,0.748 ± 0.164,1.91 ± 1.28,0.188 ± 0.097,7.30 ± 5.84,-1.56 ± 2.61,38.1 ± 20.3,36.39 ± 56.35,3
Woodwalton,WienerNet-SS (Gaussian),0.634 ± 0.138,5.47 ± 6.26,1.98 ± 0.60,0.613 ± 0.216,0.812 ± 0.184,0.839 ± 0.170,3.56 ± 2.34,0.193 ± 0.040,2.46 ± 2.25,-0.28 ± 0.37,39.2 ± 15.9,31.27 ± 32.01,3
Woodwalton,WienerNet-SS (beta-NLL),0.592 ± 0.053,7.25 ± 4.88,1.52 ± 0.08,0.479 ± 0.124,0.709 ± 0.126,0.746 ± 0.122,1.82 ± 0.60,0.187 ± 0.061,3.54 ± 1.30,-0.26 ± 0.11,40.3 ± 3.8,22.78 ± 6.85,3
Woodwalton,WienerNet-SS (Student-t),0.593 ± 0.146,1.90 ± 0.91,2.26 ± 1.56,0.508 ± 0.338,0.677 ± 0.310,0.717 ± 0.290,3.41 ± 4.55,0.260 ± 0.160,17.95 ± 16.75,-0.09 ± 0.08,48.8 ± 3.0,60.37 ± 99.42,3
Woodwalton,WienerNet-SS (mixture),0.671 ± 0.163,10.57 ± 14.71,2.26 ± 0.73,0.513 ± 0.209,0.821 ± 0.136,0.876 ± 0.106,4.53 ± 3.14,0.211 ± 0.111,3.15 ± 3.75,-0.43 ± 0.35,35.3 ± 13.0,49.83 ± 41.31,3
Woodwalton,WienerNet-SS (+residual),0.502 ± 0.009,45.73 ± 27.57,1.28 ± 0.03,0.335 ± 0.070,0.618 ± 0.066,0.673 ± 0.064,0.80 ± 0.34,0.198 ± 0.048,9.27 ± 3.35,-0.01 ± 0.01,50.2 ± 0.3,2.34 ± 1.24,3
Woodwalton,WienerNet-SS (state-space),0.575 ± 0.050,415.46 ± 629.45,1.50 ± 0.32,0.317 ± 0.326,0.529 ± 0.329,0.575 ± 0.314,1.52 ± 1.87,0.336 ± 0.169,21.15 ± 23.87,-0.19 ± 0.17,43.0 ± 6.7,10.13 ± 9.58,3
Woodwalton,"WienerNet-SS (given-diurnal, Wiener)",0.487 ± 0.012,950.90 ± 1593.97,1.39 ± 0.12,0.510 ± 0.135,0.703 ± 0.146,0.740 ± 0.143,1.30 ± 0.73,0.130 ± 0.053,29.84 ± 38.97,-0.03 ± 0.00,49.8 ± 0.0,1.74 ± 1.61,3
Woodwalton,"WienerNet-SS (given-diurnal, state-sp)",0.534 ± 0.077,103.55 ± 103.17,1.83 ± 0.75,0.601 ± 0.196,0.788 ± 0.152,0.817 ± 0.139,3.11 ± 3.15,0.150 ± 0.064,12.03 ± 9.68,-0.03 ± 0.00,49.8 ± 0.0,14.44 ± 20.20,3
Woodwalton,WienerNet-SS (predicted-k),1.076 ± 0.611,774.14 ± 806.02,2.01 ± 0.80,0.170 ± 0.154,0.372 ± 0.264,0.430 ± 0.277,0.95 ± 0.74,0.493 ± 0.202,31.17 ± 25.84,-2.50 ± 3.14,24.2 ± 16.3,144.89 ± 216.25,3
