Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
"WienerNet-SS (ALD, primary)",3.12 ± 2.41,4.98 ± 5.07,4.47 ± 4.65,1.171 ± 0.590,1.952 ± 1.539,2.006 ± 1.148,0.275 ± 0.127,0.906 ± 0.186,13.18 ± 5.23,15
WienerNet-SS (Gaussian),2.34 ± 1.37,3.28 ± 2.43,3.30 ± 2.55,3.877 ± 11.197,6.789 ± 20.496,2.816 ± 3.465,0.286 ± 0.113,0.922 ± 0.181,24.53 ± 36.76,15
WienerNet-SS (beta-NLL),2.52 ± 2.03,3.72 ± 3.22,4.45 ± 2.37,1.266 ± 1.108,2.058 ± 2.053,2.344 ± 1.088,0.301 ± 0.073,0.894 ± 0.185,14.93 ± 6.38,15
WienerNet-SS (Student-t),2.57 ± 1.95,3.54 ± 3.03,2.82 ± 0.98,1.014 ± 0.318,1.510 ± 0.629,1.762 ± 0.675,0.276 ± 0.127,0.910 ± 0.207,17.48 ± 9.95,15
WienerNet-SS (mixture),2.14 ± 1.10,3.07 ± 2.41,3.39 ± 3.90,1.135 ± 0.657,1.805 ± 1.384,2.111 ± 2.021,0.259 ± 0.085,0.946 ± 0.114,16.86 ± 7.37,15
WienerNet-SS (+residual),2.59 ± 1.80,3.81 ± 2.95,3.64 ± 2.00,2.938 ± 7.622,5.126 ± 14.096,2.373 ± 2.083,0.288 ± 0.092,0.860 ± 0.222,22.34 ± 40.50,15
WienerNet-SS (state-space),—,—,—,—,—,—,—,—,—,0
"WienerNet-SS (given-diurnal, Wiener)",1.55 ± 0.27,1.72 ± 0.09,1.72 ± 0.19,0.829 ± 0.203,1.100 ± 0.278,1.276 ± 0.281,0.263 ± 0.084,0.935 ± 0.138,12.35 ± 5.48,15
"WienerNet-SS (given-diurnal, state-sp)",1.55 ± 0.27,1.72 ± 0.09,1.72 ± 0.19,0.999 ± 0.541,1.420 ± 0.991,1.466 ± 0.369,0.288 ± 0.074,0.950 ± 0.100,15.52 ± 6.77,15
WienerNet-SS (predicted-k),—,—,—,—,—,—,—,—,—,0
Neural SDE (Gaussian),374.81 ± 1237.26,509.38 ± 1680.91,221.84 ± 723.72,19.700 ± 58.138,37.544 ± 112.547,7.627 ± 16.425,0.321 ± 0.080,0.905 ± 0.177,50.28 ± 103.80,15
Neural SDE (Student-t),120.88 ± 299.92,164.43 ± 407.37,73.37 ± 174.68,13.572 ± 31.204,25.387 ± 58.580,6.325 ± 9.686,0.292 ± 0.146,0.911 ± 0.208,81.63 ± 164.12,15
Neural SDE (ALD),88.58 ± 234.31,120.29 ± 318.33,53.52 ± 136.58,7.748 ± 18.497,14.193 ± 34.890,3.569 ± 5.282,0.271 ± 0.075,0.942 ± 0.150,14.43 ± 4.99,15
Mean-variance (Gaussian),115.35 ± 297.41,156.61 ± 404.10,68.92 ± 173.59,9.828 ± 23.334,18.048 ± 43.987,4.260 ± 6.849,0.250 ± 0.041,0.955 ± 0.113,16.68 ± 4.66,15
Mean-variance (Student-t),134.56 ± 395.48,182.65 ± 537.36,79.96 ± 231.15,11.195 ± 30.722,20.629 ± 57.772,4.721 ± 9.096,0.277 ± 0.059,0.983 ± 0.026,21.62 ± 11.07,15
Mean-variance (ALD),39.75 ± 130.74,53.86 ± 177.66,24.43 ± 76.21,3.883 ± 10.132,6.902 ± 19.182,2.360 ± 2.995,0.243 ± 0.059,0.980 ± 0.029,15.38 ± 4.51,15
Analytical SDE (Gaussian),1.54 ± 0.30,1.69 ± 0.09,1.68 ± 0.23,0.900 ± 0.087,1.268 ± 0.063,1.705 ± 0.118,0.303 ± 0.024,0.998 ± 0.003,20.53 ± 1.79,5
Analytical SDE (Student-t),1.54 ± 0.30,1.69 ± 0.09,1.68 ± 0.23,0.761 ± 0.158,0.865 ± 0.078,0.920 ± 0.099,0.164 ± 0.043,0.940 ± 0.027,6.75 ± 1.03,5
MDN (mixture),2.34 ± 1.77,2.99 ± 2.44,2.58 ± 0.85,1.051 ± 0.433,1.541 ± 0.902,1.743 ± 1.187,0.241 ± 0.062,0.986 ± 0.015,18.85 ± 16.89,15
Random Forest,1.74 ± 0.20,1.37 ± 0.13,1.17 ± 0.21,—,—,—,—,—,—,15
XGBoost,2.00 ± 0.34,1.57 ± 0.34,1.33 ± 0.43,—,—,—,—,—,—,15
