Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
"WienerNet-SS (ALD, primary)",2.18 ± 1.50,3.63 ± 4.69,4.16 ± 5.03,0.996 ± 0.456,1.633 ± 1.493,1.924 ± 1.225,0.268 ± 0.142,0.891 ± 0.207,12.63 ± 5.76,12
WienerNet-SS (Gaussian),1.77 ± 0.46,2.41 ± 1.51,3.34 ± 2.86,0.946 ± 0.215,1.431 ± 0.686,2.059 ± 1.400,0.282 ± 0.126,0.904 ± 0.199,15.07 ± 4.94,12
WienerNet-SS (beta-NLL),1.75 ± 0.23,2.55 ± 0.83,4.30 ± 2.53,0.927 ± 0.177,1.431 ± 0.426,2.302 ± 1.174,0.300 ± 0.076,0.873 ± 0.202,13.63 ± 5.66,12
WienerNet-SS (Student-t),1.66 ± 0.33,2.13 ± 0.65,2.58 ± 0.94,0.897 ± 0.221,1.278 ± 0.448,1.733 ± 0.755,0.273 ± 0.142,0.890 ± 0.229,17.11 ± 11.20,12
WienerNet-SS (mixture),1.89 ± 0.53,2.76 ± 2.09,3.73 ± 4.32,0.951 ± 0.270,1.493 ± 1.009,2.201 ± 2.266,0.249 ± 0.092,0.933 ± 0.125,15.58 ± 7.45,12
WienerNet-SS (+residual),1.74 ± 0.41,2.41 ± 0.65,3.16 ± 1.18,0.864 ± 0.229,1.246 ± 0.379,1.757 ± 0.692,0.287 ± 0.104,0.830 ± 0.240,11.12 ± 7.40,12
WienerNet-SS (state-space),—,—,—,—,—,—,—,—,—,0
"WienerNet-SS (given-diurnal, Wiener)",1.53 ± 0.30,1.69 ± 0.09,1.80 ± 0.13,0.800 ± 0.206,1.038 ± 0.249,1.252 ± 0.309,0.247 ± 0.086,0.919 ± 0.151,11.57 ± 5.89,12
"WienerNet-SS (given-diurnal, state-sp)",1.53 ± 0.30,1.69 ± 0.09,1.80 ± 0.13,0.837 ± 0.179,1.115 ± 0.266,1.384 ± 0.364,0.276 ± 0.078,0.938 ± 0.109,13.93 ± 6.60,12
WienerNet-SS (predicted-k),—,—,—,—,—,—,—,—,—,0
Neural SDE (Gaussian),1.80 ± 0.42,2.64 ± 1.10,4.01 ± 2.64,1.063 ± 0.495,1.651 ± 0.828,2.442 ± 1.558,0.321 ± 0.090,0.884 ± 0.194,18.97 ± 15.28,12
Neural SDE (Student-t),1.89 ± 0.80,2.84 ± 2.70,4.32 ± 6.88,0.988 ± 0.458,1.669 ± 1.698,2.967 ± 5.046,0.300 ± 0.163,0.891 ± 0.230,17.31 ± 5.83,12
Neural SDE (ALD),1.68 ± 0.42,2.24 ± 0.72,3.02 ± 1.69,0.869 ± 0.212,1.222 ± 0.330,1.625 ± 0.512,0.262 ± 0.080,0.928 ± 0.166,14.02 ± 5.51,12
Mean-variance (Gaussian),1.64 ± 0.29,2.09 ± 0.39,2.68 ± 0.67,0.961 ± 0.189,1.365 ± 0.257,1.675 ± 0.270,0.243 ± 0.043,0.947 ± 0.126,15.44 ± 4.04,12
Mean-variance (Student-t),1.60 ± 0.29,1.97 ± 0.39,2.37 ± 0.80,0.932 ± 0.261,1.348 ± 0.531,1.735 ± 0.757,0.279 ± 0.065,0.980 ± 0.028,20.38 ± 10.68,12
Mean-variance (ALD),1.62 ± 0.31,2.04 ± 0.39,2.32 ± 0.49,0.875 ± 0.159,1.220 ± 0.242,1.502 ± 0.293,0.234 ± 0.063,0.977 ± 0.031,14.95 ± 4.72,12
Analytical SDE (Gaussian),1.52 ± 0.34,1.68 ± 0.10,1.78 ± 0.11,0.899 ± 0.100,1.262 ± 0.071,1.710 ± 0.136,0.302 ± 0.028,0.998 ± 0.003,20.39 ± 2.04,4
Analytical SDE (Student-t),1.52 ± 0.34,1.68 ± 0.10,1.78 ± 0.11,0.760 ± 0.182,0.860 ± 0.089,0.953 ± 0.076,0.161 ± 0.048,0.932 ± 0.024,6.78 ± 1.19,4
MDN (mixture),1.61 ± 0.34,1.97 ± 0.37,2.32 ± 0.62,0.954 ± 0.430,1.357 ± 0.916,1.765 ± 1.336,0.235 ± 0.069,0.984 ± 0.016,18.99 ± 19.00,12
Random Forest,1.81 ± 0.15,1.41 ± 0.10,1.24 ± 0.18,—,—,—,—,—,—,12
XGBoost,2.12 ± 0.27,1.64 ± 0.35,1.44 ± 0.42,—,—,—,—,—,—,12
