Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
Woodwalton,"WienerNet-SS (ALD, primary)",3.00 ± 3.20,7.40 ± 9.38,9.03 ± 9.45,1.161 ± 0.977,2.817 ± 2.976,3.226 ± 2.052,0.298 ± 0.305,0.635 ± 0.319,7.10 ± 4.51,3
Woodwalton,WienerNet-SS (Gaussian),1.90 ± 1.05,3.97 ± 2.76,6.72 ± 4.57,0.992 ± 0.474,2.100 ± 1.273,3.740 ± 2.172,0.310 ± 0.281,0.655 ± 0.307,13.69 ± 9.01,3
Woodwalton,WienerNet-SS (beta-NLL),1.59 ± 0.20,3.49 ± 0.51,7.89 ± 1.92,0.819 ± 0.168,1.811 ± 0.441,4.027 ± 0.625,0.324 ± 0.131,0.545 ± 0.099,6.65 ± 2.23,3
Woodwalton,WienerNet-SS (Student-t),1.24 ± 0.19,2.38 ± 0.82,3.55 ± 1.16,0.786 ± 0.322,1.510 ± 0.757,2.442 ± 1.309,0.418 ± 0.237,0.671 ± 0.429,18.17 ± 24.70,3
Woodwalton,WienerNet-SS (mixture),2.27 ± 1.03,5.40 ± 3.13,9.14 ± 6.62,1.151 ± 0.495,2.718 ± 1.531,4.889 ± 3.667,0.276 ± 0.194,0.773 ± 0.182,19.71 ± 13.09,3
Woodwalton,WienerNet-SS (+residual),1.16 ± 0.01,2.02 ± 0.05,3.16 ± 0.86,0.586 ± 0.019,1.089 ± 0.104,1.936 ± 0.603,0.389 ± 0.136,0.440 ± 0.098,3.14 ± 1.37,3
Woodwalton,"WienerNet-SS (given-diurnal, Wiener)",1.07 ± 0.00,1.64 ± 0.00,1.97 ± 0.00,0.533 ± 0.010,0.871 ± 0.028,1.062 ± 0.051,0.151 ± 0.096,0.724 ± 0.219,5.26 ± 3.11,3
Woodwalton,"WienerNet-SS (given-diurnal, state-sp)",1.07 ± 0.00,1.64 ± 0.00,1.97 ± 0.00,0.663 ± 0.222,1.138 ± 0.440,1.500 ± 0.689,0.193 ± 0.111,0.813 ± 0.181,13.37 ± 13.62,3
Woodwalton,Neural SDE (Gaussian),1.36 ± 0.26,2.69 ± 0.95,4.47 ± 2.46,0.785 ± 0.252,1.549 ± 0.567,2.392 ± 1.007,0.401 ± 0.089,0.686 ± 0.337,13.05 ± 12.03,3
Woodwalton,Neural SDE (Student-t),2.10 ± 1.76,4.89 ± 5.51,10.13 ± 13.83,1.155 ± 1.014,2.989 ± 3.484,7.197 ± 10.199,0.419 ± 0.333,0.619 ± 0.375,14.78 ± 10.98,3
Woodwalton,Neural SDE (ALD),1.09 ± 0.01,1.79 ± 0.11,2.33 ± 0.04,0.628 ± 0.078,1.080 ± 0.150,1.462 ± 0.131,0.322 ± 0.147,0.798 ± 0.334,11.83 ± 8.61,3
Woodwalton,Mean-variance (Gaussian),1.24 ± 0.13,2.12 ± 0.31,2.91 ± 0.56,0.777 ± 0.198,1.367 ± 0.367,1.834 ± 0.468,0.253 ± 0.016,0.837 ± 0.248,13.95 ± 7.99,3
Woodwalton,Mean-variance (Student-t),1.16 ± 0.10,1.97 ± 0.40,2.86 ± 1.19,0.899 ± 0.576,1.605 ± 1.136,2.076 ± 1.559,0.318 ± 0.113,0.950 ± 0.044,21.99 ± 22.72,3
Woodwalton,Mean-variance (ALD),1.19 ± 0.17,1.97 ± 0.46,2.22 ± 0.31,0.739 ± 0.206,1.273 ± 0.396,1.537 ± 0.502,0.218 ± 0.075,0.956 ± 0.057,15.10 ± 8.73,3
Woodwalton,Analytical SDE (Gaussian),1.04,1.59,1.92,0.775,1.304,1.875,0.328,0.998,22.71,1
Woodwalton,Analytical SDE (Student-t),1.04,1.59,1.92,0.514,0.828,1.060,0.215,0.957,8.51,1
Woodwalton,MDN (mixture),1.07 ± 0.01,1.72 ± 0.08,2.25 ± 0.24,1.147 ± 0.947,2.071 ± 1.842,2.862 ± 2.640,0.337 ± 0.053,0.974 ± 0.026,34.09 ± 38.48,3
Woodwalton,Random Forest,1.66 ± 0.02,1.45 ± 0.01,1.50 ± 0.02,—,—,—,—,—,—,3
Woodwalton,XGBoost,2.53 ± 0.00,2.19 ± 0.00,2.11 ± 0.00,—,—,—,—,—,—,3
Rosedene,"WienerNet-SS (ALD, primary)",1.57 ± 0.01,1.68 ± 0.02,2.21 ± 0.21,0.725 ± 0.017,0.818 ± 0.043,1.119 ± 0.036,0.191 ± 0.036,0.949 ± 0.040,9.72 ± 1.98,3
Rosedene,WienerNet-SS (Gaussian),1.63 ± 0.08,1.92 ± 0.25,2.58 ± 0.93,0.858 ± 0.051,1.197 ± 0.092,1.682 ± 0.218,0.312 ± 0.004,0.986 ± 0.022,17.02 ± 1.52,3
Rosedene,WienerNet-SS (beta-NLL),1.58 ± 0.01,1.79 ± 0.11,2.49 ± 0.70,0.777 ± 0.039,0.984 ± 0.120,1.378 ± 0.251,0.269 ± 0.026,0.982 ± 0.015,13.54 ± 3.33,3
Rosedene,WienerNet-SS (Student-t),1.58 ± 0.05,1.68 ± 0.09,2.06 ± 0.23,0.746 ± 0.039,0.881 ± 0.072,1.226 ± 0.145,0.197 ± 0.076,0.962 ± 0.007,12.37 ± 2.60,3
Rosedene,WienerNet-SS (mixture),1.61 ± 0.08,1.75 ± 0.22,2.05 ± 0.10,0.731 ± 0.044,0.843 ± 0.097,1.106 ± 0.123,0.224 ± 0.045,0.969 ± 0.012,10.02 ± 1.29,3
Rosedene,WienerNet-SS (+residual),1.75 ± 0.17,2.19 ± 0.42,2.52 ± 0.71,0.776 ± 0.067,0.937 ± 0.170,1.203 ± 0.324,0.211 ± 0.099,0.943 ± 0.049,9.23 ± 3.16,3
Rosedene,"WienerNet-SS (given-diurnal, Wiener)",1.55 ± 0.00,1.58 ± 0.00,1.85 ± 0.00,0.709 ± 0.007,0.784 ± 0.056,1.023 ± 0.118,0.214 ± 0.038,0.960 ± 0.023,8.72 ± 2.72,3
Rosedene,"WienerNet-SS (given-diurnal, state-sp)",1.55 ± 0.00,1.58 ± 0.00,1.85 ± 0.00,0.741 ± 0.004,0.862 ± 0.032,1.143 ± 0.076,0.258 ± 0.025,0.962 ± 0.014,10.69 ± 1.48,3
Rosedene,Neural SDE (Gaussian),1.71 ± 0.11,2.22 ± 0.42,3.07 ± 0.73,0.886 ± 0.060,1.330 ± 0.240,1.962 ± 0.468,0.297 ± 0.120,0.908 ± 0.081,15.11 ± 5.10,3
Rosedene,Neural SDE (Student-t),1.59 ± 0.04,1.71 ± 0.12,2.15 ± 0.27,0.778 ± 0.017,0.982 ± 0.061,1.442 ± 0.122,0.255 ± 0.040,0.969 ± 0.025,15.78 ± 2.33,3
Rosedene,Neural SDE (ALD),1.69 ± 0.19,1.96 ± 0.54,2.84 ± 1.34,0.743 ± 0.023,0.885 ± 0.066,1.291 ± 0.235,0.214 ± 0.013,0.967 ± 0.019,11.13 ± 0.95,3
Rosedene,Mean-variance (Gaussian),1.56 ± 0.09,1.71 ± 0.21,2.22 ± 0.47,0.869 ± 0.104,1.141 ± 0.125,1.566 ± 0.105,0.264 ± 0.058,0.981 ± 0.022,15.61 ± 0.88,3
Rosedene,Mean-variance (Student-t),1.61 ± 0.06,1.73 ± 0.11,2.13 ± 0.14,0.865 ± 0.074,1.213 ± 0.216,1.829 ± 0.417,0.296 ± 0.015,0.985 ± 0.014,23.24 ± 6.89,3
Rosedene,Mean-variance (ALD),1.61 ± 0.02,1.83 ± 0.11,2.35 ± 0.29,0.785 ± 0.048,1.057 ± 0.107,1.490 ± 0.141,0.273 ± 0.016,0.986 ± 0.020,16.12 ± 4.36,3
Rosedene,Analytical SDE (Gaussian),1.55,1.59,1.80,0.863,1.156,1.544,0.310,1.000,17.75,1
Rosedene,Analytical SDE (Student-t),1.55,1.59,1.80,0.736,0.760,0.916,0.144,0.913,5.89,1
Rosedene,MDN (mixture),1.69 ± 0.10,1.91 ± 0.18,2.55 ± 0.15,0.771 ± 0.040,0.978 ± 0.105,1.443 ± 0.162,0.197 ± 0.032,0.981 ± 0.015,13.90 ± 2.54,3
