scope,model,rmse_h0-2,rmse_h2-5,rmse_h5+,crpsraw_h0-2,crpsraw_h2-5,crpsraw_h5+,crpsfix_h0-2,crpsfix_h2-5,crpsfix_h5+,covraw_h0-2,covraw_h2-5,covraw_h5+,covfix_h0-2,covfix_h2-5,covfix_h5+,cov50raw_h0-2,cov50raw_h2-5,cov50raw_h5+,cov50fix_h0-2,cov50fix_h2-5,cov50fix_h5+,cov95raw_h0-2,cov95raw_h2-5,cov95raw_h5+,cov95fix_h0-2,cov95fix_h2-5,cov95fix_h5+,sharpraw_h0-2,sharpraw_h2-5,sharpraw_h5+,sharpfix_h0-2,sharpfix_h2-5,sharpfix_h5+,pitksraw_h0-2,pitksraw_h2-5,pitksraw_h5+,pitksfix_h0-2,pitksfix_h2-5,pitksfix_h5+
all5,WN-SS (ALD),2.621,3.808,3.777,1.018,1.62,2.265,1.079,1.654,2.269,0.835,0.874,0.865,0.951,0.943,0.918,0.568,0.677,0.703,0.784,0.784,0.764,0.87,0.895,0.879,0.966,0.955,0.929,5.829,9.715,12.325,8.198,11.418,13.696,0.161,0.241,0.328,0.218,0.252,0.316
all5,WN-SS (Gaussian),2.904,4.546,5.344,4.638,8.392,4.201,,,,0.889,0.91,0.897,,,,0.68,0.743,0.727,,,,0.909,0.924,0.911,,,,47.179,86.66,27.183,,,,0.189,0.249,0.287,,,
all5,WN-SS (beta-NLL),2.608,3.863,3.887,5.853,10.481,3.601,,,,0.888,0.911,0.899,,,,0.674,0.73,0.727,,,,0.912,0.926,0.915,,,,62.597,115.147,30.209,,,,0.188,0.253,0.305,,,
all5,WN-SS (Student-t),2.466,3.528,3.459,2.416,4.176,2.509,,,,0.818,0.866,0.868,,,,0.576,0.675,0.717,,,,0.85,0.884,0.882,,,,28.413,50.442,19.742,,,,0.167,0.23,0.288,,,
all5,WN-SS (mixture),2.338,3.157,2.708,0.918,1.367,1.65,,,,0.901,0.945,0.951,,,,0.609,0.77,0.814,,,,0.936,0.961,0.962,,,,6.555,11.368,15.129,,,,0.127,0.2,0.26,,,
all5,WN-SS (+residual),2.425,3.322,2.772,3.918,6.897,2.467,,,,0.853,0.899,0.9,,,,0.579,0.695,0.723,,,,0.886,0.914,0.913,,,,60.977,110.65,28.325,,,,0.155,0.228,0.293,,,
all5,"WN-SS (given-diurnal, st-sp)",1.551,1.716,1.723,3.148,5.4,1.935,1.02,1.374,1.386,0.875,0.93,0.945,0.962,0.978,0.983,0.615,0.741,0.788,0.8,0.833,0.851,0.907,0.946,0.957,0.975,0.985,0.988,47.973,86.646,24.864,10.129,15.116,14.718,0.151,0.226,0.275,0.208,0.243,0.277
all5,"WN-SS (given-diurnal, Wiener)",1.551,1.716,1.723,2.006,3.287,1.601,,,,0.862,0.911,0.925,,,,0.586,0.715,0.759,,,,0.895,0.93,0.939,,,,27.362,49.131,18.242,,,,0.144,0.214,0.273,,,
all5,Neural SDE (Gaussian),125.172,170.187,75.503,7.637,14.226,3.97,,,,0.908,0.938,0.922,,,,0.682,0.734,0.726,,,,0.931,0.953,0.938,,,,57.744,106.079,29.356,,,,0.177,0.224,0.266,,,
all5,Neural SDE (Student-t),131.603,178.618,78.356,11.559,20.647,4.718,,,,0.866,0.925,0.935,,,,0.617,0.716,0.752,,,,0.897,0.941,0.945,,,,131.834,238.671,50.305,,,,0.145,0.207,0.251,,,
all5,Neural SDE (ALD),18.686,25.246,12.198,3.193,5.488,2.169,,,,0.866,0.905,0.906,,,,0.587,0.704,0.738,,,,0.899,0.924,0.917,,,,44.618,80.652,23.794,,,,0.16,0.237,0.308,,,
all5,mean-var (Gaussian),53.609,72.627,32.461,5.037,9.014,2.792,,,,0.913,0.956,0.975,,,,0.714,0.793,0.816,,,,0.935,0.97,0.986,,,,9.556,15.976,16.831,,,,0.172,0.219,0.253,,,
all5,mean-var (Student-t),25.887,34.974,16.252,2.767,4.745,2.03,,,,0.873,0.933,0.953,,,,0.623,0.724,0.768,,,,0.905,0.952,0.967,,,,7.621,13.129,14.463,,,,0.141,0.192,0.25,,,
all5,mean-var (ALD),26.209,35.363,16.283,2.709,4.653,1.91,,,,0.9,0.953,0.975,,,,0.638,0.764,0.806,,,,0.932,0.967,0.986,,,,7.838,12.893,14.037,,,,0.138,0.203,0.26,,,
all5,Analytical (Gaussian),1.54,1.694,1.682,0.9,1.267,1.705,,,,0.959,0.991,0.998,,,,0.817,0.904,0.957,,,,0.966,0.994,0.999,,,,7.788,13.546,20.517,,,,0.205,0.255,0.303,,,
all5,Analytical (Student-t),1.54,1.694,1.682,0.754,0.87,0.951,,,,0.794,0.888,0.954,,,,0.522,0.647,0.767,,,,0.835,0.915,0.962,,,,2.879,5.006,7.603,,,,0.1,0.115,0.177,,,
all5,MDN (mixture),11.227,14.993,7.565,1.587,2.532,1.686,,,,0.894,0.952,0.975,,,,0.612,0.762,0.825,,,,0.928,0.968,0.984,,,,9.07,15.533,16.072,,,,0.136,0.199,0.241,,,
all5,Random Forest,1.737,1.371,1.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all5,XGBoost,1.997,1.568,1.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean4,WN-SS (ALD),1.815,2.603,3.93,0.927,1.476,2.456,0.989,1.505,2.448,0.819,0.855,0.834,0.948,0.936,0.899,0.557,0.658,0.681,0.779,0.774,0.745,0.855,0.876,0.851,0.964,0.949,0.913,5.55,9.243,12.067,7.989,11.023,13.495,0.168,0.249,0.34,0.22,0.256,0.321
