Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 5h+,PIT-KS 5h+,cov90 5h+,n
Woodwalton,"WienerNet-SS (ALD, primary)",2.07 ± 1.63,4.72 ± 4.55,9.62 ± 10.71,5.537 ± 6.340,0.496 ± 0.307,0.400 ± 0.253,5
Woodwalton,WienerNet-SS (Gaussian),3.15 ± 2.27,7.46 ± 6.28,14.47 ± 14.71,8.844 ± 10.470,0.343 ± 0.372,0.589 ± 0.370,5
Woodwalton,WienerNet-SS (beta-NLL),1.84 ± 0.60,4.20 ± 1.86,7.17 ± 3.04,3.818 ± 1.931,0.379 ± 0.224,0.562 ± 0.265,5
Woodwalton,WienerNet-SS (Student-t),1.70 ± 0.72,3.87 ± 2.18,7.49 ± 5.02,4.566 ± 3.345,0.501 ± 0.300,0.422 ± 0.305,5
Woodwalton,WienerNet-SS (mixture),1.40 ± 0.51,2.82 ± 1.61,4.52 ± 2.97,2.392 ± 1.284,0.275 ± 0.156,0.782 ± 0.188,5
Woodwalton,WienerNet-SS (+residual),1.30 ± 0.21,2.48 ± 0.84,3.97 ± 1.57,2.439 ± 1.282,0.404 ± 0.254,0.556 ± 0.328,5
Woodwalton,"WienerNet-SS (given-diurnal, Wiener)",1.07 ± 0.00,1.64 ± 0.00,1.97 ± 0.00,1.055 ± 0.046,0.164 ± 0.078,0.664 ± 0.167,5
Woodwalton,"WienerNet-SS (given-diurnal, state-sp)",1.07 ± 0.00,1.64 ± 0.00,1.97 ± 0.00,1.145 ± 0.272,0.149 ± 0.065,0.764 ± 0.176,5
Woodwalton,Neural SDE (Gaussian),1.53 ± 0.39,3.12 ± 1.29,5.73 ± 4.14,3.661 ± 3.301,0.371 ± 0.212,0.702 ± 0.282,5
Woodwalton,Neural SDE (Student-t),1.20 ± 0.15,2.04 ± 0.38,2.91 ± 0.73,1.835 ± 0.599,0.293 ± 0.234,0.732 ± 0.298,5
Woodwalton,Neural SDE (ALD),1.27 ± 0.38,2.29 ± 1.06,3.27 ± 1.35,1.971 ± 0.416,0.430 ± 0.179,0.567 ± 0.328,5
Woodwalton,Mean-variance (Gaussian),1.13 ± 0.06,1.84 ± 0.21,2.43 ± 0.49,1.450 ± 0.316,0.201 ± 0.101,0.902 ± 0.070,5
Woodwalton,Mean-variance (Student-t),1.12 ± 0.04,1.81 ± 0.18,2.43 ± 0.48,1.371 ± 0.263,0.255 ± 0.125,0.816 ± 0.125,5
Woodwalton,Mean-variance (ALD),1.08 ± 0.02,1.70 ± 0.08,2.11 ± 0.23,1.260 ± 0.237,0.205 ± 0.066,0.903 ± 0.086,5
Woodwalton,Analytical SDE (Gaussian),1.04,1.59,1.92,1.876,0.328,0.998,1
Woodwalton,Analytical SDE (Student-t),1.04,1.59,1.92,1.060,0.215,0.957,1
Woodwalton,MDN (mixture),1.07 ± 0.01,1.69 ± 0.04,2.13 ± 0.16,1.257 ± 0.173,0.240 ± 0.088,0.908 ± 0.070,5
Woodwalton,Random Forest,1.68 ± 0.02,1.47 ± 0.02,1.52 ± 0.01,—,—,—,5
Woodwalton,XGBoost,2.53 ± 0.00,2.19 ± 0.00,2.11 ± 0.00,—,—,—,5
