Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
"WienerNet-SS (ALD, primary)",0.770 ± 0.202,700340.59 ± 1710241.74,3.08 ± 4.17,0.464 ± 0.126,0.796 ± 0.132,0.845 ± 0.124,4.17 ± 3.54,0.101 ± 0.113,492.60 ± 1095.89,-0.70 ± 1.23,48.4 ± 41.3,18.53 ± 33.46,25
WienerNet-SS (Gaussian),1.412 ± 2.794,576666.00 ± 1416198.23,60.09 ± 267.60,0.631 ± 0.150,0.858 ± 0.148,0.885 ± 0.143,12.51 ± 36.68,0.138 ± 0.119,424.87 ± 1005.07,-0.83 ± 1.45,46.4 ± 42.2,29.97 ± 40.06,25
WienerNet-SS (beta-NLL),1.519 ± 2.876,256936.92 ± 717633.23,79.49 ± 247.42,0.622 ± 0.118,0.857 ± 0.116,0.885 ± 0.111,14.32 ± 37.81,0.132 ± 0.075,281.94 ± 671.96,-0.63 ± 1.13,48.7 ± 42.5,16.39 ± 8.57,25
WienerNet-SS (Student-t),1.092 ± 1.462,1.99 ± 0.90,31.20 ± 111.11,0.501 ± 0.140,0.778 ± 0.151,0.823 ± 0.146,8.25 ± 19.94,0.117 ± 0.124,576.86 ± 1204.71,-0.80 ± 1.55,49.6 ± 42.6,16.81 ± 17.42,25
WienerNet-SS (mixture),0.722 ± 0.129,10885.44 ± 23216.39,3.17 ± 4.25,0.468 ± 0.116,0.852 ± 0.062,0.905 ± 0.055,4.07 ± 1.39,0.091 ± 0.070,66.29 ± 134.23,-0.65 ± 1.31,49.5 ± 40.8,15.21 ± 7.56,25
WienerNet-SS (+residual),1.279 ± 1.626,546582.20 ± 1577703.38,67.03 ± 190.17,0.482 ± 0.138,0.810 ± 0.143,0.856 ± 0.132,13.78 ± 29.57,0.099 ± 0.102,393.67 ± 987.51,-0.69 ± 1.40,49.7 ± 40.5,12.18 ± 7.51,25
WienerNet-SS (state-space),1.414 ± 2.188,533701.35 ± 1426099.20,93.17 ± 329.32,0.494 ± 0.114,0.819 ± 0.122,0.863 ± 0.116,16.38 ± 39.62,0.093 ± 0.076,416.55 ± 963.10,-0.57 ± 1.26,48.9 ± 39.8,12.61 ± 7.82,25
"WienerNet-SS (given-diurnal, Wiener)",0.904 ± 0.844,15601.22 ± 36006.98,48.49 ± 173.79,0.497 ± 0.093,0.811 ± 0.099,0.856 ± 0.097,7.36 ± 15.52,0.079 ± 0.043,80.34 ± 160.55,-0.01 ± 0.01,27.9 ± 15.3,11.07 ± 7.66,25
"WienerNet-SS (given-diurnal, state-sp)",1.114 ± 1.528,8101.24 ± 20580.48,63.28 ± 195.55,0.513 ± 0.099,0.828 ± 0.090,0.871 ± 0.084,11.27 ± 27.72,0.077 ± 0.043,53.49 ± 117.87,-0.01 ± 0.01,27.9 ± 15.3,10.66 ± 7.41,25
WienerNet-SS (predicted-k),1.214 ± 1.827,362711.23 ± 1190905.66,101.46 ± 344.90,0.460 ± 0.177,0.765 ± 0.248,0.808 ± 0.251,12.24 ± 33.22,0.132 ± 0.201,277.88 ± 820.96,-0.93 ± 1.94,49.8 ± 41.4,11.92 ± 7.71,25
Neural SDE (Gaussian),1.852 ± 3.036,55831325.81 ± 274513767.37,80.64 ± 238.25,0.640 ± 0.089,0.878 ± 0.060,0.905 ± 0.054,13.75 ± 30.75,0.126 ± 0.070,2461.63 ± 10479.67,-5709.78 ± 18612.59,265.8 ± 485.3,16.15 ± 7.25,25
Neural SDE (Student-t),2.603 ± 3.938,1.74 ± 0.43,184.75 ± 394.76,0.548 ± 0.102,0.819 ± 0.092,0.860 ± 0.088,26.04 ± 48.22,0.093 ± 0.066,3676.89 ± 13569.12,-5520.06 ± 16927.68,276.5 ± 501.9,13.32 ± 9.04,25
Neural SDE (ALD),1.198 ± 1.394,150689682.86 ± 572743447.33,67.90 ± 232.10,0.492 ± 0.120,0.824 ± 0.119,0.867 ± 0.114,10.54 ± 23.62,0.091 ± 0.083,5775.89 ± 16696.67,-153.71 ± 477.58,343.8 ± 715.5,11.03 ± 5.82,25
Mean-variance (Gaussian),1.602 ± 2.920,10925116.44 ± 54625571.23,24.56 ± 68.13,0.661 ± 0.086,0.878 ± 0.052,0.904 ± 0.045,5.14 ± 2.67,0.124 ± 0.045,935.54 ± 4670.44,-2439.41 ± 9717.56,410.8 ± 883.4,18.62 ± 20.63,25
Mean-variance (Student-t),1.183 ± 1.146,1.65 ± 0.35,16.39 ± 33.09,0.561 ± 0.077,0.828 ± 0.062,0.868 ± 0.057,4.16 ± 2.58,0.093 ± 0.042,2366.59 ± 8968.15,-591.43 ± 1569.01,414.0 ± 860.8,20.85 ± 50.34,25
Mean-variance (ALD),0.998 ± 0.840,14005445.28 ± 46939473.49,10.77 ± 22.89,0.538 ± 0.098,0.852 ± 0.059,0.895 ± 0.052,4.27 ± 1.47,0.077 ± 0.050,1706.17 ± 5110.21,-276.67 ± 984.81,336.9 ± 720.6,11.08 ± 5.84,25
Analytical SDE (Gaussian),0.751 ± 0.110,1.88 ± 0.18,2.22 ± 0.16,0.756 ± 0.077,0.926 ± 0.030,0.943 ± 0.024,5.07 ± 0.29,0.162 ± 0.059,0.98 ± 0.23,-0.01 ± 0.02,27.9 ± 16.7,23.50 ± 9.05,5
Analytical SDE (Student-t),0.702 ± 0.158,1.51 ± 0.30,1.65 ± 0.29,0.481 ± 0.130,0.729 ± 0.069,0.771 ± 0.059,1.87 ± 0.39,0.114 ± 0.034,2.70 ± 0.69,-0.01 ± 0.02,27.9 ± 16.7,3.15 ± 1.22,5
MDN (mixture),0.940 ± 0.534,1.60 ± 0.23,9.92 ± 17.24,0.490 ± 0.127,0.844 ± 0.071,0.896 ± 0.056,4.82 ± 2.98,0.084 ± 0.046,2205.50 ± 10765.50,-157.50 ± 465.35,506.4 ± 1010.6,21.98 ± 36.34,25
Random Forest,—,—,1.52 ± 0.12,—,—,—,—,—,—,—,—,—,25
XGBoost,—,—,1.73 ± 0.32,—,—,—,—,—,—,—,—,—,25
