Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
"WienerNet-SS (ALD, primary)",0.745 ± 0.152,18.58 ± 35.92,2.16 ± 0.46,0.453 ± 0.137,0.775 ± 0.139,0.826 ± 0.131,3.43 ± 1.71,0.117 ± 0.122,4.24 ± 4.27,-0.16 ± 0.53,29.3 ± 14.4,19.83 ± 37.42,20
WienerNet-SS (Gaussian),0.812 ± 0.185,4.40 ± 10.03,2.38 ± 0.39,0.625 ± 0.168,0.846 ± 0.164,0.874 ± 0.158,4.50 ± 1.69,0.148 ± 0.132,1.63 ± 1.59,-0.27 ± 0.81,26.5 ± 12.6,33.84 ± 44.12,20
WienerNet-SS (beta-NLL),0.753 ± 0.123,5.45 ± 14.68,2.25 ± 0.45,0.612 ± 0.131,0.843 ± 0.127,0.873 ± 0.122,4.11 ± 1.61,0.137 ± 0.083,1.92 ± 2.31,-0.11 ± 0.23,28.7 ± 12.8,16.47 ± 8.91,20
WienerNet-SS (Student-t),0.748 ± 0.129,2.06 ± 1.00,2.24 ± 0.73,0.493 ± 0.156,0.760 ± 0.165,0.805 ± 0.159,3.41 ± 1.76,0.136 ± 0.132,4.06 ± 4.50,-0.07 ± 0.19,29.7 ± 13.6,16.65 ± 18.18,20
WienerNet-SS (mixture),0.718 ± 0.138,2.31 ± 1.28,2.25 ± 0.39,0.470 ± 0.129,0.844 ± 0.067,0.898 ± 0.059,3.91 ± 1.31,0.102 ± 0.075,1.43 ± 0.76,-0.04 ± 0.09,30.5 ± 14.3,15.84 ± 8.31,20
WienerNet-SS (+residual),0.718 ± 0.135,11.22 ± 23.91,2.11 ± 0.47,0.478 ± 0.154,0.792 ± 0.154,0.840 ± 0.144,3.47 ± 1.60,0.113 ± 0.110,3.32 ± 3.31,-0.03 ± 0.06,31.0 ± 14.7,11.25 ± 8.09,20
WienerNet-SS (state-space),0.719 ± 0.133,53.03 ± 200.90,2.19 ± 0.50,0.486 ± 0.126,0.801 ± 0.130,0.847 ± 0.125,3.64 ± 1.67,0.105 ± 0.081,4.98 ± 9.17,-0.04 ± 0.08,30.6 ± 14.6,12.19 ± 7.21,20
"WienerNet-SS (given-diurnal, Wiener)",0.711 ± 0.152,34.73 ± 86.32,2.12 ± 0.52,0.489 ± 0.102,0.791 ± 0.101,0.837 ± 0.100,3.37 ± 1.76,0.089 ± 0.043,5.20 ± 6.64,-0.01 ± 0.01,31.6 ± 14.9,10.19 ± 7.94,20
"WienerNet-SS (given-diurnal, state-sp)",0.711 ± 0.149,31.83 ± 101.55,2.16 ± 0.50,0.510 ± 0.109,0.811 ± 0.092,0.855 ± 0.088,3.54 ± 1.62,0.086 ± 0.043,4.57 ± 6.65,-0.01 ± 0.01,31.6 ± 14.9,10.33 ± 8.21,20
WienerNet-SS (predicted-k),0.736 ± 0.108,68.44 ± 173.23,2.11 ± 0.48,0.446 ± 0.197,0.734 ± 0.269,0.777 ± 0.273,3.44 ± 1.84,0.158 ± 0.218,6.16 ± 9.73,-0.03 ± 0.09,30.8 ± 14.1,12.70 ± 8.46,20
Neural SDE (Gaussian),0.758 ± 0.122,2.17 ± 1.17,2.32 ± 0.37,0.634 ± 0.098,0.869 ± 0.064,0.898 ± 0.058,4.39 ± 1.11,0.132 ± 0.077,1.38 ± 0.63,-0.07 ± 0.13,30.2 ± 14.6,15.86 ± 7.26,20
Neural SDE (Student-t),0.730 ± 0.143,1.78 ± 0.47,2.18 ± 0.40,0.547 ± 0.114,0.806 ± 0.099,0.848 ± 0.095,3.57 ± 1.34,0.100 ± 0.072,3.40 ± 3.55,-0.04 ± 0.07,30.7 ± 15.8,12.16 ± 7.65,20
Neural SDE (ALD),0.719 ± 0.136,45.62 ± 157.00,2.18 ± 0.44,0.488 ± 0.135,0.806 ± 0.128,0.851 ± 0.123,3.67 ± 1.48,0.105 ± 0.087,4.83 ± 8.38,-0.06 ± 0.13,30.5 ± 15.3,11.51 ± 6.41,20
Mean-variance (Gaussian),0.733 ± 0.145,2.19 ± 0.81,2.31 ± 0.45,0.657 ± 0.096,0.868 ± 0.054,0.895 ± 0.046,4.22 ± 1.22,0.126 ± 0.050,1.47 ± 0.54,-0.00 ± 0.03,31.5 ± 15.4,13.57 ± 8.19,20
Mean-variance (Student-t),0.717 ± 0.158,1.66 ± 0.39,2.17 ± 0.45,0.562 ± 0.086,0.816 ± 0.064,0.857 ± 0.058,3.45 ± 1.11,0.100 ± 0.043,3.57 ± 3.06,-0.00 ± 0.03,31.3 ± 15.9,10.80 ± 6.52,20
Mean-variance (ALD),0.713 ± 0.150,5.37 ± 8.08,2.25 ± 0.40,0.549 ± 0.106,0.845 ± 0.064,0.888 ± 0.055,3.92 ± 1.18,0.088 ± 0.050,2.62 ± 1.72,-0.01 ± 0.03,31.4 ± 15.9,11.11 ± 6.37,20
Analytical SDE (Gaussian),0.775 ± 0.112,1.93 ± 0.16,2.27 ± 0.12,0.750 ± 0.087,0.919 ± 0.029,0.937 ± 0.023,5.04 ± 0.33,0.163 ± 0.068,1.03 ± 0.23,-0.01 ± 0.02,31.5 ± 16.9,19.94 ± 4.93,4
Analytical SDE (Student-t),0.726 ± 0.171,1.54 ± 0.34,1.73 ± 0.26,0.501 ± 0.141,0.735 ± 0.078,0.775 ± 0.068,1.93 ± 0.43,0.119 ± 0.037,2.78 ± 0.77,-0.01 ± 0.02,31.5 ± 16.9,3.21 ± 1.40,4
MDN (mixture),0.712 ± 0.154,1.61 ± 0.26,2.17 ± 0.36,0.492 ± 0.141,0.830 ± 0.073,0.884 ± 0.057,3.70 ± 1.02,0.095 ± 0.045,2.19 ± 1.56,-0.00 ± 0.02,31.8 ± 15.4,11.65 ± 6.87,20
Random Forest,—,—,1.57 ± 0.03,—,—,—,—,—,—,—,—,—,20
XGBoost,—,—,1.83 ± 0.29,—,—,—,—,—,—,—,—,—,20
