Site,Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
Woodwalton,"WienerNet-SS (ALD, primary)",0.638 ± 0.255,64.55 ± 51.00,1.57 ± 0.41,0.325 ± 0.144,0.589 ± 0.139,0.643 ± 0.130,1.25 ± 0.44,0.261 ± 0.176,10.43 ± 4.57,-0.58 ± 1.02,41.3 ± 14.8,39.56 ± 76.05,5
Woodwalton,WienerNet-SS (Gaussian),0.838 ± 0.371,11.90 ± 19.60,2.17 ± 0.57,0.550 ± 0.313,0.725 ± 0.310,0.753 ± 0.299,3.66 ± 2.63,0.266 ± 0.231,2.98 ± 2.94,-1.06 ± 1.44,30.9 ± 14.8,73.33 ± 76.09,5
Woodwalton,WienerNet-SS (beta-NLL),0.601 ± 0.088,16.16 ± 28.84,1.59 ± 0.11,0.502 ± 0.198,0.711 ± 0.203,0.745 ± 0.197,2.04 ± 0.73,0.217 ± 0.126,4.16 ± 4.08,-0.41 ± 0.32,39.2 ± 7.8,14.65 ± 8.41,5
Woodwalton,WienerNet-SS (Student-t),0.603 ± 0.114,3.00 ± 1.75,1.51 ± 0.22,0.351 ± 0.225,0.569 ± 0.232,0.614 ± 0.222,1.39 ± 1.09,0.307 ± 0.173,9.81 ± 6.29,-0.28 ± 0.32,43.0 ± 6.9,15.99 ± 12.04,5
Woodwalton,WienerNet-SS (mixture),0.533 ± 0.063,3.60 ± 2.21,1.73 ± 0.32,0.471 ± 0.210,0.802 ± 0.105,0.845 ± 0.090,2.64 ± 1.57,0.181 ± 0.118,2.22 ± 1.20,-0.12 ± 0.15,45.9 ± 7.8,15.33 ± 14.04,5
Woodwalton,WienerNet-SS (+residual),0.534 ± 0.045,35.33 ± 41.69,1.46 ± 0.27,0.411 ± 0.256,0.651 ± 0.256,0.699 ± 0.236,1.67 ± 1.35,0.248 ± 0.157,6.89 ± 5.36,-0.09 ± 0.09,48.1 ± 3.5,6.37 ± 6.49,5
Woodwalton,WienerNet-SS (state-space),0.531 ± 0.034,202.83 ± 392.82,1.49 ± 0.28,0.397 ± 0.150,0.655 ± 0.178,0.703 ± 0.175,1.56 ± 1.20,0.215 ± 0.086,13.75 ± 16.41,-0.11 ± 0.12,47.3 ± 3.8,7.99 ± 7.44,5
Woodwalton,"WienerNet-SS (given-diurnal, Wiener)",0.489 ± 0.010,127.79 ± 144.73,1.32 ± 0.04,0.466 ± 0.090,0.663 ± 0.099,0.704 ± 0.099,0.98 ± 0.41,0.138 ± 0.039,13.74 ± 9.24,-0.03 ± 0.00,49.8 ± 0.0,1.06 ± 0.92,5
Woodwalton,"WienerNet-SS (given-diurnal, state-sp)",0.492 ± 0.025,117.34 ± 191.82,1.47 ± 0.32,0.532 ± 0.131,0.733 ± 0.128,0.770 ± 0.123,1.64 ± 1.30,0.131 ± 0.042,11.67 ± 11.15,-0.03 ± 0.00,49.8 ± 0.0,5.52 ± 9.77,5
Woodwalton,WienerNet-SS (predicted-k),0.619 ± 0.081,265.52 ± 278.95,1.41 ± 0.24,0.244 ± 0.298,0.389 ± 0.371,0.424 ± 0.377,1.18 ± 1.67,0.450 ± 0.283,18.63 ± 13.77,-0.13 ± 0.15,46.7 ± 1.6,8.95 ± 6.89,5
Woodwalton,Neural SDE (Gaussian),0.599 ± 0.088,2.79 ± 2.34,1.84 ± 0.36,0.648 ± 0.157,0.857 ± 0.112,0.883 ± 0.104,3.52 ± 1.53,0.231 ± 0.090,1.68 ± 1.19,-0.18 ± 0.24,47.4 ± 1.6,15.36 ± 10.92,5
Woodwalton,Neural SDE (Student-t),0.545 ± 0.088,1.89 ± 0.85,1.74 ± 0.56,0.559 ± 0.208,0.745 ± 0.180,0.779 ± 0.169,2.60 ± 2.33,0.188 ± 0.095,7.11 ± 5.86,-0.07 ± 0.07,49.6 ± 2.6,12.69 ± 14.00,5
Woodwalton,Neural SDE (ALD),0.528 ± 0.032,173.29 ± 299.85,1.54 ± 0.31,0.430 ± 0.229,0.686 ± 0.207,0.726 ± 0.197,1.95 ± 1.57,0.238 ± 0.052,13.07 ± 14.80,-0.11 ± 0.15,48.1 ± 5.1,5.99 ± 6.19,5
Woodwalton,Mean-variance (Gaussian),0.517 ± 0.030,2.59 ± 1.41,1.68 ± 0.19,0.723 ± 0.048,0.872 ± 0.037,0.893 ± 0.035,2.81 ± 0.75,0.185 ± 0.036,1.90 ± 0.73,-0.04 ± 0.04,50.3 ± 1.1,6.56 ± 3.93,5
Woodwalton,Mean-variance (Student-t),0.490 ± 0.020,1.25 ± 0.13,1.52 ± 0.24,0.594 ± 0.071,0.795 ± 0.053,0.831 ± 0.047,1.91 ± 0.74,0.157 ± 0.040,7.15 ± 4.38,-0.03 ± 0.02,50.9 ± 0.6,4.16 ± 3.07,5
Woodwalton,Mean-variance (ALD),0.500 ± 0.030,11.76 ± 15.20,1.77 ± 0.42,0.637 ± 0.098,0.837 ± 0.082,0.870 ± 0.074,2.71 ± 1.34,0.154 ± 0.045,4.08 ± 2.92,-0.03 ± 0.03,50.9 ± 0.6,5.83 ± 4.09,5
Woodwalton,Analytical SDE (Gaussian),0.634,1.72,2.12,0.862,0.957,0.967,5.48,0.256,0.72,-0.04,49.6,23.65,1
Woodwalton,Analytical SDE (Student-t),0.497,1.14,1.40,0.705,0.849,0.871,2.05,0.173,1.93,-0.04,49.6,3.74,1
Woodwalton,MDN (mixture),0.494 ± 0.026,1.35 ± 0.09,1.64 ± 0.26,0.557 ± 0.151,0.807 ± 0.098,0.853 ± 0.079,2.54 ± 1.09,0.140 ± 0.039,3.87 ± 2.44,-0.03 ± 0.01,51.0 ± 0.3,5.01 ± 3.19,5
Woodwalton,Random Forest,—,—,1.57 ± 0.02,—,—,—,—,—,—,—,—,—,5
Woodwalton,XGBoost,—,—,2.31 ± 0.00,—,—,—,—,—,—,—,—,—,5
Rosedene,"WienerNet-SS (ALD, primary)",0.726 ± 0.013,4.29 ± 1.54,2.06 ± 0.13,0.395 ± 0.065,0.784 ± 0.062,0.843 ± 0.050,2.64 ± 0.54,0.063 ± 0.045,2.81 ± 0.56,-0.00 ± 0.00,41.9 ± 0.1,5.56 ± 2.12,5
Rosedene,WienerNet-SS (Gaussian),0.739 ± 0.020,1.92 ± 0.24,2.33 ± 0.27,0.621 ± 0.103,0.875 ± 0.054,0.904 ± 0.044,4.01 ± 1.14,0.094 ± 0.034,1.37 ± 0.37,-0.00 ± 0.01,41.3 ± 0.6,12.16 ± 4.04,5
Rosedene,WienerNet-SS (beta-NLL),0.726 ± 0.015,1.88 ± 0.22,2.24 ± 0.16,0.611 ± 0.087,0.871 ± 0.047,0.901 ± 0.038,3.67 ± 0.81,0.076 ± 0.030,1.39 ± 0.29,-0.00 ± 0.01,41.7 ± 0.4,10.56 ± 4.80,5
Rosedene,WienerNet-SS (Student-t),0.722 ± 0.007,1.58 ± 0.07,2.07 ± 0.11,0.478 ± 0.057,0.795 ± 0.041,0.845 ± 0.033,2.75 ± 0.46,0.051 ± 0.020,2.45 ± 0.36,-0.00 ± 0.00,41.8 ± 0.1,6.50 ± 2.91,5
Rosedene,WienerNet-SS (mixture),0.724 ± 0.004,1.88 ± 0.26,2.26 ± 0.21,0.494 ± 0.077,0.851 ± 0.058,0.901 ± 0.042,3.54 ± 0.99,0.048 ± 0.010,1.34 ± 0.34,-0.00 ± 0.00,41.8 ± 0.2,10.78 ± 5.42,5
