Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
"WienerNet-SS (ALD, primary)",2.62 ± 1.82,3.81 ± 3.33,3.78 ± 5.32,1.018 ± 0.376,1.620 ± 1.159,2.265 ± 3.086,0.328 ± 0.160,0.865 ± 0.260,12.33 ± 4.89,25
WienerNet-SS (Gaussian),2.90 ± 1.98,4.55 ± 4.07,5.34 ± 7.68,4.638 ± 17.393,8.392 ± 31.835,4.201 ± 7.109,0.287 ± 0.158,0.897 ± 0.220,27.18 ± 56.42,25
WienerNet-SS (beta-NLL),2.61 ± 1.69,3.86 ± 2.82,3.89 ± 2.54,5.853 ± 18.030,10.481 ± 32.947,3.601 ± 5.364,0.305 ± 0.111,0.899 ± 0.205,30.21 ± 58.83,25
WienerNet-SS (Student-t),2.47 ± 1.55,3.53 ± 2.63,3.46 ± 2.96,2.416 ± 7.250,4.176 ± 13.329,2.509 ± 2.771,0.288 ± 0.169,0.868 ± 0.260,19.74 ± 34.67,25
WienerNet-SS (mixture),2.34 ± 1.52,3.16 ± 2.49,2.71 ± 1.61,0.918 ± 0.214,1.367 ± 0.439,1.650 ± 0.677,0.260 ± 0.072,0.951 ± 0.116,15.13 ± 4.01,25
WienerNet-SS (+residual),2.43 ± 1.66,3.32 ± 2.62,2.77 ± 1.06,3.918 ± 8.643,6.897 ± 15.993,2.467 ± 2.326,0.293 ± 0.126,0.900 ± 0.221,28.33 ± 44.79,25
WienerNet-SS (state-space),—,—,—,—,—,—,—,—,—,0
"WienerNet-SS (given-diurnal, Wiener)",1.55 ± 0.26,1.72 ± 0.09,1.72 ± 0.19,2.006 ± 4.786,3.287 ± 8.874,1.601 ± 1.296,0.273 ± 0.073,0.925 ± 0.150,18.24 ± 25.47,25
"WienerNet-SS (given-diurnal, state-sp)",1.55 ± 0.26,1.72 ± 0.09,1.72 ± 0.19,3.148 ± 8.648,5.400 ± 16.029,1.935 ± 2.320,0.275 ± 0.077,0.945 ± 0.117,24.86 ± 44.77,25
WienerNet-SS (predicted-k),—,—,—,—,—,—,—,—,—,0
Neural SDE (Gaussian),125.17 ± 348.06,170.19 ± 472.86,75.50 ± 202.98,7.637 ± 18.907,14.226 ± 36.121,3.970 ± 5.300,0.266 ± 0.110,0.922 ± 0.163,29.36 ± 47.43,25
Neural SDE (Student-t),131.60 ± 341.90,178.62 ± 464.48,78.36 ± 199.77,11.559 ± 22.719,20.647 ± 41.263,4.718 ± 6.742,0.251 ± 0.105,0.935 ± 0.160,50.30 ± 79.84,25
Neural SDE (ALD),18.69 ± 50.43,25.25 ± 68.55,12.20 ± 29.14,3.193 ± 7.142,5.488 ± 13.028,2.169 ± 1.914,0.308 ± 0.102,0.906 ± 0.219,23.79 ± 38.13,25
Mean-variance (Gaussian),53.61 ± 196.16,72.63 ± 266.57,32.46 ± 114.56,5.037 ± 15.538,9.014 ± 29.261,2.792 ± 4.751,0.253 ± 0.059,0.975 ± 0.047,16.83 ± 8.75,25
Mean-variance (Student-t),25.89 ± 72.15,34.97 ± 98.09,16.25 ± 41.86,2.767 ± 5.860,4.745 ± 10.945,2.030 ± 2.038,0.250 ± 0.061,0.953 ± 0.087,14.46 ± 8.66,25
Mean-variance (ALD),26.21 ± 75.20,35.36 ± 102.24,16.28 ± 43.71,2.709 ± 5.749,4.653 ± 10.852,1.910 ± 1.693,0.260 ± 0.049,0.975 ± 0.052,14.04 ± 4.04,25
Analytical SDE (Gaussian),1.54 ± 0.30,1.69 ± 0.09,1.68 ± 0.23,0.900 ± 0.087,1.267 ± 0.062,1.705 ± 0.118,0.303 ± 0.025,0.998 ± 0.003,20.52 ± 1.79,5
Analytical SDE (Student-t),1.54 ± 0.30,1.69 ± 0.09,1.68 ± 0.23,0.754 ± 0.149,0.870 ± 0.086,0.951 ± 0.126,0.177 ± 0.026,0.954 ± 0.026,7.60 ± 1.78,5
MDN (mixture),11.23 ± 30.01,14.99 ± 40.85,7.57 ± 17.24,1.587 ± 2.208,2.532 ± 4.148,1.686 ± 0.854,0.241 ± 0.048,0.975 ± 0.045,16.07 ± 8.83,25
Random Forest,1.74 ± 0.19,1.37 ± 0.13,1.17 ± 0.22,—,—,—,—,—,—,25
XGBoost,2.00 ± 0.34,1.57 ± 0.34,1.33 ± 0.43,—,—,—,—,—,—,25
