Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
Woodwalton,"WienerNet-SS (ALD, primary)",2.07 ± 1.63,4.72 ± 4.55,9.62 ± 10.71,1.008 ± 0.756,2.451 ± 2.403,5.537 ± 6.340,0.496 ± 0.307,0.400 ± 0.253,4.90 ± 2.02,5
Woodwalton,WienerNet-SS (Gaussian),3.15 ± 2.27,7.46 ± 6.28,14.47 ± 14.71,1.624 ± 1.235,4.035 ± 3.822,8.844 ± 10.470,0.343 ± 0.372,0.589 ± 0.370,13.74 ± 10.14,5
Woodwalton,WienerNet-SS (beta-NLL),1.84 ± 0.60,4.20 ± 1.86,7.17 ± 3.04,0.913 ± 0.307,2.117 ± 0.980,3.818 ± 1.931,0.379 ± 0.224,0.562 ± 0.265,7.27 ± 2.69,5
Woodwalton,WienerNet-SS (Student-t),1.70 ± 0.72,3.87 ± 2.18,7.49 ± 5.02,0.909 ± 0.395,2.154 ± 1.307,4.566 ± 3.345,0.501 ± 0.300,0.422 ± 0.305,6.10 ± 5.50,5
Woodwalton,WienerNet-SS (mixture),1.40 ± 0.51,2.82 ± 1.61,4.52 ± 2.97,0.702 ± 0.180,1.420 ± 0.548,2.392 ± 1.284,0.275 ± 0.156,0.782 ± 0.188,11.21 ± 5.83,5
Woodwalton,WienerNet-SS (+residual),1.30 ± 0.21,2.48 ± 0.84,3.97 ± 1.57,0.687 ± 0.124,1.365 ± 0.412,2.439 ± 1.282,0.404 ± 0.254,0.556 ± 0.328,6.61 ± 5.38,5
Woodwalton,"WienerNet-SS (given-diurnal, Wiener)",1.07 ± 0.00,1.64 ± 0.00,1.97 ± 0.00,0.522 ± 0.010,0.853 ± 0.028,1.055 ± 0.046,0.164 ± 0.078,0.664 ± 0.167,3.85 ± 1.80,5
Woodwalton,"WienerNet-SS (given-diurnal, state-sp)",1.07 ± 0.00,1.64 ± 0.00,1.97 ± 0.00,0.548 ± 0.078,0.901 ± 0.155,1.145 ± 0.272,0.149 ± 0.065,0.764 ± 0.176,6.94 ± 6.35,5
Woodwalton,Neural SDE (Gaussian),1.53 ± 0.39,3.12 ± 1.29,5.73 ± 4.14,0.867 ± 0.276,1.844 ± 0.947,3.661 ± 3.301,0.371 ± 0.212,0.702 ± 0.282,13.79 ± 6.87,5
Woodwalton,Neural SDE (Student-t),1.20 ± 0.15,2.04 ± 0.38,2.91 ± 0.73,0.696 ± 0.214,1.245 ± 0.365,1.835 ± 0.599,0.293 ± 0.234,0.732 ± 0.298,11.48 ± 9.85,5
Woodwalton,Neural SDE (ALD),1.27 ± 0.38,2.29 ± 1.06,3.27 ± 1.35,0.670 ± 0.154,1.280 ± 0.395,1.971 ± 0.416,0.430 ± 0.179,0.567 ± 0.328,7.49 ± 6.38,5
Woodwalton,Mean-variance (Gaussian),1.13 ± 0.06,1.84 ± 0.21,2.43 ± 0.49,0.647 ± 0.089,1.091 ± 0.169,1.450 ± 0.316,0.201 ± 0.101,0.902 ± 0.070,10.78 ± 2.90,5
Woodwalton,Mean-variance (Student-t),1.12 ± 0.04,1.81 ± 0.18,2.43 ± 0.48,0.583 ± 0.077,0.994 ± 0.134,1.371 ± 0.263,0.255 ± 0.125,0.816 ± 0.125,7.97 ± 3.23,5
Woodwalton,Mean-variance (ALD),1.08 ± 0.02,1.70 ± 0.08,2.11 ± 0.23,0.629 ± 0.125,1.039 ± 0.209,1.260 ± 0.237,0.205 ± 0.066,0.903 ± 0.086,10.40 ± 4.84,5
Woodwalton,Analytical SDE (Gaussian),1.04,1.59,1.92,0.775,1.304,1.876,0.328,0.998,22.73,1
Woodwalton,Analytical SDE (Student-t),1.04,1.59,1.92,0.514,0.828,1.060,0.215,0.957,8.51,1
Woodwalton,MDN (mixture),1.07 ± 0.01,1.69 ± 0.04,2.13 ± 0.16,0.589 ± 0.071,0.989 ± 0.129,1.257 ± 0.173,0.240 ± 0.088,0.908 ± 0.070,10.02 ± 3.82,5
Woodwalton,Random Forest,1.68 ± 0.02,1.47 ± 0.02,1.52 ± 0.01,—,—,—,—,—,—,5
Woodwalton,XGBoost,2.53 ± 0.00,2.19 ± 0.00,2.11 ± 0.00,—,—,—,—,—,—,5
Rosedene,"WienerNet-SS (ALD, primary)",1.58 ± 0.02,1.79 ± 0.12,2.27 ± 0.34,0.736 ± 0.018,0.894 ± 0.034,1.202 ± 0.096,0.224 ± 0.020,0.951 ± 0.055,10.60 ± 2.23,5
Rosedene,WienerNet-SS (Gaussian),1.60 ± 0.05,1.88 ± 0.11,2.52 ± 0.16,0.808 ± 0.074,1.121 ± 0.123,1.578 ± 0.129,0.263 ± 0.026,0.966 ± 0.042,14.96 ± 3.86,5
Rosedene,WienerNet-SS (beta-NLL),1.61 ± 0.05,1.77 ± 0.11,2.09 ± 0.27,0.783 ± 0.051,1.020 ± 0.119,1.364 ± 0.166,0.243 ± 0.016,0.990 ± 0.011,14.20 ± 3.37,5
