site,target,metric,value,n
rosedene,nee,mae,1.5955466032028198,20968
rosedene,nee,rmse,2.6984293460845947,20968
rosedene,nee,bias,-0.011786853894591331,20968
rosedene,nee,r2,0.2263316512107849,20968
rosedene,nee,mmd,0.07023531598064381,20968
rosedene,nee,kl,0.05233118013784136,20968
rosedene,nee,wasserstein,0.3347691099246652,20968
rosedene,nee_mean,mae,0.9085507392883301,20968
rosedene,nee_mean,rmse,1.7794264554977417,20968
rosedene,nee_mean,bias,-0.0038056583143770695,20968
rosedene,nee_mean,r2,0.6635714769363403,20968
rosedene,nee_mean,mmd,0.022156350204176615,20968
rosedene,nee_mean,kl,0.008255383085906398,20968
rosedene,nee_mean,wasserstein,0.04031434517929592,20968
