site,target,metric,value,n
redmere_2,nee,mae,1.594858169555664,7304
redmere_2,nee,rmse,2.5496647357940674,7304
redmere_2,nee,bias,0.031160030514001846,7304
redmere_2,nee,r2,-0.25304245948791504,7304
redmere_2,nee,mmd,0.17879363267727824,7304
redmere_2,nee,kl,0.16350893836008493,7304
redmere_2,nee,wasserstein,0.5472020378490845,7304
redmere_2,nee_mean,mae,0.849687397480011,7304
redmere_2,nee_mean,rmse,1.5860092639923096,7304
redmere_2,nee_mean,bias,0.005288869142532349,7304
redmere_2,nee_mean,r2,0.5151458978652954,7304
redmere_2,nee_mean,mmd,0.010722749636717651,7304
redmere_2,nee_mean,kl,0.04367245514198364,7304
redmere_2,nee_mean,wasserstein,0.03064510282621257,7304
