site,target,metric,value,n
rosedene,nee,mae,2.1255598068237305,20968
rosedene,nee,rmse,3.2226619720458984,20968
rosedene,nee,bias,-0.05371400713920593,20968
rosedene,nee,r2,-0.10347425937652588,20968
rosedene,nee,mmd,0.1190286328866027,20968
rosedene,nee,kl,0.1363393637650827,20968
rosedene,nee,wasserstein,0.6699283239407692,20968
rosedene,nee_mean,mae,0.9102771282196045,20968
rosedene,nee_mean,rmse,1.782657504081726,20968
rosedene,nee_mean,bias,-0.04214849695563316,20968
rosedene,nee_mean,r2,0.6623486280441284,20968
rosedene,nee_mean,mmd,0.023658347718370058,20968
rosedene,nee_mean,kl,0.016023108076891102,20968
rosedene,nee_mean,wasserstein,0.05469896493666872,20968
