site,target,metric,value,n
great_fen,nee,mae,1.779077410697937,8056
great_fen,nee,rmse,2.561556339263916,8056
great_fen,nee,bias,0.021519282832741737,8056
great_fen,nee,r2,0.0984998345375061,8056
great_fen,nee,mmd,0.07622897624363607,8056
great_fen,nee,kl,0.04886538733662062,8056
great_fen,nee,wasserstein,0.3988014313308179,8056
great_fen,nee_mean,mae,1.1301172971725464,8056
great_fen,nee_mean,rmse,1.8442063331604004,8056
great_fen,nee_mean,bias,0.035151880234479904,8056
great_fen,nee_mean,r2,0.5327202081680298,8056
great_fen,nee_mean,mmd,0.013034686031211147,8056
great_fen,nee_mean,kl,0.008492341703970578,8056
great_fen,nee_mean,wasserstein,0.03752671364443276,8056
great_fen,f,mae,0.037670575082302094,8056
great_fen,f,rmse,0.0614735446870327,8056
great_fen,f,bias,0.0011717290617525578,8056
great_fen,f,r2,-0.00021982192993164062,8056
great_fen,f,mmd,0.005980199567341743,8056
great_fen,f,kl,6.789854705592543,8056
great_fen,f,wasserstein,0.03384622678016094,8056
