site,target,metric,value,n
redmere_2,nee,mae,1.7620255947113037,7304
redmere_2,nee,rmse,2.542604684829712,7304
redmere_2,nee,bias,0.05071551725268364,7304
redmere_2,nee,r2,-0.24611270427703857,7304
redmere_2,nee,mmd,0.22973710646786322,7304
redmere_2,nee,kl,0.23847764977175587,7304
redmere_2,nee,wasserstein,0.716925050606564,7304
redmere_2,nee_mean,mae,0.8931823968887329,7304
redmere_2,nee_mean,rmse,1.6151354312896729,7304
redmere_2,nee_mean,bias,0.03472676873207092,7304
redmere_2,nee_mean,r2,0.4971742033958435,7304
redmere_2,nee_mean,mmd,0.031620688102999554,7304
redmere_2,nee_mean,kl,0.05695130237179606,7304
redmere_2,nee_mean,wasserstein,0.07126013070333723,7304
redmere_2,f,mae,0.029772747308015823,7304
redmere_2,f,rmse,0.0538378469645977,7304
redmere_2,f,bias,0.0011575589887797832,7304
redmere_2,f,r2,-0.021437644958496094,7304
redmere_2,f,mmd,0.00509780591255398,7304
redmere_2,f,kl,2.717016153389992,7304
redmere_2,f,wasserstein,0.02294861469125724,7304
