site,target,metric,value,n
rosedene,nee,mae,1.3929414749145508,20968
rosedene,nee,rmse,2.271866798400879,20968
rosedene,nee,bias,0.1718359738588333,20968
rosedene,nee,r2,0.45159876346588135,20968
rosedene,nee,mmd,0.048880282201966885,20968
rosedene,nee,kl,0.03248876365435054,20968
rosedene,nee,wasserstein,0.297708674616389,20968
rosedene,nee_mean,mae,0.9451614022254944,20968
rosedene,nee_mean,rmse,1.8191059827804565,20968
rosedene,nee_mean,bias,0.1660238802433014,20968
rosedene,nee_mean,r2,0.6484001278877258,20968
rosedene,nee_mean,mmd,0.030620918780494975,20968
rosedene,nee_mean,kl,0.009026122601125229,20968
rosedene,nee_mean,wasserstein,0.16646446770971005,20968
rosedene,f,mae,0.03150537982583046,20968
rosedene,f,rmse,0.060636863112449646,20968
rosedene,f,bias,0.005534129682928324,20968
rosedene,f,r2,-0.04455709457397461,20968
rosedene,f,mmd,0.008910296675241533,20968
rosedene,f,kl,2.4990993823483874,20968
rosedene,f,wasserstein,0.023465108733678398,20968
