site,target,metric,value,n
woodwalton,nee,mae,0.7372749447822571,17164
woodwalton,nee,rmse,1.3356561660766602,17164
woodwalton,nee,bias,-0.0008731949492357671,17164
woodwalton,nee,r2,0.7215360403060913,17164
woodwalton,nee,mmd,0.030148648900113574,17164
woodwalton,nee,kl,0.05072719826605152,17164
woodwalton,nee,wasserstein,0.07231949979310856,17164
woodwalton,nee_mean,mae,0.5980082750320435,17164
woodwalton,nee_mean,rmse,1.2512271404266357,17164
woodwalton,nee_mean,bias,-0.0005510764312930405,17164
woodwalton,nee_mean,r2,0.7556276917457581,17164
woodwalton,nee_mean,mmd,0.019149871461202835,17164
woodwalton,nee_mean,kl,0.03369510148301668,17164
woodwalton,nee_mean,wasserstein,0.03915227820838031,17164
woodwalton,f,mae,0.019933605566620827,17164
woodwalton,f,rmse,0.04170756787061691,17164
woodwalton,f,bias,-1.836903356888797e-05,17164
woodwalton,f,r2,-0.027976512908935547,17164
woodwalton,f,mmd,0.002237585788552656,17164
woodwalton,f,kl,2.480066868250781,17164
woodwalton,f,wasserstein,0.012930804309681056,17164
