site,target,metric,value,n
great_fen,nee,mae,1.3386671543121338,8056
great_fen,nee,rmse,2.002979040145874,8056
great_fen,nee,bias,0.05753125622868538,8056
great_fen,nee,r2,0.44879794120788574,8056
great_fen,nee,mmd,0.03901746060686487,8056
great_fen,nee,kl,0.03416240450429455,8056
great_fen,nee,wasserstein,0.15759812240778304,8056
great_fen,nee_mean,mae,1.1321814060211182,8056
great_fen,nee_mean,rmse,1.8486872911453247,8056
great_fen,nee_mean,bias,0.04687298461794853,8056
great_fen,nee_mean,r2,0.5304467082023621,8056
great_fen,nee_mean,mmd,0.013273708221746276,8056
great_fen,nee_mean,kl,0.013416108622596127,8056
great_fen,nee_mean,wasserstein,0.049696054538044175,8056
great_fen,f,mae,0.037739381194114685,8056
great_fen,f,rmse,0.06162290647625923,8056
great_fen,f,bias,0.001562432968057692,8056
great_fen,f,r2,-0.005086183547973633,8056
great_fen,f,mmd,0.006272086220051333,8056
great_fen,f,kl,11.354898918303558,8056
great_fen,f,wasserstein,0.035732212839856295,8056
