site,target,metric,value,n
great_fen,nee,mae,1.9077913761138916,8056
great_fen,nee,rmse,2.685699224472046,8056
great_fen,nee,bias,-0.004159185569733381,8056
great_fen,nee,r2,0.00900202989578247,8056
great_fen,nee,mmd,0.09777702492607122,8056
great_fen,nee,kl,0.07081186001374404,8056
great_fen,nee,wasserstein,0.4862013600272789,8056
great_fen,nee_mean,mae,1.1332751512527466,8056
great_fen,nee_mean,rmse,1.8482404947280884,8056
great_fen,nee_mean,bias,0.009066298604011536,8056
great_fen,nee_mean,r2,0.530673623085022,8056
great_fen,nee_mean,mmd,0.014759911132999844,8056
great_fen,nee_mean,kl,0.011373597535024897,8056
great_fen,nee_mean,wasserstein,0.019234552630801385,8056
great_fen,dtemp,mae,0.01991773210465908,8056
great_fen,dtemp,rmse,0.027891885489225388,8056
great_fen,dtemp,bias,-0.005600546021014452,8056
great_fen,dtemp,r2,-4.964676856994629,8056
great_fen,dtemp,mmd,0.007445288418934036,8056
great_fen,dtemp,kl,0.1958975503794845,8056
great_fen,dtemp,wasserstein,0.008978113396074308,8056
great_fen,f,mae,0.03777584061026573,8056
great_fen,f,rmse,0.06160801649093628,8056
great_fen,f,bias,0.000302209984511137,8056
great_fen,f,r2,-0.004600405693054199,8056
great_fen,f,mmd,0.005715185503281067,8056
great_fen,f,kl,6.288884394254651,8056
great_fen,f,wasserstein,0.03388058169017006,8056
