site,target,metric,value,n
great_fen,nee,mae,1.4253649711608887,8056
great_fen,nee,rmse,2.1790683269500732,8056
great_fen,nee,bias,-0.03340265154838562,8056
great_fen,nee,r2,0.34762144088745117,8056
great_fen,nee,mmd,0.035162183472815335,8056
great_fen,nee,kl,0.023712874990846358,8056
great_fen,nee,wasserstein,0.17362832505988418,8056
great_fen,nee_mean,mae,1.130755066871643,8056
great_fen,nee_mean,rmse,1.8418583869934082,8056
great_fen,nee_mean,bias,-0.01735595613718033,8056
great_fen,nee_mean,r2,0.5339093208312988,8056
great_fen,nee_mean,mmd,0.011907957420173046,8056
great_fen,nee_mean,kl,0.013897999179046654,8056
great_fen,nee_mean,wasserstein,0.02464045106517494,8056
great_fen,dtemp,mae,0.009993760846555233,8056
great_fen,dtemp,rmse,0.014585933648049831,8056
great_fen,dtemp,bias,-0.0021309456788003445,8056
great_fen,dtemp,r2,-0.6311713457107544,8056
great_fen,dtemp,mmd,0.0034870255998744387,8056
great_fen,dtemp,kl,1.2354567906724898,8056
great_fen,dtemp,wasserstein,0.004137065781116704,8056
great_fen,f,mae,0.037691839039325714,8056
great_fen,f,rmse,0.061395276337862015,8056
great_fen,f,bias,-0.0005785322864539921,8056
great_fen,f,r2,0.0023256540298461914,8056
great_fen,f,mmd,0.005683811878331453,8056
great_fen,f,kl,11.037177111630196,8056
great_fen,f,wasserstein,0.03462936038023806,8056
