site,target,metric,value,n
great_fen,nee,mae,1.5171862840652466,8056
great_fen,nee,rmse,2.330580949783325,8056
great_fen,nee,bias,-0.07548405975103378,8056
great_fen,nee,r2,0.25374650955200195,8056
great_fen,nee,mmd,0.040619527007954875,8056
great_fen,nee,kl,0.035554694972427456,8056
great_fen,nee,wasserstein,0.24081856655391617,8056
great_fen,nee_mean,mae,1.1326394081115723,8056
great_fen,nee_mean,rmse,1.8427300453186035,8056
great_fen,nee_mean,bias,-0.01179270539432764,8056
great_fen,nee_mean,r2,0.5334680080413818,8056
great_fen,nee_mean,mmd,0.011758102464110378,8056
great_fen,nee_mean,kl,0.014856759844433486,8056
great_fen,nee_mean,wasserstein,0.02256982097570542,8056
great_fen,dtemp,mae,0.017768053337931633,8056
great_fen,dtemp,rmse,0.03809470310807228,8056
great_fen,dtemp,bias,-0.006886857096105814,8056
great_fen,dtemp,r2,-10.126545906066895,8056
great_fen,dtemp,mmd,0.0077895781902069415,8056
great_fen,dtemp,kl,0.4315485413545768,8056
great_fen,dtemp,wasserstein,0.009571347726506278,8056
great_fen,f,mae,0.03775465115904808,8056
great_fen,f,rmse,0.06142433360219002,8056
great_fen,f,bias,-0.0003930901875719428,8056
great_fen,f,r2,0.0013810992240905762,8056
great_fen,f,mmd,0.005348853100636388,8056
great_fen,f,kl,7.650127698048941,8056
great_fen,f,wasserstein,0.03431465499661767,8056
