site,target,metric,value,n
great_fen,nee,mae,1.7009167671203613,8056
great_fen,nee,rmse,2.500398635864258,8056
great_fen,nee,bias,-0.06766676157712936,8056
great_fen,nee,r2,0.141032874584198,8056
great_fen,nee,mmd,0.05994957434126902,8056
great_fen,nee,kl,0.05324300937467313,8056
great_fen,nee,wasserstein,0.36911700621280585,8056
great_fen,nee_mean,mae,1.135784387588501,8056
great_fen,nee_mean,rmse,1.8455407619476318,8056
great_fen,nee_mean,bias,-0.01034981943666935,8056
great_fen,nee_mean,r2,0.5320436954498291,8056
great_fen,nee_mean,mmd,0.014457990497551688,8056
great_fen,nee_mean,kl,0.01259240564378953,8056
great_fen,nee_mean,wasserstein,0.04144672825359097,8056
great_fen,dtemp,mae,0.010320405475795269,8056
great_fen,dtemp,rmse,0.014075675047934055,8056
great_fen,dtemp,bias,0.0012046644696965814,8056
great_fen,dtemp,r2,-0.5190412998199463,8056
great_fen,dtemp,mmd,0.0020132351687586233,8056
great_fen,dtemp,kl,0.4068291587520965,8056
great_fen,dtemp,wasserstein,0.0032087701529628226,8056
great_fen,f,mae,0.0378594808280468,8056
great_fen,f,rmse,0.061518020927906036,8056
great_fen,f,bias,-0.000344993983162567,8056
great_fen,f,r2,-0.001667618751525879,8056
great_fen,f,mmd,0.005535050805055974,8056
great_fen,f,kl,5.588429149293022,8056
great_fen,f,wasserstein,0.034302758231863156,8056
