site,target,metric,value,n
great_fen,nee,mae,2.2313003540039062,8056
great_fen,nee,rmse,4.7146382331848145,8056
great_fen,nee,bias,-0.14483587443828583,8056
great_fen,nee,r2,-2.0538997650146484,8056
great_fen,nee,mmd,0.09147115506006837,8056
great_fen,nee,kl,0.09068038247763473,8056
great_fen,nee,wasserstein,0.8129139746647503,8056
great_fen,nee_mean,mae,1.1551107168197632,8056
great_fen,nee_mean,rmse,1.8680256605148315,8056
great_fen,nee_mean,bias,-0.10959885269403458,8056
great_fen,nee_mean,r2,0.5205717086791992,8056
great_fen,nee_mean,mmd,0.024576486075747705,8056
great_fen,nee_mean,kl,0.021983128231823967,8056
great_fen,nee_mean,wasserstein,0.11643669620996053,8056
great_fen,dtemp,mae,0.03088255412876606,8056
great_fen,dtemp,rmse,0.04929277300834656,8056
great_fen,dtemp,bias,-0.022761404514312744,8056
great_fen,dtemp,r2,-17.629344940185547,8056
great_fen,dtemp,mmd,0.031424986151765796,8056
great_fen,dtemp,kl,0.7995983938195905,8056
great_fen,dtemp,wasserstein,0.026674392859312994,8056
great_fen,f,mae,0.03850369155406952,8056
great_fen,f,rmse,0.062267523258924484,8056
great_fen,f,bias,-0.0036532951053231955,8056
great_fen,f,r2,-0.02622377872467041,8056
great_fen,f,mmd,0.007092694846842749,8056
great_fen,f,kl,2.875353755711543,8056
great_fen,f,wasserstein,0.03128359544403984,8056
