site,target,metric,value,n
great_fen,nee,mae,1.5796453952789307,8056
great_fen,nee,rmse,2.4389162063598633,8056
great_fen,nee,bias,-0.015485909767448902,8056
great_fen,nee,r2,0.1827559471130371,8056
great_fen,nee,mmd,0.04652304443398317,8056
great_fen,nee,kl,0.03187555285719965,8056
great_fen,nee,wasserstein,0.2737920761243426,8056
great_fen,nee_mean,mae,1.1293854713439941,8056
great_fen,nee_mean,rmse,1.8454904556274414,8056
great_fen,nee_mean,bias,0.04680034890770912,8056
great_fen,nee_mean,r2,0.5320692658424377,8056
great_fen,nee_mean,mmd,0.012609337410758524,8056
great_fen,nee_mean,kl,0.0072368101034947846,8056
great_fen,nee_mean,wasserstein,0.049676692891078,8056
great_fen,f,mae,0.037646178156137466,8056
great_fen,f,rmse,0.06151634827256203,8056
great_fen,f,bias,0.001560012111440301,8056
great_fen,f,r2,-0.001613020896911621,8056
great_fen,f,mmd,0.006403748558888672,8056
great_fen,f,kl,19.280788144809186,8056
great_fen,f,wasserstein,0.036783425018744695,8056
