site,target,metric,value,n
woodwalton,nee,mae,1.5880178213119507,17164
woodwalton,nee,rmse,2.1177003383636475,17164
woodwalton,nee,bias,0.10540446639060974,17164
woodwalton,nee,r2,0.29998284578323364,17164
woodwalton,nee,mmd,0.10359217853994035,17164
woodwalton,nee,kl,0.09538658763709709,17164
woodwalton,nee,wasserstein,0.4267158540443456,17164
woodwalton,nee_mean,mae,0.5380809307098389,17164
woodwalton,nee_mean,rmse,1.2453038692474365,17164
woodwalton,nee_mean,bias,0.09154054522514343,17164
woodwalton,nee_mean,r2,0.7579359412193298,17164
woodwalton,nee_mean,mmd,0.016407448861052464,17164
woodwalton,nee_mean,kl,0.02997245784975125,17164
woodwalton,nee_mean,wasserstein,0.09907226902001885,17164
woodwalton,f,mae,0.01793603040277958,17164
woodwalton,f,rmse,0.04151012748479843,17164
woodwalton,f,bias,0.003051351523026824,17164
woodwalton,f,r2,-0.018266797065734863,17164
woodwalton,f,mmd,0.0037664181202493926,17164
woodwalton,f,kl,2.1347007205804065,17164
woodwalton,f,wasserstein,0.01516086115076375,17164
