site,target,metric,value,n
redmere_1,nee,mae,0.8861344456672668,3942
redmere_1,nee,rmse,1.3253028392791748,3942
redmere_1,nee,bias,0.003893149783834815,3942
redmere_1,nee,r2,0.7378708124160767,3942
redmere_1,nee,mmd,0.050535340209069406,3942
redmere_1,nee,kl,0.06048805941045983,3942
redmere_1,nee,wasserstein,0.08722329414239349,3942
redmere_1,nee_mean,mae,0.7526146769523621,3942
redmere_1,nee_mean,rmse,1.223947286605835,3942
redmere_1,nee_mean,bias,0.010186605155467987,3942
redmere_1,nee_mean,r2,0.7764315605163574,3942
redmere_1,nee_mean,mmd,0.009251609043699422,3942
redmere_1,nee_mean,kl,0.03269865053870411,3942
redmere_1,nee_mean,wasserstein,0.025656717682336502,3942
redmere_1,f,mae,0.025087157264351845,3942
redmere_1,f,rmse,0.04079824313521385,3942
redmere_1,f,bias,0.00033955342951230705,3942
redmere_1,f,r2,0.009408652782440186,3942
redmere_1,f,mmd,0.0032572422031558433,3942
redmere_1,f,kl,9.650606694767035,3942
redmere_1,f,wasserstein,0.023662104233686247,3942
