site,target,metric,value,n
redmere_1,nee,mae,2.3005619049072266,3942
redmere_1,nee,rmse,26.581945419311523,3942
redmere_1,nee,bias,0.8600901961326599,3942
redmere_1,nee,r2,-104.45292663574219,3942
redmere_1,nee,mmd,0.07175138873573948,3942
redmere_1,nee,kl,0.06902927312987404,3942
redmere_1,nee,wasserstein,1.380657709658688,3942
redmere_1,nee_mean,mae,1.7012077569961548,3942
redmere_1,nee_mean,rmse,24.498971939086914,3942
redmere_1,nee_mean,bias,0.9087777137756348,3942
redmere_1,nee_mean,r2,-88.57376861572266,3942
redmere_1,nee_mean,mmd,0.009583880091010997,3942
redmere_1,nee_mean,kl,0.051447855119190866,3942
redmere_1,nee_mean,wasserstein,0.978771157670447,3942
