site,target,metric,value,n
redmere_1,nee,mae,1.3192003965377808,3942
redmere_1,nee,rmse,2.5675463676452637,3942
redmere_1,nee,bias,0.06789590418338776,3942
redmere_1,nee,r2,0.016166210174560547,3942
redmere_1,nee,mmd,0.06182689607877264,3942
redmere_1,nee,kl,0.05950729633604243,3942
redmere_1,nee,wasserstein,0.3925387424651682,3942
redmere_1,nee_mean,mae,0.8505067825317383,3942
redmere_1,nee_mean,rmse,2.0445773601531982,3942
redmere_1,nee_mean,bias,0.07947851717472076,3942
redmere_1,nee_mean,r2,0.37613266706466675,3942
redmere_1,nee_mean,mmd,0.008799229145966845,3942
redmere_1,nee_mean,kl,0.05760574192426354,3942
redmere_1,nee_mean,wasserstein,0.12793115308314137,3942
redmere_1,dtemp,mae,0.0990712121129036,3942
redmere_1,dtemp,rmse,2.5345656871795654,3942
redmere_1,dtemp,bias,0.07679448276758194,3942
redmere_1,dtemp,r2,-62749.29296875,3942
redmere_1,dtemp,mmd,0.00878227819756101,3942
redmere_1,dtemp,kl,0.2807187201256357,3942
redmere_1,dtemp,wasserstein,0.08921481921262568,3942
redmere_1,f,mae,0.02835022658109665,3942
redmere_1,f,rmse,0.06815258413553238,3942
redmere_1,f,bias,0.00264928350225091,3942
redmere_1,f,r2,-1.7642436027526855,3942
redmere_1,f,mmd,0.001145121035113142,3942
redmere_1,f,kl,6.104777450070698,3942
redmere_1,f,wasserstein,0.024254553697670718,3942
