site,target,metric,value,n
redmere_1,nee,mae,1.435987949371338,3942
redmere_1,nee,rmse,2.6787092685699463,3942
redmere_1,nee,bias,0.007275172974914312,3942
redmere_1,nee,r2,-0.0708688497543335,3942
redmere_1,nee,mmd,0.07365140401948314,3942
redmere_1,nee,kl,0.055810188445219,3942
redmere_1,nee,wasserstein,0.42443771598712243,3942
redmere_1,nee_mean,mae,0.8457648158073425,3942
redmere_1,nee_mean,rmse,2.0272910594940186,3942
redmere_1,nee_mean,bias,0.03670639172196388,3942
redmere_1,nee_mean,r2,0.38663744926452637,3942
redmere_1,nee_mean,mmd,0.012138479389312552,3942
redmere_1,nee_mean,kl,0.06069065484059058,3942
redmere_1,nee_mean,wasserstein,0.113707111885805,3942
redmere_1,dtemp,mae,0.5341788530349731,3942
redmere_1,dtemp,rmse,13.096261978149414,3942
redmere_1,dtemp,bias,-0.5254154205322266,3942
redmere_1,dtemp,r2,-1675340.75,3942
redmere_1,dtemp,mmd,0.010306089316018278,3942
redmere_1,dtemp,kl,0.3463263291858949,3942
redmere_1,dtemp,wasserstein,0.5262379902135539,3942
redmere_1,f,mae,0.028192156925797462,3942
redmere_1,f,rmse,0.06757636368274689,3942
redmere_1,f,bias,0.0012235463364049792,3942
redmere_1,f,r2,-1.717698335647583,3942
redmere_1,f,mmd,0.0030297054799782366,3942
redmere_1,f,kl,3.3991741702329366,3942
redmere_1,f,wasserstein,0.023164483547592915,3942
