site,target,metric,value,n
redmere_2,nee,mae,1.750311255455017,7304
redmere_2,nee,rmse,2.701782703399658,7304
redmere_2,nee,bias,0.06015639379620552,7304
redmere_2,nee,r2,-0.40702056884765625,7304
redmere_2,nee,mmd,0.20900847394090907,7304
redmere_2,nee,kl,0.18381923576101167,7304
redmere_2,nee,wasserstein,0.7192768725346741,7304
redmere_2,nee_mean,mae,0.8932419419288635,7304
redmere_2,nee_mean,rmse,1.616156816482544,7304
redmere_2,nee_mean,bias,0.13366831839084625,7304
redmere_2,nee_mean,r2,0.49653804302215576,7304
redmere_2,nee_mean,mmd,0.051995075469484536,7304
redmere_2,nee_mean,kl,0.04480556921756742,7304
redmere_2,nee_mean,wasserstein,0.1338095180279714,7304
redmere_2,dtemp,mae,0.016558069735765457,7304
redmere_2,dtemp,rmse,0.023622943088412285,7304
redmere_2,dtemp,bias,-7.557908247690648e-05,7304
redmere_2,dtemp,r2,-4.562785625457764,7304
redmere_2,dtemp,mmd,0.0007720404443770458,7304
redmere_2,dtemp,kl,0.19491499848712457,7304
redmere_2,dtemp,wasserstein,0.006828570493410643,7304
redmere_2,f,mae,0.029774731025099754,7304
redmere_2,f,rmse,0.053871892392635345,7304
redmere_2,f,bias,0.004455610178411007,7304
redmere_2,f,r2,-0.022729992866516113,7304
redmere_2,f,mmd,0.007453289805895384,7304
redmere_2,f,kl,3.1563984533780043,7304
redmere_2,f,wasserstein,0.02379014061733581,7304
