site,target,metric,value,n
redmere_2,nee,mae,1.9334046840667725,7304
redmere_2,nee,rmse,2.9423558712005615,7304
redmere_2,nee,bias,0.015434402972459793,7304
redmere_2,nee,r2,-0.6687452793121338,7304
redmere_2,nee,mmd,0.22475620943514993,7304
redmere_2,nee,kl,0.23306281552645813,7304
redmere_2,nee,wasserstein,0.8496010773251628,7304
redmere_2,nee_mean,mae,0.8466413021087646,7304
redmere_2,nee_mean,rmse,1.596032738685608,7304
redmere_2,nee_mean,bias,0.02255670540034771,7304
redmere_2,nee_mean,r2,0.5089980363845825,7304
redmere_2,nee_mean,mmd,0.01057159916729051,7304
redmere_2,nee_mean,kl,0.03255432982580664,7304
redmere_2,nee_mean,wasserstein,0.029632971546533177,7304
redmere_2,dtemp,mae,0.02016882225871086,7304
redmere_2,dtemp,rmse,0.025624917820096016,7304
redmere_2,dtemp,bias,-0.010963952168822289,7304
redmere_2,dtemp,r2,-5.545597076416016,7304
redmere_2,dtemp,mmd,0.016623090361864455,7304
redmere_2,dtemp,kl,0.5398710307591782,7304
redmere_2,dtemp,wasserstein,0.01312975563830478,7304
redmere_2,f,mae,0.02822137624025345,7304
redmere_2,f,rmse,0.0532010942697525,7304
redmere_2,f,bias,0.0007518903585150838,7304
redmere_2,f,r2,0.002581000328063965,7304
redmere_2,f,mmd,0.005437269885576193,7304
redmere_2,f,kl,5.308737016535115,7304
redmere_2,f,wasserstein,0.02660096625590961,7304
