site,target,metric,value,n
redmere_2,nee,mae,1.5100237131118774,7304
redmere_2,nee,rmse,2.509148597717285,7304
redmere_2,nee,bias,-0.00055819092085585,7304
redmere_2,nee,r2,-0.21353530883789062,7304
redmere_2,nee,mmd,0.14571084827888534,7304
redmere_2,nee,kl,0.1132005652032419,7304
redmere_2,nee,wasserstein,0.45967817710057685,7304
redmere_2,nee_mean,mae,0.8620352745056152,7304
redmere_2,nee_mean,rmse,1.5886799097061157,7304
redmere_2,nee_mean,bias,0.07157263159751892,7304
redmere_2,nee_mean,r2,0.5135116577148438,7304
redmere_2,nee_mean,mmd,0.02023570877451377,7304
redmere_2,nee_mean,kl,0.042806252795395856,7304
redmere_2,nee_mean,wasserstein,0.07157348959807736,7304
