site,target,metric,value,n
redmere_2,nee,mae,1.4037160873413086,7304
redmere_2,nee,rmse,2.2131779193878174,7304
redmere_2,nee,bias,-0.06145915016531944,7304
redmere_2,nee,r2,0.05586898326873779,7304
redmere_2,nee,mmd,0.1347704900333366,7304
redmere_2,nee,kl,0.11197524455983834,7304
redmere_2,nee,wasserstein,0.32119916895376954,7304
redmere_2,nee_mean,mae,0.8485798835754395,7304
redmere_2,nee_mean,rmse,1.5875343084335327,7304
redmere_2,nee_mean,bias,-0.01070433296263218,7304
redmere_2,nee_mean,r2,0.5142130851745605,7304
redmere_2,nee_mean,mmd,0.011531607108026897,7304
redmere_2,nee_mean,kl,0.053520482636089314,7304
redmere_2,nee_mean,wasserstein,0.03470485839306276,7304
redmere_2,f,mae,0.028285996988415718,7304
redmere_2,f,rmse,0.052917808294296265,7304
redmere_2,f,bias,-0.0003568111569620669,7304
redmere_2,f,r2,0.013174831867218018,7304
redmere_2,f,mmd,0.004991466870180877,7304
redmere_2,f,kl,6.477572532789044,7304
redmere_2,f,wasserstein,0.024938789955315822,7304
