site,target,metric,value,n
redmere_2,nee,mae,1.6625339984893799,7304
redmere_2,nee,rmse,2.517618179321289,7304
redmere_2,nee,bias,0.010414306074380875,7304
redmere_2,nee,r2,-0.2217416763305664,7304
redmere_2,nee,mmd,0.20378606769568752,7304
redmere_2,nee,kl,0.1873910625117276,7304
redmere_2,nee,wasserstein,0.568269498193094,7304
redmere_2,nee_mean,mae,0.8493282794952393,7304
redmere_2,nee_mean,rmse,1.5960453748703003,7304
redmere_2,nee_mean,bias,0.030798818916082382,7304
redmere_2,nee_mean,r2,0.5089902877807617,7304
redmere_2,nee_mean,mmd,0.011739077422042292,7304
redmere_2,nee_mean,kl,0.036853743509217274,7304
redmere_2,nee_mean,wasserstein,0.03451204891375271,7304
redmere_2,dtemp,mae,0.021746503189206123,7304
redmere_2,dtemp,rmse,0.029196446761488914,7304
redmere_2,dtemp,bias,-0.003819504287093878,7304
redmere_2,dtemp,r2,-7.497365951538086,7304
redmere_2,dtemp,mmd,0.007933631254527305,7304
redmere_2,dtemp,kl,0.441868312009504,7304
redmere_2,dtemp,wasserstein,0.012375853823120349,7304
redmere_2,f,mae,0.02831094339489937,7304
redmere_2,f,rmse,0.05320151522755623,7304
redmere_2,f,bias,0.0010266273748129606,7304
redmere_2,f,r2,0.0025652050971984863,7304
redmere_2,f,mmd,0.0048460530374216815,7304
redmere_2,f,kl,4.8300123289103905,7304
redmere_2,f,wasserstein,0.026089119829545312,7304
