site,target,metric,value,n
redmere_2,nee,mae,1.8656327724456787,7304
redmere_2,nee,rmse,2.7432374954223633,7304
redmere_2,nee,bias,-0.16007307171821594,7304
redmere_2,nee,r2,-0.4505290985107422,7304
redmere_2,nee,mmd,0.2576297921776612,7304
redmere_2,nee,kl,0.25652623840401884,7304
redmere_2,nee,wasserstein,0.7296796092773237,7304
redmere_2,nee_mean,mae,0.920545756816864,7304
redmere_2,nee_mean,rmse,1.68213951587677,7304
redmere_2,nee_mean,bias,-0.14650936424732208,7304
redmere_2,nee_mean,r2,0.454589307308197,7304
redmere_2,nee_mean,mmd,0.03993919758181183,7304
redmere_2,nee_mean,kl,0.030299223001131106,7304
redmere_2,nee_mean,wasserstein,0.16007528516009015,7304
redmere_2,dtemp,mae,0.08196847140789032,7304
redmere_2,dtemp,rmse,0.16354188323020935,7304
redmere_2,dtemp,bias,-0.07486891746520996,7304
redmere_2,dtemp,r2,-265.6136169433594,7304
redmere_2,dtemp,mmd,0.09732548966440152,7304
redmere_2,dtemp,kl,0.8831498349566422,7304
redmere_2,dtemp,wasserstein,0.07709076058178303,7304
redmere_2,f,mae,0.030684856697916985,7304
redmere_2,f,rmse,0.05607131868600845,7304
redmere_2,f,bias,-0.004883646033704281,7304
redmere_2,f,r2,-0.10794460773468018,7304
redmere_2,f,mmd,0.00822141515648571,7304
redmere_2,f,kl,3.0142870194280365,7304
redmere_2,f,wasserstein,0.021385621124215715,7304
