site,target,metric,value,n
redmere_2,nee,mae,1.2266937494277954,7304
redmere_2,nee,rmse,2.0108656883239746,7304
redmere_2,nee,bias,-0.002981677418574691,7304
redmere_2,nee,r2,0.2205904722213745,7304
redmere_2,nee,mmd,0.09859866315929713,7304
redmere_2,nee,kl,0.07029861904737682,7304
redmere_2,nee,wasserstein,0.26170955746825314,7304
redmere_2,nee_mean,mae,0.8493217825889587,7304
redmere_2,nee_mean,rmse,1.5992377996444702,7304
redmere_2,nee_mean,bias,0.07603910565376282,7304
redmere_2,nee_mean,r2,0.5070240497589111,7304
redmere_2,nee_mean,mmd,0.01717508040718902,7304
redmere_2,nee_mean,kl,0.035993086482451926,7304
redmere_2,nee_mean,wasserstein,0.07603909933577732,7304
redmere_2,E0,mae,93.15210723876953,7304
redmere_2,E0,rmse,110.75072479248047,7304
redmere_2,E0,bias,40.10877990722656,7304
redmere_2,E0,r2,-0.29708588123321533,7304
redmere_2,E0,mmd,0.6833154268427575,7304
redmere_2,E0,kl,5.257044390354173,7304
redmere_2,E0,wasserstein,72.69136802964769,7304
redmere_2,rb,mae,1.3418056964874268,7304
redmere_2,rb,rmse,1.6764588356018066,7304
redmere_2,rb,bias,0.7213554382324219,7304
redmere_2,rb,r2,0.14755463600158691,7304
redmere_2,rb,mmd,0.49195911013091526,7304
redmere_2,rb,kl,2.9434339402248226,7304
redmere_2,rb,wasserstein,1.0475956805433921,7304
redmere_2,dtemp,mae,0.011051838286221027,7304
redmere_2,dtemp,rmse,0.015487805008888245,7304
redmere_2,dtemp,bias,0.006660711485892534,7304
redmere_2,dtemp,r2,-1.3911349773406982,7304
redmere_2,dtemp,mmd,0.009530869773409735,7304
redmere_2,dtemp,kl,1.2626132059293658,7304
redmere_2,dtemp,wasserstein,0.006670295065112496,7304
redmere_2,f,mae,0.02831072360277176,7304
redmere_2,f,rmse,0.05330792814493179,7304
redmere_2,f,bias,0.00253463676199317,7304
redmere_2,f,r2,-0.0014289617538452148,7304
redmere_2,f,mmd,0.006137600141590105,7304
redmere_2,f,kl,8.779952323132203,7304
redmere_2,f,wasserstein,0.027167029291487337,7304
