site,target,metric,value,n
rosedene,nee,mae,1.3133684396743774,20968
rosedene,nee,rmse,2.221646547317505,20968
rosedene,nee,bias,0.0275822002440691,20968
rosedene,nee,r2,0.47557586431503296,20968
rosedene,nee,mmd,0.04980199469972229,20968
rosedene,nee,kl,0.029633673805192263,20968
rosedene,nee,wasserstein,0.176599674001361,20968
rosedene,nee_mean,mae,0.9028939008712769,20968
rosedene,nee_mean,rmse,1.7756643295288086,20968
rosedene,nee_mean,bias,0.02182779647409916,20968
rosedene,nee_mean,r2,0.6649925708770752,20968
rosedene,nee_mean,mmd,0.022184579146569367,20968
rosedene,nee_mean,kl,0.0072613355410868705,20968
rosedene,nee_mean,wasserstein,0.027277537033307295,20968
