site,target,metric,value,n
rosedene,nee,mae,1.1610428094863892,20968
rosedene,nee,rmse,2.020458459854126,20968
rosedene,nee,bias,0.04136700928211212,20968
rosedene,nee,r2,0.5662569403648376,20968
rosedene,nee,mmd,0.044934146697628186,20968
rosedene,nee,kl,0.021716526516150515,20968
rosedene,nee,wasserstein,0.12516092953084024,20968
rosedene,nee_mean,mae,0.9079875946044922,20968
rosedene,nee_mean,rmse,1.782253623008728,20968
rosedene,nee_mean,bias,0.06267329305410385,20968
rosedene,nee_mean,r2,0.6625015735626221,20968
rosedene,nee_mean,mmd,0.020399260464521493,20968
rosedene,nee_mean,kl,0.005612684119248338,20968
rosedene,nee_mean,wasserstein,0.0650205934922667,20968
rosedene,f,mae,0.030266251415014267,20968
rosedene,f,rmse,0.05940845236182213,20968
rosedene,f,bias,0.002089109504595399,20968
rosedene,f,r2,-0.0026633739471435547,20968
rosedene,f,mmd,0.0058491936282768255,20968
rosedene,f,kl,4.889078207647598,20968
rosedene,f,wasserstein,0.029243870011037013,20968
