site,target,metric,value,n
rosedene,nee,mae,1.1632583141326904,20968
rosedene,nee,rmse,1.9978262186050415,20968
rosedene,nee,bias,0.042888276278972626,20968
rosedene,nee,r2,0.5759196281433105,20968
rosedene,nee,mmd,0.037503210566095437,20968
rosedene,nee,kl,0.02158764177573266,20968
rosedene,nee,wasserstein,0.13061083772060533,20968
rosedene,nee_mean,mae,0.9071663618087769,20968
rosedene,nee_mean,rmse,1.7804839611053467,20968
rosedene,nee_mean,bias,0.06374617666006088,20968
rosedene,nee_mean,r2,0.6631715297698975,20968
rosedene,nee_mean,mmd,0.02050490585800397,20968
rosedene,nee_mean,kl,0.007301431865709982,20968
rosedene,nee_mean,wasserstein,0.06656632300513211,20968
rosedene,dtemp,mae,0.010924524627625942,20968
rosedene,dtemp,rmse,0.014288133010268211,20968
rosedene,dtemp,bias,0.005983342882245779,20968
rosedene,dtemp,r2,-0.8273799419403076,20968
rosedene,dtemp,mmd,0.007564420598061361,20968
rosedene,dtemp,kl,0.723704356922321,20968
rosedene,dtemp,wasserstein,0.006209267666692977,20968
rosedene,f,mae,0.030238879844546318,20968
rosedene,f,rmse,0.059349458664655685,20968
rosedene,f,bias,0.002124872524291277,20968
rosedene,f,r2,-0.0006731748580932617,20968
rosedene,f,mmd,0.005767095610848494,20968
rosedene,f,kl,7.4797533429129075,20968
rosedene,f,wasserstein,0.02961066303157585,20968
