site,target,metric,value,n
rosedene,nee,mae,1.1773079633712769,20968
rosedene,nee,rmse,2.0364315509796143,20968
rosedene,nee,bias,0.050737157464027405,20968
rosedene,nee,r2,0.5593717098236084,20968
rosedene,nee,mmd,0.03443335002395309,20968
rosedene,nee,kl,0.022602215361250812,20968
rosedene,nee,wasserstein,0.10424205584930185,20968
rosedene,nee_mean,mae,0.9070310592651367,20968
rosedene,nee_mean,rmse,1.7796688079833984,20968
rosedene,nee_mean,bias,0.04712211340665817,20968
rosedene,nee_mean,r2,0.6634798645973206,20968
rosedene,nee_mean,mmd,0.020599885156922442,20968
rosedene,nee_mean,kl,0.007061277969620248,20968
rosedene,nee_mean,wasserstein,0.05440549091563007,20968
rosedene,dtemp,mae,0.018825668841600418,20968
rosedene,dtemp,rmse,0.024010948836803436,20968
rosedene,dtemp,bias,0.008336289785802364,20968
rosedene,dtemp,r2,-4.160555839538574,20968
rosedene,dtemp,mmd,0.011320335077509404,20968
rosedene,dtemp,kl,0.5584941786836569,20968
rosedene,dtemp,wasserstein,0.011946791646702978,20968
rosedene,f,mae,0.03023436851799488,20968
rosedene,f,rmse,0.059322290122509,20968
rosedene,f,bias,0.0015707368729636073,20968
rosedene,f,r2,0.0002428889274597168,20968
rosedene,f,mmd,0.005179004745018659,20968
rosedene,f,kl,3.946194113358946,20968
rosedene,f,wasserstein,0.02772433384917978,20968
